Time,CORE_ZN ZN:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],CORE_ZN ZN:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s],CORE_ZN ZN::Des Latent Heat Load [W],CORE_ZN ZN::Des Latent Cool Load [W],CORE_ZN ZN::Des Latent Heat Mass Flow [kg/s],CORE_ZN ZN::Des Latent Cool Mass Flow [kg/s],CORE_ZN ZN::Des Heat Load No DOAS [W],CORE_ZN ZN::Des Sens Cool Load No DOAS [W],CORE_ZN ZN::Des Latent Heat Load No DOAS [W],CORE_ZN ZN::Des Latent Cool Load No DOAS [W],CORE_ZN ZN:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],CORE_ZN ZN:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],CORE_ZN ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Temperature [C],CORE_ZN ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_1 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:KODIAK SEPTEMBER .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:KODIAK SEPTEMBER .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN::Des Latent Heat Load [W],PERIMETER_ZN_1 ZN::Des Latent Cool Load [W],PERIMETER_ZN_1 ZN::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN::Des Heat Load No DOAS [W],PERIMETER_ZN_1 ZN::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_1 ZN::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_1 ZN::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_1 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_1 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_1 ZN:KODIAK SEPTEMBER .4% CONDNS DB=>MCWB:Cooling Zone Temperature [C],PERIMETER_ZN_1 ZN:KODIAK SEPTEMBER .4% CONDNS DB=>MCWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_2 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN::Des Latent Heat Load [W],PERIMETER_ZN_2 ZN::Des Latent Cool Load [W],PERIMETER_ZN_2 ZN::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN::Des Heat Load No DOAS [W],PERIMETER_ZN_2 ZN::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_2 ZN::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_2 ZN::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_2 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_2 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_2 ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Temperature [C],PERIMETER_ZN_2 ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_3 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN::Des Latent Heat Load [W],PERIMETER_ZN_3 ZN::Des Latent Cool Load [W],PERIMETER_ZN_3 ZN::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN::Des Heat Load No DOAS [W],PERIMETER_ZN_3 ZN::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_3 ZN::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_3 ZN::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_3 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_3 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_3 ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Temperature [C],PERIMETER_ZN_3 ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_4 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN::Des Latent Heat Load [W],PERIMETER_ZN_4 ZN::Des Latent Cool Load [W],PERIMETER_ZN_4 ZN::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN::Des Heat Load No DOAS [W],PERIMETER_ZN_4 ZN::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_4 ZN::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_4 ZN::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_4 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_4 ZN:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_4 ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Temperature [C],PERIMETER_ZN_4 ZN:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Relative Humidity [%]
00:10:00,0.000000E+00,3.742332E+03,0.000000E+00,3.300439E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.284328E+01,1.000000E+02,2.388735E+01,5.159409E+01,1.837258E+03,2.904401E+03,6.236865E-02,2.561317E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111138E+01,5.692499E+01,2.388793E+01,5.060250E+01,1.182303E+03,1.573473E+03,4.013464E-02,1.387631E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111102E+01,5.521499E+01,2.388772E+01,5.146584E+01,1.944260E+03,2.393964E+03,6.600070E-02,2.111227E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111125E+01,5.613320E+01,2.388765E+01,5.203724E+01,1.197065E+03,1.878467E+03,4.063577E-02,1.656587E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111102E+01,5.516985E+01,2.388781E+01,5.060369E+01
00:20:00,0.000000E+00,3.735890E+03,0.000000E+00,3.294758E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.284289E+01,1.000000E+02,2.388735E+01,5.160462E+01,1.836012E+03,2.885074E+03,6.232633E-02,2.544274E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111137E+01,5.689938E+01,2.388793E+01,5.063184E+01,1.181666E+03,1.564470E+03,4.011303E-02,1.379692E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111102E+01,5.519679E+01,2.388772E+01,5.149617E+01,1.943019E+03,2.378880E+03,6.595854E-02,2.097926E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111124E+01,5.611280E+01,2.388764E+01,5.207663E+01,1.196429E+03,1.857786E+03,4.061418E-02,1.638350E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111102E+01,5.515257E+01,2.388781E+01,5.065421E+01
00:30:00,0.000000E+00,3.729837E+03,0.000000E+00,3.289420E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.284250E+01,1.000000E+02,2.388735E+01,5.161451E+01,1.834769E+03,2.866124E+03,6.228412E-02,2.527562E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111136E+01,5.687665E+01,2.388793E+01,5.066092E+01,1.181031E+03,1.555766E+03,4.009147E-02,1.372017E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111102E+01,5.518081E+01,2.388772E+01,5.152574E+01,1.941780E+03,2.364698E+03,6.591649E-02,2.085420E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111124E+01,5.609481E+01,2.388764E+01,5.211384E+01,1.195795E+03,1.838503E+03,4.059265E-02,1.621346E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111102E+01,5.513742E+01,2.388780E+01,5.070223E+01
00:40:00,0.000000E+00,3.724117E+03,0.000000E+00,3.284376E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.284211E+01,1.000000E+02,2.388735E+01,5.162381E+01,1.833530E+03,2.847535E+03,6.224202E-02,2.511169E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111136E+01,5.685647E+01,2.388793E+01,5.068978E+01,1.180398E+03,1.547334E+03,4.006996E-02,1.364581E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111101E+01,5.516679E+01,2.388772E+01,5.155460E+01,1.940546E+03,2.351314E+03,6.587455E-02,2.073617E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111123E+01,5.607894E+01,2.388763E+01,5.214913E+01,1.195163E+03,1.820447E+03,4.057117E-02,1.605424E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111101E+01,5.512413E+01,2.388779E+01,5.074802E+01
00:50:00,0.000000E+00,3.718684E+03,0.000000E+00,3.279586E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.284173E+01,1.000000E+02,2.388734E+01,5.163261E+01,1.832293E+03,2.829292E+03,6.220003E-02,2.495082E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111135E+01,5.683855E+01,2.388792E+01,5.071845E+01,1.179766E+03,1.539151E+03,4.004851E-02,1.357364E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111101E+01,5.515448E+01,2.388771E+01,5.158287E+01,1.939314E+03,2.338637E+03,6.583274E-02,2.062438E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111123E+01,5.606495E+01,2.388763E+01,5.218274E+01,1.194532E+03,1.803469E+03,4.054975E-02,1.590452E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111101E+01,5.511249E+01,2.388779E+01,5.079185E+01
01:00:00,0.000000E+00,3.713501E+03,0.000000E+00,3.275015E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.284134E+01,1.000000E+02,2.388734E+01,5.164097E+01,1.831060E+03,2.811385E+03,6.215817E-02,2.479291E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111135E+01,5.682263E+01,2.388792E+01,5.074697E+01,1.179137E+03,1.531198E+03,4.002713E-02,1.350351E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111100E+01,5.514367E+01,2.388771E+01,5.161061E+01,1.938086E+03,2.326590E+03,6.579104E-02,2.051816E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111123E+01,5.605259E+01,2.388763E+01,5.221487E+01,1.193903E+03,1.787444E+03,4.052839E-02,1.576321E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111101E+01,5.510227E+01,2.388778E+01,5.083392E+01
01:10:00,0.000000E+00,3.708686E+03,0.000000E+00,3.270769E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.284096E+01,1.000000E+02,2.388734E+01,5.164895E+01,1.831150E+03,2.793922E+03,6.216121E-02,2.463891E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111134E+01,5.680850E+01,2.388792E+01,5.077537E+01,1.179184E+03,1.523524E+03,4.002874E-02,1.343583E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111100E+01,5.513418E+01,2.388771E+01,5.163789E+01,1.938175E+03,2.315251E+03,6.579404E-02,2.041817E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111122E+01,5.604169E+01,2.388762E+01,5.224571E+01,1.193950E+03,1.772339E+03,4.053000E-02,1.563000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111100E+01,5.509332E+01,2.388778E+01,5.087444E+01
01:20:00,0.000000E+00,3.704060E+03,0.000000E+00,3.266690E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.284058E+01,1.000000E+02,2.388734E+01,5.165659E+01,1.831239E+03,2.776830E+03,6.216420E-02,2.448818E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111134E+01,5.679594E+01,2.388792E+01,5.080347E+01,1.179231E+03,1.516075E+03,4.003033E-02,1.337015E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111100E+01,5.512585E+01,2.388771E+01,5.166457E+01,1.938262E+03,2.304468E+03,6.579699E-02,2.032308E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111122E+01,5.603208E+01,2.388762E+01,5.227519E+01,1.193997E+03,1.758015E+03,4.053157E-02,1.550369E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111100E+01,5.508546E+01,2.388777E+01,5.091342E+01
01:30:00,0.000000E+00,3.699600E+03,0.000000E+00,3.262757E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.284020E+01,1.000000E+02,2.388734E+01,5.166394E+01,1.831326E+03,2.760101E+03,6.216714E-02,2.434065E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111134E+01,5.678478E+01,2.388792E+01,5.083122E+01,1.179277E+03,1.508842E+03,4.003188E-02,1.330636E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111100E+01,5.511853E+01,2.388770E+01,5.169061E+01,1.938347E+03,2.294194E+03,6.579989E-02,2.023248E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111122E+01,5.602359E+01,2.388762E+01,5.230336E+01,1.194043E+03,1.744396E+03,4.053313E-02,1.538359E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111100E+01,5.507856E+01,2.388777E+01,5.095093E+01
01:40:00,0.000000E+00,3.695286E+03,0.000000E+00,3.258953E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.283982E+01,1.000000E+02,2.388734E+01,5.167103E+01,1.831411E+03,2.743728E+03,6.217004E-02,2.419627E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111134E+01,5.677487E+01,2.388792E+01,5.085865E+01,1.179322E+03,1.501812E+03,4.003342E-02,1.324437E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111100E+01,5.511209E+01,2.388770E+01,5.171610E+01,1.938432E+03,2.284387E+03,6.580275E-02,2.014599E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111122E+01,5.601609E+01,2.388761E+01,5.233035E+01,1.194088E+03,1.731413E+03,4.053466E-02,1.526910E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111100E+01,5.507251E+01,2.388777E+01,5.098715E+01
