Time,ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Heat Load No DOAS [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Sens Cool Load No DOAS [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Heat Load No DOAS [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Cool Load No DOAS [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Temperature [C],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Relative Humidity [%]
00:10:00,1.208488E+04,1.207380E+03,4.084127E-01,8.496903E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098210E+01,3.685712E+01,2.670008E+01,3.837691E+01
00:20:00,1.208456E+04,1.196371E+03,4.084017E-01,8.419423E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098210E+01,3.685714E+01,2.670008E+01,3.833209E+01
00:30:00,1.208424E+04,1.183080E+03,4.083908E-01,8.325883E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098210E+01,3.685716E+01,2.670009E+01,3.828203E+01
00:40:00,1.208392E+04,1.168231E+03,4.083800E-01,8.221382E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098210E+01,3.685718E+01,2.670010E+01,3.823865E+01
00:50:00,1.208360E+04,1.152347E+03,4.083693E-01,8.109590E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098210E+01,3.685720E+01,2.670010E+01,3.820548E+01
01:00:00,1.208329E+04,1.135780E+03,4.083587E-01,7.993000E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098210E+01,3.685722E+01,2.670011E+01,3.818110E+01
01:10:00,1.208331E+04,1.122025E+03,4.083595E-01,7.896198E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098210E+01,3.685724E+01,2.670011E+01,3.816292E+01
01:20:00,1.208333E+04,1.108446E+03,4.083603E-01,7.800628E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098210E+01,3.685726E+01,2.670011E+01,3.814899E+01
01:30:00,1.208336E+04,1.095153E+03,4.083611E-01,7.707079E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098210E+01,3.685728E+01,2.670011E+01,3.813801E+01
01:40:00,1.208338E+04,1.082239E+03,4.083619E-01,7.616195E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098210E+01,3.685729E+01,2.670011E+01,3.812918E+01
