Time,ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Heat Load No DOAS [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Sens Cool Load No DOAS [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Heat Load No DOAS [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Cool Load No DOAS [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Temperature [C],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Relative Humidity [%]
00:10:00,1.227129E+04,6.900455E+02,4.147478E-01,4.856183E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700107E+01,2.670005E+01,3.831565E+01
00:20:00,1.227101E+04,6.929907E+02,4.147381E-01,4.876908E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700108E+01,2.670005E+01,3.826911E+01
00:30:00,1.227072E+04,6.923191E+02,4.147285E-01,4.872180E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700110E+01,2.670005E+01,3.821664E+01
00:40:00,1.227044E+04,6.889934E+02,4.147189E-01,4.848774E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700112E+01,2.670006E+01,3.817031E+01
00:50:00,1.227016E+04,6.836596E+02,4.147095E-01,4.811236E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700113E+01,2.670006E+01,3.813398E+01
01:00:00,1.226988E+04,6.768450E+02,4.147001E-01,4.763277E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700115E+01,2.670007E+01,3.810657E+01
01:10:00,1.226990E+04,6.722088E+02,4.147008E-01,4.730649E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700117E+01,2.670007E+01,3.808575E+01
01:20:00,1.226992E+04,6.671923E+02,4.147015E-01,4.695344E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700118E+01,2.670007E+01,3.806963E+01
01:30:00,1.226994E+04,6.619917E+02,4.147022E-01,4.658745E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700120E+01,2.670007E+01,3.805694E+01
01:40:00,1.226997E+04,6.567742E+02,4.147029E-01,4.622026E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700122E+01,2.670007E+01,3.804684E+01
01:50:00,1.226999E+04,6.517059E+02,4.147036E-01,4.586357E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700123E+01,2.670007E+01,3.803871E+01
02:00:00,1.227001E+04,6.468715E+02,4.147043E-01,4.552335E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700125E+01,2.670007E+01,3.803209E+01
02:10:00,1.227003E+04,6.420037E+02,4.147049E-01,4.518078E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700126E+01,2.670007E+01,3.802663E+01
02:20:00,1.227005E+04,6.371791E+02,4.147056E-01,4.484125E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700128E+01,2.670007E+01,3.802210E+01
02:30:00,1.227006E+04,6.324332E+02,4.147063E-01,4.450726E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700129E+01,2.670007E+01,3.801833E+01
02:40:00,1.227008E+04,6.277988E+02,4.147069E-01,4.418111E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098458E+01,3.700131E+01,2.670007E+01,3.801515E+01
