Time,ZONE WAREHOUSE BULK  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE WAREHOUSE BULK  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],ZONE WAREHOUSE BULK  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE WAREHOUSE BULK  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s],ZONE WAREHOUSE BULK  - STORY GROUND::Des Latent Heat Load [W],ZONE WAREHOUSE BULK  - STORY GROUND::Des Latent Cool Load [W],ZONE WAREHOUSE BULK  - STORY GROUND::Des Latent Heat Mass Flow [kg/s],ZONE WAREHOUSE BULK  - STORY GROUND::Des Latent Cool Mass Flow [kg/s],ZONE WAREHOUSE BULK  - STORY GROUND::Des Heat Load No DOAS [W],ZONE WAREHOUSE BULK  - STORY GROUND::Des Sens Cool Load No DOAS [W],ZONE WAREHOUSE BULK  - STORY GROUND::Des Latent Heat Load No DOAS [W],ZONE WAREHOUSE BULK  - STORY GROUND::Des Latent Cool Load No DOAS [W],ZONE WAREHOUSE BULK  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ZONE WAREHOUSE BULK  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ZONE WAREHOUSE BULK  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Temperature [C],ZONE WAREHOUSE BULK  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Relative Humidity [%],ZONE WAREHOUSE FINE  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE WAREHOUSE FINE  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],ZONE WAREHOUSE FINE  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE WAREHOUSE FINE  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s],ZONE WAREHOUSE FINE  - STORY GROUND::Des Latent Heat Load [W],ZONE WAREHOUSE FINE  - STORY GROUND::Des Latent Cool Load [W],ZONE WAREHOUSE FINE  - STORY GROUND::Des Latent Heat Mass Flow [kg/s],ZONE WAREHOUSE FINE  - STORY GROUND::Des Latent Cool Mass Flow [kg/s],ZONE WAREHOUSE FINE  - STORY GROUND::Des Heat Load No DOAS [W],ZONE WAREHOUSE FINE  - STORY GROUND::Des Sens Cool Load No DOAS [W],ZONE WAREHOUSE FINE  - STORY GROUND::Des Latent Heat Load No DOAS [W],ZONE WAREHOUSE FINE  - STORY GROUND::Des Latent Cool Load No DOAS [W],ZONE WAREHOUSE FINE  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ZONE WAREHOUSE FINE  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ZONE WAREHOUSE FINE  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Temperature [C],ZONE WAREHOUSE FINE  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Relative Humidity [%],ZONE WAREHOUSE OFFICE  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE WAREHOUSE OFFICE  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],ZONE WAREHOUSE OFFICE  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE WAREHOUSE OFFICE  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s],ZONE WAREHOUSE OFFICE  - STORY GROUND::Des Latent Heat Load [W],ZONE WAREHOUSE OFFICE  - STORY GROUND::Des Latent Cool Load [W],ZONE WAREHOUSE OFFICE  - STORY GROUND::Des Latent Heat Mass Flow [kg/s],ZONE WAREHOUSE OFFICE  - STORY GROUND::Des Latent Cool Mass Flow [kg/s],ZONE WAREHOUSE OFFICE  - STORY GROUND::Des Heat Load No DOAS [W],ZONE WAREHOUSE OFFICE  - STORY GROUND::Des Sens Cool Load No DOAS [W],ZONE WAREHOUSE OFFICE  - STORY GROUND::Des Latent Heat Load No DOAS [W],ZONE WAREHOUSE OFFICE  - STORY GROUND::Des Latent Cool Load No DOAS [W],ZONE WAREHOUSE OFFICE  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ZONE WAREHOUSE OFFICE  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ZONE WAREHOUSE OFFICE  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Temperature [C],ZONE WAREHOUSE OFFICE  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Relative Humidity [%]
01:00:00,2.167477E+03,0.000000E+00,7.085262E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.000000E+01,1.646225E+01,2.605286E+01,3.929784E+01,1.737620E+04,0.000000E+00,4.932615E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.545381E+01,4.051198E+01,2.109510E+01,5.297125E+01,6.738461E+02,0.000000E+00,1.920730E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559536E+01,6.589405E+01,2.512775E+01,4.185251E+01
02:00:00,2.170896E+03,0.000000E+00,7.096439E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.000000E+01,1.646225E+01,2.593799E+01,3.956359E+01,1.738059E+04,0.000000E+00,4.933854E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.545375E+01,4.051704E+01,2.084439E+01,5.379132E+01,6.804268E+02,0.000000E+00,1.939488E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559537E+01,6.585066E+01,2.492922E+01,4.228964E+01
03:00:00,2.173757E+03,0.000000E+00,7.105789E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.000000E+01,1.646225E+01,2.580557E+01,3.987233E+01,1.738420E+04,0.000000E+00,4.934880E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.545376E+01,4.052092E+01,2.063440E+01,5.448928E+01,6.858274E+02,0.000000E+00,1.954879E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559532E+01,6.591226E+01,2.473548E+01,4.271453E+01
04:00:00,2.176397E+03,0.000000E+00,7.114419E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.000000E+01,1.646225E+01,2.568302E+01,4.016065E+01,1.738745E+04,0.000000E+00,4.935803E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.545378E+01,4.052409E+01,2.046487E+01,5.506039E+01,6.905675E+02,0.000000E+00,1.968391E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559534E+01,6.599095E+01,2.457008E+01,4.308621E+01
05:00:00,2.178892E+03,0.000000E+00,7.122576E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.000000E+01,1.646225E+01,2.556190E+01,4.044822E+01,1.739042E+04,0.000000E+00,4.936652E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.545380E+01,4.052691E+01,2.029924E+01,5.562493E+01,6.948184E+02,0.000000E+00,1.980510E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559537E+01,6.604171E+01,2.441651E+01,4.344257E+01
06:00:00,2.181244E+03,0.000000E+00,7.130263E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.000000E+01,1.646225E+01,2.544316E+01,4.073267E+01,1.739314E+04,0.000000E+00,4.937426E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.545381E+01,4.052951E+01,2.016513E+01,5.608691E+01,6.986280E+02,0.000000E+00,1.991370E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.559539E+01,6.607446E+01,2.427395E+01,4.378262E+01
07:00:00,2.183451E+03,0.000000E+00,7.137480E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.000000E+01,1.646225E+01,2.542076E+01,4.078562E+01,1.743017E+04,0.000000E+00,4.951719E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.548020E+01,4.049940E+01,2.017666E+01,5.604772E+01,1.118556E+03,0.000000E+00,3.365819E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.743914E+01,6.022686E+01,2.441586E+01,4.338695E+01
08:00:00,2.164251E+03,0.000000E+00,7.074718E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.000000E+01,1.646225E+01,2.566509E+01,4.019820E+01,1.740170E+04,0.000000E+00,4.944491E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.548620E+01,4.047358E+01,2.064630E+01,5.445274E+01,1.606823E+03,0.000000E+00,5.184519E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.961947E+01,5.384345E+01,2.462426E+01,4.299646E+01
09:00:00,1.975525E+03,0.000000E+00,6.457791E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.000000E+01,1.646225E+01,2.619060E+01,3.896847E+01,1.732633E+04,0.000000E+00,4.921662E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.547628E+01,4.045234E+01,2.144383E+01,5.185944E+01,1.710568E+03,1.126977E+02,5.700023E-02,9.648535E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.057103E+01,5.117719E+01,2.418238E+01,4.480069E+01
10:00:00,1.934718E+03,0.000000E+00,6.324396E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.000000E+01,1.646225E+01,2.678258E+01,3.763520E+01,1.726360E+04,0.000000E+00,4.902671E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.546804E+01,4.044341E+01,2.216318E+01,4.963883E+01,1.553773E+03,1.570080E+02,5.252724E-02,1.382171E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099148E+01,5.014492E+01,2.390757E+01,4.651671E+01
