model,outage_type,outage_date,duration_hours,start time,scenario,event,building
15_Hangar,Heat_only,December 29,318,17:37,tsunami,1,hanger3
20_Hangar,Heat_only,December 29,318,17:37,tsunami,1,hanger2
14_Hangar,Heat_only,December 29,318,17:37,tsunami,1,hanger1
15_Hangar,Heat_only,August 7,319,16:54,tsunami,2,hanger3
20_Hangar,Heat_only,August 7,319,16:54,tsunami,2,hanger2
14_Hangar,Heat_only,August 7,319,16:54,tsunami,2,hanger1
15_Hangar,Heat_only,July 31,328,8:11,tsunami,3,hanger3
20_Hangar,Heat_only,July 31,328,8:11,tsunami,3,hanger2
14_Hangar,Heat_only,July 31,328,8:11,tsunami,3,hanger1
15_Hangar,Heat_only,May 4,4,5:14,KEA_loss,1,hanger3
20_Hangar,Heat_only,May 4,163,5:14,KEA_loss,1,hanger2
14_Hangar,Heat_only,May 4,259,5:14,KEA_loss,1,hanger1
N96_2020,Heat_only,May 4,4032,5:14,KEA_loss,1,N96
614_Cutterman,Heat_only,May 4,4032,5:14,KEA_loss,1,club614
15_Hangar,Heat_only,June 23,4,9:12,KEA_loss,2,hanger3
20_Hangar,Heat_only,June 23,163,9:12,KEA_loss,2,hanger2
14_Hangar,Heat_only,June 23,259,9:12,KEA_loss,2,hanger1
N96_2020,Heat_only,June 23,4032,9:12,KEA_loss,2,N96
614_Cutterman,Heat_only,June 23,4032,9:12,KEA_loss,2,club614
15_Hangar,Heat_only,January 31,4,3:12,KEA_loss,3,hanger3
20_Hangar,Heat_only,January 31,165,3:12,KEA_loss,3,hanger2
14_Hangar,Heat_only,January 31,237,3:12,KEA_loss,3,hanger1
N96_2020,Heat_only,January 31,4032,3:12,KEA_loss,3,N96
614_Cutterman,Heat_only,January 31,4032,3:12,KEA_loss,3,club614
15_Hangar,Heat_only,January 9,4,4:51,microgrid,2,hanger3
20_Hangar,Heat_only,January 9,4,4:51,microgrid,2,hanger2
14_Hangar,Heat_only,January 9,4,4:51,microgrid,2,hanger1
N96_2020,Heat_only,January 9,4,4:51,microgrid,2,N96
614_Cutterman,Heat_only,January 9,4,4:51,microgrid,2,club614
15_Hangar,Heat_only,November 21,1,19:51,microgrid,3,hanger3
20_Hangar,Heat_only,November 21,1,19:51,microgrid,3,hanger2
14_Hangar,Heat_only,November 21,1,19:51,microgrid,3,hanger1
N96_2020,Heat_only,November 21,1,19:51,microgrid,3,N96
614_Cutterman,Heat_only,November 21,1,19:51,microgrid,3,club614
N2,Power_and_Heat,December 29,1152,17:41,tsunami,1,wwtp
15_Hangar,Power_and_Heat,December 29,2310,17:41,tsunami,1,hanger3
20_Hangar,Power_and_Heat,December 29,1152,17:41,tsunami,1,hanger2
 n73 Connection Status,Power_and_Heat,December 29,2310,17:41,tsunami,1,n73
 club614 Connection Status,Power_and_Heat,December 29,2310,17:41,tsunami,1,club614
14_Hangar,Power_and_Heat,January 3,336,0:04,tsunami,1,Hanger1
14_Hangar,Power_and_Heat,January 27,288,0:00,tsunami,1,Hanger1
N2,Power_and_Heat,August 7,1152,16:54,tsunami,2,wwtp
15_Hangar,Power_and_Heat,August 7,2311,16:54,tsunami,2,hanger3
20_Hangar,Power_and_Heat,August 7,1152,16:54,tsunami,2,hanger2
14_Hangar,Power_and_Heat,August 7,151,16:54,tsunami,2,hanger1
N73,Power_and_Heat,August 7,2311,16:54,tsunami,2,n73
614_Cutterman,Power_and_Heat,August 7,2311,16:54,tsunami,2,club614
14_Hangar,Power_and_Heat,August 24,336,0:00,tsunami,2,hanger1
14_Hangar,Power_and_Heat,September 17,185,0:00,tsunami,2,hanger1
N2,Power_and_Heat,July 31,1152,8:11,tsunami,3,wwtp
15_Hangar,Power_and_Heat,July 31,2320,8:11,tsunami,3,hanger3
20_Hangar,Power_and_Heat,July 31,1152,8:11,tsunami,3,hanger2
14_Hangar,Power_and_Heat,July 31,352,8:11,tsunami,3,hanger1
N73,Power_and_Heat,July 31,2320,8:11,tsunami,3,n73
614_Cutterman,Power_and_Heat,July 31,2320,8:11,tsunami,3,club614
14_Hangar,Power_and_Heat,August 29,72,0:00,tsunami,3,hanger1
N2,Power_and_Heat,May 4,4,5:18,KEA_loss,1,wwtp
15_Hangar,Power_and_Heat,May 4,4,5:18,KEA_loss,1,hanger3
20_Hangar,Power_and_Heat,May 4,163,5:18,KEA_loss,1,hanger2
14_Hangar,Power_and_Heat,May 4,235,5:18,KEA_loss,1,hanger1
N96_2020,Power_and_Heat,May 4,4032,5:18,KEA_loss,1,n96
R2_copy,Power_and_Heat,May 4,4,5:18,KEA_loss,1,r2
N73,Power_and_Heat,May 4,4032,5:18,KEA_loss,1,n73
614_Cutterman,Power_and_Heat,May 4,4032,5:18,KEA_loss,1,club614
T1_copy,Power_and_Heat,May 4,4,5:18,KEA_loss,1,T1
N23,Power_and_Heat,May 4,91,5:18,KEA_loss,1,wtp
N2,Power_and_Heat,June 23,4,9:12,KEA_loss,2,wwtp
15_Hangar,Power_and_Heat,June 23,4,9:12,KEA_loss,2,hanger3
20_Hangar,Power_and_Heat,June 23,159,9:12,KEA_loss,2,hanger2
14_Hangar,Power_and_Heat,June 23,72,9:12,KEA_loss,2,hanger1
N96_2020,Power_and_Heat,June 23,4032,9:12,KEA_loss,2,n96
R2_copy,Power_and_Heat,June 23,4,9:12,KEA_loss,2,r2
N73,Power_and_Heat,June 23,4032,9:12,KEA_loss,2,n73
614_Cutterman,Power_and_Heat,June 23,4032,9:12,KEA_loss,2,club614
T1_copy,Power_and_Heat,June 23,4,9:12,KEA_loss,2,T1
N23,Power_and_Heat,June 23,87,9:12,KEA_loss,2,wtp
N2,Power_and_Heat,January 31,4,3:12,KEA_loss,3,wwtp
15_Hangar,Power_and_Heat,January 31,4,3:12,KEA_loss,3,hanger3
20_Hangar,Power_and_Heat,January 31,165,3:12,KEA_loss,3,hanger2
14_Hangar,Power_and_Heat,January 31,237,3:12,KEA_loss,3,hanger1
N96_2020,Power_and_Heat,January 31,4032,3:12,KEA_loss,3,n96
R2_copy,Power_and_Heat,January 31,4,3:12,KEA_loss,3,r2
N73,Power_and_Heat,January 31,4032,3:12,KEA_loss,3,n73
614_Cutterman,Power_and_Heat,January 31,4032,3:12,KEA_loss,3,club614
T1_copy,Power_and_Heat,January 31,4,3:12,KEA_loss,3,T1
N23,Power_and_Heat,January 31,93,3:12,KEA_loss,3,wtp
N2,Power_and_Heat,January 9,4,4:51,microgrid,2,wwtp
15_Hangar,Power_and_Heat,January 9,4,4:51,microgrid,2,hanger3
20_Hangar,Power_and_Heat,January 9,4,4:51,microgrid,2,hanger2
14_Hangar,Power_and_Heat,January 9,4,4:51,microgrid,2,hanger1
N96_2020,Power_and_Heat,January 9,4,4:51,microgrid,2,n96
R2_copy,Power_and_Heat,January 9,4,4:51,microgrid,2,r2
N73,Power_and_Heat,January 9,4,4:51,microgrid,2,n73
614_Cutterman,Power_and_Heat,January 9,4,4:51,microgrid,2,club614
T1_copy,Power_and_Heat,January 9,4,4:51,microgrid,2,T1
N23,Power_and_Heat,January 9,4,4:51,microgrid,2,wtp
