date_time,Average PMV,Habitability?
2021-01-31 03:00:00,-1.4529273688004156,H
2021-01-31 04:00:00,-1.6469153876187008,H
2021-01-31 05:00:00,-1.7612607523750743,H
2021-01-31 06:00:00,-1.8256607259699227,H
2021-01-31 07:00:00,-1.8911498830531877,H
2021-01-31 08:00:00,-1.9206240696746608,H
2021-01-31 09:00:00,-1.924828884900861,H
2021-01-31 10:00:00,-1.9144797224140453,H
2021-01-31 11:00:00,-1.914363029706368,H
2021-01-31 12:00:00,-1.912959709452398,H
2021-01-31 13:00:00,-1.9270129727275742,H
2021-01-31 14:00:00,-1.921894928045922,H
2021-01-31 15:00:00,-1.9264958253460405,H
2021-01-31 16:00:00,-1.941743245196764,H
2021-01-31 17:00:00,-1.9561572172809634,H
2021-01-31 18:00:00,-1.990879614644224,H
2021-01-31 19:00:00,-2.026900508905753,H
2021-01-31 20:00:00,-2.0588204201714433,H
2021-01-31 21:00:00,-2.0824007110324394,H
2021-01-31 22:00:00,-2.118890593485863,H
2021-01-31 23:00:00,-2.1712528857969655,H
2021-02-01 00:00:00,-2.2243829321743513,H
2021-02-01 01:00:00,-2.2781155878843915,H
2021-02-01 02:00:00,-2.3405472130129024,H
2021-02-01 03:00:00,-2.4018838357700005,H
2021-02-01 04:00:00,-2.4627871375044337,H
2021-02-01 05:00:00,-2.5069920005189688,H
2021-02-01 06:00:00,-2.5496429067880615,H
2021-02-01 07:00:00,-2.5825324845903004,H
2021-02-01 08:00:00,-2.5913232865439757,H
2021-02-01 09:00:00,-2.592165250859875,H
2021-02-01 10:00:00,-2.509704415707489,H
2021-02-01 11:00:00,-2.484140018455792,H
2021-02-01 12:00:00,-2.447089132471303,H
2021-02-01 13:00:00,-2.4083754303251887,H
2021-02-01 14:00:00,-2.389958410305637,H
2021-02-01 15:00:00,-2.382463567707332,H
2021-02-01 16:00:00,-2.3864690002690567,H
2021-02-01 17:00:00,-2.4239895185060534,H
2021-02-01 18:00:00,-2.492715552348829,H
2021-02-01 19:00:00,-2.526387341003133,H
2021-02-01 20:00:00,-2.6068432788693987,H
2021-02-01 21:00:00,-2.668999225058206,H
2021-02-01 22:00:00,-2.7258026875321,H
2021-02-01 23:00:00,-2.761110466299643,H
2021-02-02 00:00:00,-2.8050335336867023,H
2021-02-02 01:00:00,-2.8655962531116885,H
2021-02-02 02:00:00,-2.9005192136097064,H
2021-02-02 03:00:00,-2.931263186633302,H
2021-02-02 04:00:00,-2.9689607916607925,H
2021-02-02 05:00:00,-2.9905528567756523,H
2021-02-02 06:00:00,-3.011159742592929,NH
2021-02-02 07:00:00,-3.0242985896193275,NH
2021-02-02 08:00:00,-3.0220236634049,NH
2021-02-02 09:00:00,-3.006047205823149,NH
2021-02-02 10:00:00,-2.9576108309896,H
2021-02-02 11:00:00,-2.885380948108225,H
2021-02-02 12:00:00,-2.8597638046426366,H
2021-02-02 13:00:00,-2.7962037781431692,H
2021-02-02 14:00:00,-2.770827904791938,H
2021-02-02 15:00:00,-2.7668251553813463,H
2021-02-02 16:00:00,-2.8060067245738676,H
2021-02-02 17:00:00,-2.846800376332903,H
2021-02-02 18:00:00,-2.881512262747181,H
2021-02-02 19:00:00,-2.94898036588425,H
2021-02-02 20:00:00,-2.999449582528823,H
2021-02-02 21:00:00,-3.0525203505756444,NH
2021-02-02 22:00:00,-3.083209906049305,NH
2021-02-02 23:00:00,-3.1027400594666275,NH
2021-02-03 00:00:00,-3.1272381508883575,NH
2021-02-03 01:00:00,-3.153807881250503,NH
2021-02-03 02:00:00,-3.168790253316472,NH
2021-02-03 03:00:00,-3.1816629555262543,NH
2021-02-03 04:00:00,-3.195545043992641,NH
2021-02-03 05:00:00,-3.1984321546640437,NH
2021-02-03 06:00:00,-3.2154750251127546,NH
2021-02-03 07:00:00,-3.2266787984190395,NH
2021-02-03 08:00:00,-3.2118843944958027,NH
2021-02-03 09:00:00,-3.1831345844756864,NH
2021-02-03 10:00:00,-3.132474325498998,NH
2021-02-03 11:00:00,-3.0744022101627,NH
2021-02-03 12:00:00,-3.043648801217808,NH
2021-02-03 13:00:00,-3.025866527590909,NH
2021-02-03 14:00:00,-2.999429736424483,H
2021-02-03 15:00:00,-2.9777555470799073,H
2021-02-03 16:00:00,-2.9745186797310716,H
2021-02-03 17:00:00,-2.980554894866682,H
2021-02-03 18:00:00,-3.0096912151689508,NH
2021-02-03 19:00:00,-3.054225248507235,NH
2021-02-03 20:00:00,-3.0933966324391613,NH
2021-02-03 21:00:00,-3.111482955988105,NH
2021-02-03 22:00:00,-3.129509236563374,NH
2021-02-03 23:00:00,-3.1451199204869944,NH
2021-02-04 00:00:00,-3.153324908988939,NH
2021-02-04 01:00:00,-3.1684169583036996,NH
2021-02-04 02:00:00,-3.177397363067977,NH
2021-02-04 03:00:00,-3.1800771832436303,NH
2021-02-04 04:00:00,-3.1954471898546486,NH
2021-02-04 05:00:00,-3.2116011610537942,NH
2021-02-04 06:00:00,-3.203577003105373,NH
2021-02-04 07:00:00,-3.2319791566832614,NH
2021-02-04 08:00:00,-3.2616864943587793,NH
2021-02-04 09:00:00,-3.2566246589910777,NH
2021-02-04 10:00:00,-3.1934336150470966,NH
2021-02-04 11:00:00,-3.0827979608526483,NH
2021-02-04 12:00:00,-2.9447219175749173,H
2021-02-04 13:00:00,-2.854473710909905,H
2021-02-04 14:00:00,-2.76406697326259,H
2021-02-04 15:00:00,-2.7202085715236795,H
2021-02-04 16:00:00,-2.7459460526832213,H
2021-02-04 17:00:00,-2.799980404923256,H
2021-02-04 18:00:00,-2.9162306623390486,H
2021-02-04 19:00:00,-2.9852515130437496,H
2021-02-04 20:00:00,-3.0615471766928004,NH
