date_time,Average PMV,Habitability?
2021-05-04 05:00:00,-1.239903305653148,H
2021-05-04 06:00:00,-1.2290486553069322,H
2021-05-04 07:00:00,-1.2089090391138984,H
2021-05-04 08:00:00,-1.1712983510550246,H
2021-05-04 09:00:00,-1.1134417003985708,H
2021-05-04 10:00:00,-1.0422352556887378,H
2021-05-04 11:00:00,-1.0152666767390324,H
2021-05-04 12:00:00,-0.9548203693649396,H
2021-05-04 13:00:00,-0.8818894988768381,H
2021-05-04 14:00:00,-0.8727271804599973,H
2021-05-04 15:00:00,-0.8409761954672188,H
2021-05-04 16:00:00,-0.8378708372648876,H
2021-05-04 17:00:00,-0.8789160367827019,H
2021-05-04 18:00:00,-0.9451985470760181,H
2021-05-04 19:00:00,-1.0276755388600716,H
2021-05-04 20:00:00,-1.111987370033354,H
2021-05-04 21:00:00,-1.1822099608845844,H
2021-05-04 22:00:00,-1.2323250978869924,H
2021-05-04 23:00:00,-1.288146947632555,H
2021-05-05 00:00:00,-1.3311850292103182,H
2021-05-05 01:00:00,-1.3706341713229921,H
2021-05-05 02:00:00,-1.406929677837063,H
2021-05-05 03:00:00,-1.4439785775758434,H
2021-05-05 04:00:00,-1.4813367803658704,H
2021-05-05 05:00:00,-1.5180630364989176,H
2021-05-05 06:00:00,-1.528125931550569,H
2021-05-05 07:00:00,-1.5288352831407812,H
2021-05-05 08:00:00,-1.525403221570472,H
2021-05-05 09:00:00,-1.496226685230031,H
2021-05-05 10:00:00,-1.4562183830793307,H
2021-05-05 11:00:00,-1.4419179129237205,H
2021-05-05 12:00:00,-1.3963891716923291,H
2021-05-05 13:00:00,-1.3471158953281748,H
2021-05-05 14:00:00,-1.3284374428734653,H
2021-05-05 15:00:00,-1.2743878873746497,H
2021-05-05 16:00:00,-1.2340994929079292,H
2021-05-05 17:00:00,-1.2390501055308372,H
2021-05-05 18:00:00,-1.2728343812517238,H
2021-05-05 19:00:00,-1.315007642054446,H
2021-05-05 20:00:00,-1.375412868594727,H
2021-05-05 21:00:00,-1.422069881800495,H
2021-05-05 22:00:00,-1.4580095716088801,H
2021-05-05 23:00:00,-1.4872594503993994,H
2021-05-06 00:00:00,-1.5176993774617438,H
2021-05-06 01:00:00,-1.5583022691641109,H
2021-05-06 02:00:00,-1.594593445705734,H
2021-05-06 03:00:00,-1.6192711697832758,H
2021-05-06 04:00:00,-1.6353732996086292,H
2021-05-06 05:00:00,-1.6465790016300257,H
2021-05-06 06:00:00,-1.62959593249138,H
2021-05-06 07:00:00,-1.616365378807352,H
2021-05-06 08:00:00,-1.6014574427535668,H
2021-05-06 09:00:00,-1.544185686829427,H
2021-05-06 10:00:00,-1.475477667265454,H
2021-05-06 11:00:00,-1.408080796664156,H
2021-05-06 12:00:00,-1.359670053835402,H
