date_time,Average PMV,Habitability?
2021-06-23 09:00:00,-1.020703410369366,H
2021-06-23 10:00:00,-1.1783278341141388,H
2021-06-23 11:00:00,-1.2484497093754021,H
2021-06-23 12:00:00,-1.3347522706382637,H
2021-06-23 13:00:00,-1.340276575508538,H
2021-06-23 14:00:00,-1.334622136471892,H
2021-06-23 15:00:00,-1.344679352806086,H
2021-06-23 16:00:00,-1.3669512465837694,H
2021-06-23 17:00:00,-1.442118572023302,H
2021-06-23 18:00:00,-1.5096074670443642,H
2021-06-23 19:00:00,-1.563827546599863,H
2021-06-23 20:00:00,-1.6109924474040505,H
2021-06-23 21:00:00,-1.654104617070623,H
2021-06-23 22:00:00,-1.6878542904596314,H
2021-06-23 23:00:00,-1.7183308661543375,H
2021-06-24 00:00:00,-1.744442477883867,H
2021-06-24 01:00:00,-1.7656842012183516,H
2021-06-24 02:00:00,-1.7897310360584946,H
2021-06-24 03:00:00,-1.8087353986803096,H
2021-06-24 04:00:00,-1.8269538344064091,H
2021-06-24 05:00:00,-1.8461274563572807,H
2021-06-24 06:00:00,-1.8651230185160708,H
2021-06-24 07:00:00,-1.8715289544196325,H
2021-06-24 08:00:00,-1.851937241761273,H
2021-06-24 09:00:00,-1.8334988419231506,H
2021-06-24 10:00:00,-1.8140790692454136,H
2021-06-24 11:00:00,-1.7979357433554932,H
2021-06-24 12:00:00,-1.79953079607532,H
2021-06-24 13:00:00,-1.7684306757342538,H
2021-06-24 14:00:00,-1.7489830887620883,H
2021-06-24 15:00:00,-1.7445206504704878,H
2021-06-24 16:00:00,-1.7452193927375677,H
2021-06-24 17:00:00,-1.77167158697648,H
2021-06-24 18:00:00,-1.7882871196199945,H
2021-06-24 19:00:00,-1.809648904574017,H
2021-06-24 20:00:00,-1.8327470283155636,H
2021-06-24 21:00:00,-1.856648043417852,H
2021-06-24 22:00:00,-1.8750742548805188,H
2021-06-24 23:00:00,-1.8954806870023013,H
2021-06-25 00:00:00,-1.9278478910515553,H
2021-06-25 01:00:00,-1.9489266341593607,H
