date_time,Average PMV,Habitability?
2021-05-04 05:00:00,-2.044311702613316,H
2021-05-04 06:00:00,-2.1406340895079308,H
2021-05-04 07:00:00,-2.183265575976004,H
2021-05-04 08:00:00,-2.17881555472742,H
2021-05-04 09:00:00,-2.1470391056284304,H
2021-05-04 10:00:00,-2.1189839484629847,H
2021-05-04 11:00:00,-2.1016655538315034,H
2021-05-04 12:00:00,-2.1041946531199587,H
2021-05-04 13:00:00,-2.0709569630439866,H
2021-05-04 14:00:00,-2.0604180509788423,H
2021-05-04 15:00:00,-2.0531955215617477,H
2021-05-04 16:00:00,-2.068074755431845,H
2021-05-04 17:00:00,-2.141181513842221,H
2021-05-04 18:00:00,-2.21681936736312,H
2021-05-04 19:00:00,-2.2789280936348106,H
2021-05-04 20:00:00,-2.3407588574987344,H
2021-05-04 21:00:00,-2.394055273238056,H
2021-05-04 22:00:00,-2.439742440399313,H
2021-05-04 23:00:00,-2.4798441268443057,H
2021-05-05 00:00:00,-2.5184869030432373,H
2021-05-05 01:00:00,-2.5561089020899517,H
2021-05-05 02:00:00,-2.5922903224306095,H
2021-05-05 03:00:00,-2.626090121520006,H
2021-05-05 04:00:00,-2.6586428208094195,H
2021-05-05 05:00:00,-2.690050957274895,H
2021-05-05 06:00:00,-2.706217037148574,H
2021-05-05 07:00:00,-2.699552182200737,H
2021-05-05 08:00:00,-2.6547910631893816,H
2021-05-05 09:00:00,-2.6093673745405326,H
2021-05-05 10:00:00,-2.571669397905699,H
2021-05-05 11:00:00,-2.556068777378587,H
2021-05-05 12:00:00,-2.5576840263076885,H
2021-05-05 13:00:00,-2.519053458564231,H
2021-05-05 14:00:00,-2.4959324981802475,H
2021-05-05 15:00:00,-2.4771839333350814,H
2021-05-05 16:00:00,-2.4753425333707093,H
2021-05-05 17:00:00,-2.5419981911277993,H
2021-05-05 18:00:00,-2.5985115252551254,H
2021-05-05 19:00:00,-2.650128165866147,H
2021-05-05 20:00:00,-2.699858961606484,H
2021-05-05 21:00:00,-2.747952326859172,H
2021-05-05 22:00:00,-2.7900550011475773,H
2021-05-05 23:00:00,-2.8291570587540193,H
2021-05-06 00:00:00,-2.865421344723996,H
2021-05-06 01:00:00,-2.8877945578099102,H
2021-05-06 02:00:00,-2.9098204080208716,H
2021-05-06 03:00:00,-2.9301502585821027,H
2021-05-06 04:00:00,-2.9497885380146625,H
2021-05-06 05:00:00,-2.967000234959072,H
2021-05-06 06:00:00,-2.972247744343098,H
2021-05-06 07:00:00,-2.9742080568358307,H
2021-05-06 08:00:00,-2.9537060042110075,H
2021-05-06 09:00:00,-2.9219872141888232,H
2021-05-06 10:00:00,-2.895227390259938,H
2021-05-06 11:00:00,-2.8698628911792454,H
2021-05-06 12:00:00,-2.8630598545643102,H
2021-05-06 13:00:00,-2.8185704005259704,H
2021-05-06 14:00:00,-2.7939928233997526,H
2021-05-06 15:00:00,-2.783427301554356,H
2021-05-06 16:00:00,-2.794240063131887,H
2021-05-06 17:00:00,-2.8307201033852123,H
2021-05-06 18:00:00,-2.860548470568243,H
2021-05-06 19:00:00,-2.8900262681793283,H
2021-05-06 20:00:00,-2.9245469982582772,H
2021-05-06 21:00:00,-2.962317783192184,H
2021-05-06 22:00:00,-2.9972842007792697,H
2021-05-06 23:00:00,-3.0323152652543066,NH
2021-05-07 00:00:00,-3.0771653721075665,NH
2021-05-07 01:00:00,-3.102914566768765,NH
2021-05-07 02:00:00,-3.1236930350337837,NH
2021-05-07 03:00:00,-3.1450979404018233,NH
2021-05-07 04:00:00,-3.1647360400057494,NH
2021-05-07 05:00:00,-3.182716142084994,NH
2021-05-07 06:00:00,-3.1790607198619427,NH
2021-05-07 07:00:00,-3.1647529366685707,NH
2021-05-07 08:00:00,-3.132419169515431,NH
2021-05-07 09:00:00,-3.0965334030934524,NH
2021-05-07 10:00:00,-3.0655484319565605,NH
2021-05-07 11:00:00,-3.030213768373956,NH
2021-05-07 12:00:00,-3.003315381969998,NH
2021-05-07 13:00:00,-2.959825638453632,H
2021-05-07 14:00:00,-2.929482476829506,H
2021-05-07 15:00:00,-2.9192589437118635,H
2021-05-07 16:00:00,-2.9298015291089645,H
2021-05-07 17:00:00,-2.951784457565712,H
2021-05-07 18:00:00,-2.9662586408851843,H
2021-05-07 19:00:00,-2.9963532519562786,H
2021-05-07 20:00:00,-3.030157332889953,NH
2021-05-07 21:00:00,-3.069842340571262,NH
2021-05-07 22:00:00,-3.1030172989424494,NH
2021-05-07 23:00:00,-3.130699302041027,NH
2021-05-08 00:00:00,-3.155755008283173,NH
2021-05-08 01:00:00,-3.182049142836414,NH
2021-05-08 02:00:00,-3.208820874800631,NH
2021-05-08 03:00:00,-3.2307948547553855,NH
2021-05-08 04:00:00,-3.249132289503082,NH
2021-05-08 05:00:00,-3.2647690218580823,NH
2021-05-08 06:00:00,-3.2565879782291707,NH
2021-05-08 07:00:00,-3.22942323911628,NH
2021-05-08 08:00:00,-3.1547544084979187,NH
2021-05-08 09:00:00,-3.073186403996931,NH
2021-05-08 10:00:00,-3.0061864599787693,NH
2021-05-08 11:00:00,-2.939311682572973,H
2021-05-08 12:00:00,-2.9052214530334015,H
2021-05-08 13:00:00,-2.84170934107469,H
2021-05-08 14:00:00,-2.802344941932444,H
2021-05-08 15:00:00,-2.7727181998796304,H
2021-05-08 16:00:00,-2.7823216885266606,H
2021-05-08 17:00:00,-2.8559439034323186,H
2021-05-08 18:00:00,-2.9167031414072047,H
2021-05-08 19:00:00,-2.9671636560410266,H
2021-05-08 20:00:00,-3.0163727374630107,NH
2021-05-08 21:00:00,-3.0583946014946517,NH
2021-05-08 22:00:00,-3.0932566283895357,NH
2021-05-08 23:00:00,-3.122685834812762,NH
2021-05-09 00:00:00,-3.150040956381956,NH
2021-05-09 01:00:00,-3.175237794256732,NH
2021-05-09 02:00:00,-3.1984723694579884,NH
2021-05-09 03:00:00,-3.2174301316107026,NH
2021-05-09 04:00:00,-3.2341705048581164,NH
2021-05-09 05:00:00,-3.2496731963587213,NH
2021-05-09 06:00:00,-3.256366139316698,NH
2021-05-09 07:00:00,-3.242064188249707,NH
2021-05-09 08:00:00,-3.189178598972457,NH
2021-05-09 09:00:00,-3.127312474476399,NH
2021-05-09 10:00:00,-3.0772884492276895,NH
2021-05-09 11:00:00,-3.049717216140655,NH
2021-05-09 12:00:00,-3.0459486598879875,NH
2021-05-09 13:00:00,-2.9981869063632125,H
2021-05-09 14:00:00,-2.9622464002603883,H
2021-05-09 15:00:00,-2.9400489527675653,H
2021-05-09 16:00:00,-2.9451667314881846,H
2021-05-09 17:00:00,-3.0152832273728634,NH
2021-05-09 18:00:00,-3.0675190152768415,NH
2021-05-09 19:00:00,-3.1107633981083427,NH
2021-05-09 20:00:00,-3.152006199883907,NH
2021-05-09 21:00:00,-3.1880841133060644,NH
2021-05-09 22:00:00,-3.2188390488125322,NH
2021-05-09 23:00:00,-3.245878137135744,NH
2021-05-10 00:00:00,-3.271920665008727,NH
2021-05-10 01:00:00,-3.294498319598574,NH
2021-05-10 02:00:00,-3.3158693149260983,NH
2021-05-10 03:00:00,-3.329126000388308,NH
2021-05-10 04:00:00,-3.3381644194901163,NH
2021-05-10 05:00:00,-3.3436622947054553,NH
2021-05-10 06:00:00,-3.333014149350165,NH
2021-05-10 07:00:00,-3.299906604994424,NH
2021-05-10 08:00:00,-3.227659277137653,NH
2021-05-10 09:00:00,-3.1497542494983954,NH
2021-05-10 10:00:00,-3.0893467938882324,NH
2021-05-10 11:00:00,-3.031274014880685,NH
2021-05-10 12:00:00,-3.010784861662657,NH
2021-05-10 13:00:00,-2.9523023176367342,H
2021-05-10 14:00:00,-2.9185393894604754,H
2021-05-10 15:00:00,-2.884321750838214,H
2021-05-10 16:00:00,-2.86571393307707,H
2021-05-10 17:00:00,-2.9160814290465473,H
2021-05-10 18:00:00,-2.972807637415731,H
2021-05-10 19:00:00,-3.023089906081275,NH
2021-05-10 20:00:00,-3.0739386540257043,NH
2021-05-10 21:00:00,-3.1184534464155433,NH
2021-05-10 22:00:00,-3.156067448827541,NH
2021-05-10 23:00:00,-3.1887066543406495,NH
2021-05-11 00:00:00,-3.2183005676893117,NH
2021-05-11 01:00:00,-3.247011365089438,NH
2021-05-11 02:00:00,-3.274179822033561,NH
2021-05-11 03:00:00,-3.2972494126180205,NH
2021-05-11 04:00:00,-3.3182220679120342,NH
2021-05-11 05:00:00,-3.337121619148474,NH
2021-05-11 06:00:00,-3.3151915768239952,NH
2021-05-11 07:00:00,-3.2635285536488765,NH
2021-05-11 08:00:00,-3.1590969463826295,NH
2021-05-11 09:00:00,-3.083342018149384,NH
2021-05-11 10:00:00,-3.001616407266223,NH
2021-05-11 11:00:00,-2.945021502921828,H
2021-05-11 12:00:00,-2.9270396945451,H
2021-05-11 13:00:00,-2.8619582649010726,H
2021-05-11 14:00:00,-2.820273572907039,H
2021-05-11 15:00:00,-2.799137215097536,H
2021-05-11 16:00:00,-2.7991627691694183,H
2021-05-11 17:00:00,-2.8664552145224937,H
2021-05-11 18:00:00,-2.9194151465117737,H
2021-05-11 19:00:00,-2.9616961011233016,H
2021-05-11 20:00:00,-3.0026321620242893,NH
2021-05-11 21:00:00,-3.044662082331149,NH
2021-05-11 22:00:00,-3.0929432415903455,NH
2021-05-11 23:00:00,-3.138383422116673,NH
2021-05-12 00:00:00,-3.176869723093681,NH
2021-05-12 01:00:00,-3.2096081055415264,NH
2021-05-12 02:00:00,-3.240662967561042,NH
2021-05-12 03:00:00,-3.2694659770695793,NH
2021-05-12 04:00:00,-3.296445550256298,NH
2021-05-12 05:00:00,-3.321783310050806,NH
2021-05-12 06:00:00,-3.326703606937155,NH
2021-05-12 07:00:00,-3.310906500575586,NH
2021-05-12 08:00:00,-3.250265219024294,NH
2021-05-12 09:00:00,-3.1810166505643576,NH
2021-05-12 10:00:00,-3.116564344955922,NH
2021-05-12 11:00:00,-3.051518395930882,NH
2021-05-12 12:00:00,-3.044123409012926,NH
2021-05-12 13:00:00,-2.9903373393735575,H
2021-05-12 14:00:00,-2.9533771227180057,H
2021-05-12 15:00:00,-2.9242183705854607,H
2021-05-12 16:00:00,-2.9249203938475348,H
2021-05-12 17:00:00,-2.987395268320538,H
2021-05-12 18:00:00,-3.0424521342654542,NH
2021-05-12 19:00:00,-3.0901856912816377,NH
2021-05-12 20:00:00,-3.135391974268907,NH
2021-05-12 21:00:00,-3.174519627315423,NH
2021-05-12 22:00:00,-3.2074388899475834,NH
2021-05-12 23:00:00,-3.235994886548653,NH
2021-05-13 00:00:00,-3.2657756600473626,NH
2021-05-13 01:00:00,-3.283310607854013,NH
2021-05-13 02:00:00,-3.302158661764657,NH
2021-05-13 03:00:00,-3.3244390593252344,NH
2021-05-13 04:00:00,-3.345560379978146,NH
2021-05-13 05:00:00,-3.3663223294941544,NH
2021-05-13 06:00:00,-3.347288027483634,NH
2021-05-13 07:00:00,-3.315162989486146,NH
2021-05-13 08:00:00,-3.2377773816354924,NH
2021-05-13 09:00:00,-3.196445469810756,NH
2021-05-13 10:00:00,-3.158620106113066,NH
2021-05-13 11:00:00,-3.1263566412458967,NH
2021-05-13 12:00:00,-3.115704713965728,NH
2021-05-13 13:00:00,-3.062414285710009,NH
2021-05-13 14:00:00,-3.0288404126474315,NH
2021-05-13 15:00:00,-3.0194950823862925,NH
2021-05-13 16:00:00,-3.0212351140285043,NH
2021-05-13 17:00:00,-3.0604515877761975,NH
2021-05-13 18:00:00,-3.086506692302405,NH
2021-05-13 19:00:00,-3.1116018066438538,NH
2021-05-13 20:00:00,-3.139957582195128,NH
