date_time,Average PMV,Habitability?
2021-01-31 03:00:00,-1.2274198459440064,H
2021-01-31 04:00:00,-1.450258171141143,H
2021-01-31 05:00:00,-1.564689003277609,H
2021-01-31 06:00:00,-1.621965068571221,H
2021-01-31 07:00:00,-1.6755537018130175,H
2021-01-31 08:00:00,-1.700372995052334,H
2021-01-31 09:00:00,-1.6965362686618457,H
2021-01-31 10:00:00,-1.662990859331306,H
2021-01-31 11:00:00,-1.6562870987046794,H
2021-01-31 12:00:00,-1.6468620309646818,H
2021-01-31 13:00:00,-1.6659526991053983,H
2021-01-31 14:00:00,-1.6468298229843272,H
2021-01-31 15:00:00,-1.6535658128888282,H
2021-01-31 16:00:00,-1.679135018192307,H
2021-01-31 17:00:00,-1.7024524339187852,H
2021-01-31 18:00:00,-1.7573432077928262,H
2021-01-31 19:00:00,-1.8076453600503801,H
2021-01-31 20:00:00,-1.8336316930218703,H
2021-01-31 21:00:00,-1.8523557482681443,H
2021-01-31 22:00:00,-1.901223247884697,H
2021-01-31 23:00:00,-1.9549315102654887,H
2021-02-01 00:00:00,-2.024215339607515,H
2021-02-01 01:00:00,-2.0896012129702037,H
2021-02-01 02:00:00,-2.164588580324527,H
2021-02-01 03:00:00,-2.2388244942405975,H
2021-02-01 04:00:00,-2.3164100306307365,H
2021-02-01 05:00:00,-2.3687902973133586,H
2021-02-01 06:00:00,-2.4236044516302675,H
2021-02-01 07:00:00,-2.4711226606977865,H
2021-02-01 08:00:00,-2.481500425211058,H
2021-02-01 09:00:00,-2.503570135033288,H
2021-02-01 10:00:00,-2.3431844932663806,H
2021-02-01 11:00:00,-2.3080298531856127,H
2021-02-01 12:00:00,-2.2845334590813344,H
2021-02-01 13:00:00,-2.22710894873854,H
2021-02-01 14:00:00,-2.211648352164667,H
2021-02-01 15:00:00,-2.2109366511366826,H
2021-02-01 16:00:00,-2.221474169076574,H
2021-02-01 17:00:00,-2.288554023724082,H
2021-02-01 18:00:00,-2.4014111329014582,H
2021-02-01 19:00:00,-2.437135199374415,H
2021-02-01 20:00:00,-2.559827485058008,H
2021-02-01 21:00:00,-2.650914920092822,H
2021-02-01 22:00:00,-2.7089603361261285,H
2021-02-01 23:00:00,-2.752219440404318,H
2021-02-02 00:00:00,-2.806431091468929,H
2021-02-02 01:00:00,-2.881101703764648,H
2021-02-02 02:00:00,-2.9170238993145836,H
2021-02-02 03:00:00,-2.971525328911868,H
2021-02-02 04:00:00,-3.0233141170335305,NH
2021-02-02 05:00:00,-3.0424143825524914,NH
2021-02-02 06:00:00,-3.0623367085687385,NH
2021-02-02 07:00:00,-3.0711067380378334,NH
2021-02-02 08:00:00,-3.0650600757501962,NH
2021-02-02 09:00:00,-3.0597916210633116,NH
2021-02-02 10:00:00,-2.966928339487323,H
2021-02-02 11:00:00,-2.873429884890379,H
2021-02-02 12:00:00,-2.8774764438445257,H
2021-02-02 13:00:00,-2.827551994026694,H
2021-02-02 14:00:00,-2.821631177678846,H
2021-02-02 15:00:00,-2.8230646308361744,H
2021-02-02 16:00:00,-2.875097641911085,H
2021-02-02 17:00:00,-2.929230522461544,H
2021-02-02 18:00:00,-2.9648271171095564,H
2021-02-02 19:00:00,-3.0707299658545395,NH
2021-02-02 20:00:00,-3.1338924872422798,NH
2021-02-02 21:00:00,-3.1996751703449497,NH
2021-02-02 22:00:00,-3.230616000998527,NH
2021-02-02 23:00:00,-3.2515637759677736,NH
2021-02-03 00:00:00,-3.284456545769774,NH
2021-02-03 01:00:00,-3.318230941060181,NH
2021-02-03 02:00:00,-3.332430637482443,NH
2021-02-03 03:00:00,-3.3421556821160276,NH
2021-02-03 04:00:00,-3.3562418977517345,NH
2021-02-03 05:00:00,-3.348857499091102,NH
2021-02-03 06:00:00,-3.3774950150233733,NH
2021-02-03 07:00:00,-3.391943321381484,NH
2021-02-03 08:00:00,-3.362014616501434,NH
2021-02-03 09:00:00,-3.3391648672746412,NH
2021-02-03 10:00:00,-3.2469281653446584,NH
2021-02-03 11:00:00,-3.186463172448452,NH
2021-02-03 12:00:00,-3.1674181955111234,NH
2021-02-03 13:00:00,-3.1534694663075213,NH
2021-02-03 14:00:00,-3.1171110291938318,NH
2021-02-03 15:00:00,-3.084790764778071,NH
