date_time,Average PMV,Habitability?
2021-05-04 05:00:00,-0.0778970858557984,H
2021-05-04 06:00:00,-0.1041853255241697,H
2021-05-04 07:00:00,-0.12150073161310349,H
2021-05-04 08:00:00,-0.13945992547627484,H
2021-05-04 09:00:00,-0.1355152871352785,H
2021-05-04 10:00:00,-0.1282967524716108,H
2021-05-04 11:00:00,-0.13228442295143142,H
2021-05-04 12:00:00,-0.12231861668320276,H
2021-05-04 13:00:00,-0.11443814037846223,H
2021-05-04 14:00:00,-0.13302386268225588,H
2021-05-04 15:00:00,-0.1361109471309302,H
2021-05-04 16:00:00,-0.15302980197947266,H
2021-05-04 17:00:00,-0.17834938866973163,H
2021-05-04 18:00:00,-0.20881107118240827,H
2021-05-04 19:00:00,-0.24485655389527972,H
2021-05-04 20:00:00,-0.2825502388423707,H
2021-05-04 21:00:00,-0.3129973244047253,H
2021-05-04 22:00:00,-0.3432725275677422,H
2021-05-04 23:00:00,-0.3677822867537501,H
2021-05-05 00:00:00,-0.3947415748251106,H
2021-05-05 01:00:00,-0.42310248878229756,H
2021-05-05 02:00:00,-0.46330514254771576,H
2021-05-05 03:00:00,-0.4989375609774071,H
2021-05-05 04:00:00,-0.53031928180842,H
2021-05-05 05:00:00,-0.5608575632337192,H
2021-05-05 06:00:00,-0.567778762035997,H
2021-05-05 07:00:00,-0.5741820608013377,H
2021-05-05 08:00:00,-0.590427549712786,H
2021-05-05 09:00:00,-0.5943448611474728,H
2021-05-05 10:00:00,-0.5912389349623214,H
2021-05-05 11:00:00,-0.6098995343366196,H
2021-05-05 12:00:00,-0.601338034641502,H
2021-05-05 13:00:00,-0.597229493032326,H
2021-05-05 14:00:00,-0.6115217182223818,H
2021-05-05 15:00:00,-0.6094617696324155,H
2021-05-05 16:00:00,-0.6124826838807517,H
2021-05-05 17:00:00,-0.6324140470193854,H
2021-05-05 18:00:00,-0.6519335747668394,H
2021-05-05 19:00:00,-0.6799218680710847,H
2021-05-05 20:00:00,-0.7143892420305825,H
2021-05-05 21:00:00,-0.7475433433577695,H
2021-05-05 22:00:00,-0.7764395983556107,H
2021-05-05 23:00:00,-0.805015298970951,H
2021-05-06 00:00:00,-0.835898620361939,H
2021-05-06 01:00:00,-0.8628191242786056,H
2021-05-06 02:00:00,-0.8930101233996481,H
2021-05-06 03:00:00,-0.9180409251747639,H
2021-05-06 04:00:00,-0.9413644485938365,H
2021-05-06 05:00:00,-0.9626828921904641,H
2021-05-06 06:00:00,-0.9601828280945769,H
