date_time,Average PMV,Habitability?
2021-01-31 03:00:00,-1.8839411994181636,H
2021-01-31 04:00:00,-2.173068685739364,H
2021-01-31 05:00:00,-2.32504533457823,H
2021-01-31 06:00:00,-2.4312520453268234,H
2021-01-31 07:00:00,-2.5094721175600134,H
2021-01-31 08:00:00,-2.5776631238952423,H
2021-01-31 09:00:00,-2.627256204612331,H
2021-01-31 10:00:00,-2.6640130354844094,H
2021-01-31 11:00:00,-2.6978028124892455,H
2021-01-31 12:00:00,-2.7296943133229488,H
2021-01-31 13:00:00,-2.761223205803539,H
2021-01-31 14:00:00,-2.7870207628872685,H
2021-01-31 15:00:00,-2.812358553676748,H
2021-01-31 16:00:00,-2.8412245440295227,H
2021-01-31 17:00:00,-2.867465684856933,H
2021-01-31 18:00:00,-2.891895070937583,H
2021-01-31 19:00:00,-2.915002991207295,H
2021-01-31 20:00:00,-2.9375039648947143,H
2021-01-31 21:00:00,-2.9595338738086188,H
2021-01-31 22:00:00,-3.0042234545997424,NH
2021-01-31 23:00:00,-3.0660571006609523,NH
2021-02-01 00:00:00,-3.1302826805371935,NH
2021-02-01 01:00:00,-3.2126826551553873,NH
2021-02-01 02:00:00,-3.306649130533176,NH
2021-02-01 03:00:00,-3.400588538738299,NH
2021-02-01 04:00:00,-3.49644832925677,NH
2021-02-01 05:00:00,-3.569108703715754,NH
2021-02-01 06:00:00,-3.6528097676523448,NH
2021-02-01 07:00:00,-3.718748821682489,NH
2021-02-01 08:00:00,-3.776352175452807,NH
2021-02-01 09:00:00,-3.818608889396827,NH
2021-02-01 10:00:00,-3.8411928438509277,NH
2021-02-01 11:00:00,-3.8604201936449507,NH
2021-02-01 12:00:00,-3.8814989660404855,NH
2021-02-01 13:00:00,-3.890766080220896,NH
2021-02-01 14:00:00,-3.9114078482487273,NH
2021-02-01 15:00:00,-3.9206626546681207,NH
2021-02-01 16:00:00,-3.941786205186716,NH
2021-02-01 17:00:00,-3.9779119741656026,NH
2021-02-01 18:00:00,-4.019064073622773,NH
2021-02-01 19:00:00,-4.052065733022154,NH
2021-02-01 20:00:00,-4.091742472707992,NH
2021-02-01 21:00:00,-4.115885845310264,NH
2021-02-01 22:00:00,-4.171700190878693,NH
2021-02-01 23:00:00,-4.229422218131755,NH
2021-02-02 00:00:00,-4.288514587662244,NH
2021-02-02 01:00:00,-4.360672416134988,NH
2021-02-02 02:00:00,-4.413928753160685,NH
2021-02-02 03:00:00,-4.394519244728889,NH
2021-02-02 04:00:00,-4.394344109555008,NH
2021-02-02 05:00:00,-4.398091520846152,NH
2021-02-02 06:00:00,-4.408500394759931,NH
2021-02-02 07:00:00,-4.423350852315146,NH
2021-02-02 08:00:00,-4.440102335033765,NH
2021-02-02 09:00:00,-4.453414423076658,NH
2021-02-02 10:00:00,-4.451146693594674,NH
2021-02-02 11:00:00,-4.428237516776052,NH
2021-02-02 12:00:00,-4.425343118176561,NH
2021-02-02 13:00:00,-4.409381213590347,NH
2021-02-02 14:00:00,-4.4012214275859085,NH
2021-02-02 15:00:00,-4.404947838685747,NH
2021-02-02 16:00:00,-4.425552048505869,NH
2021-02-02 17:00:00,-4.454459440228974,NH
2021-02-02 18:00:00,-4.479094705278745,NH
2021-02-02 19:00:00,-4.499293784999208,NH
2021-02-02 20:00:00,-4.522207088792677,NH
2021-02-02 21:00:00,-4.538900542806629,NH
2021-02-02 22:00:00,-4.554907209462576,NH
2021-02-02 23:00:00,-4.567379377632822,NH
2021-02-03 00:00:00,-4.578734257293401,NH
2021-02-03 01:00:00,-4.590027145488373,NH
2021-02-03 02:00:00,-4.594675818901197,NH
2021-02-03 03:00:00,-4.604143921684795,NH
2021-02-03 04:00:00,-4.616045555005447,NH
2021-02-03 05:00:00,-4.627056778529278,NH
2021-02-03 06:00:00,-4.63779163927813,NH
2021-02-03 07:00:00,-4.650045560128572,NH
2021-02-03 08:00:00,-4.662892219042049,NH
2021-02-03 09:00:00,-4.667868260422598,NH
2021-02-03 10:00:00,-4.65833738896292,NH
2021-02-03 11:00:00,-4.64118046895811,NH
2021-02-03 12:00:00,-4.632409326873076,NH
2021-02-03 13:00:00,-4.630139037252745,NH
2021-02-03 14:00:00,-4.62570201514833,NH
2021-02-03 15:00:00,-4.623440551877696,NH
2021-02-03 16:00:00,-4.630534209568855,NH
2021-02-03 17:00:00,-4.65095917875562,NH
2021-02-03 18:00:00,-4.668807993948175,NH
2021-02-03 19:00:00,-4.682447621538936,NH
2021-02-03 20:00:00,-4.696050053569292,NH
2021-02-03 21:00:00,-4.710147200545973,NH
2021-02-03 22:00:00,-4.722056998919586,NH
2021-02-03 23:00:00,-4.732515172227294,NH
2021-02-04 00:00:00,-4.742390783606622,NH
2021-02-04 01:00:00,-4.7608102356484086,NH
2021-02-04 02:00:00,-4.7747797633695495,NH
2021-02-04 03:00:00,-4.780340373731584,NH
2021-02-04 04:00:00,-4.8223084663419415,NH
2021-02-04 05:00:00,-4.847809979346991,NH
2021-02-04 06:00:00,-4.867579735481584,NH
2021-02-04 07:00:00,-4.900587785820943,NH
2021-02-04 08:00:00,-4.957992743578633,NH
2021-02-04 09:00:00,-5.000109033174094,NH
2021-02-04 10:00:00,-5.010453549741721,NH
2021-02-04 11:00:00,-4.986651528275018,NH
2021-02-04 12:00:00,-4.9415820399965975,NH
2021-02-04 13:00:00,-4.904275468223655,NH
2021-02-04 14:00:00,-4.849363356837907,NH
2021-02-04 15:00:00,-4.824875471666762,NH
2021-02-04 16:00:00,-4.846543876159089,NH
2021-02-04 17:00:00,-4.893199650199204,NH
2021-02-04 18:00:00,-4.958069802006343,NH
2021-02-04 19:00:00,-4.997925223127646,NH
2021-02-04 20:00:00,-5.049142619220116,NH
2021-02-04 21:00:00,-5.110546530484156,NH
2021-02-04 22:00:00,-5.155049748189259,NH
2021-02-04 23:00:00,-5.19966993056257,NH
2021-02-05 00:00:00,-5.238918539803106,NH
2021-02-05 01:00:00,-5.287664495840427,NH
2021-02-05 02:00:00,-5.331721765245262,NH
2021-02-05 03:00:00,-5.386229818907286,NH
2021-02-05 04:00:00,-5.443200531539259,NH
2021-02-05 05:00:00,-5.485558774517197,NH
2021-02-05 06:00:00,-5.512844691609239,NH
2021-02-05 07:00:00,-5.5656823768415835,NH
2021-02-05 08:00:00,-5.609881139237582,NH
2021-02-05 09:00:00,-5.649194022185351,NH
