date_time,Average PMV,Habitability?
2021-06-23 09:00:00,-1.094140643264068,H
2021-06-23 10:00:00,-1.3257066210725095,H
2021-06-23 11:00:00,-1.4542069479729722,H
2021-06-23 12:00:00,-1.5329507535659017,H
2021-06-23 13:00:00,-1.5862397733704474,H
2021-06-23 14:00:00,-1.6203624815639064,H
2021-06-23 15:00:00,-1.6525642737024568,H
2021-06-23 16:00:00,-1.6870968072514383,H
2021-06-23 17:00:00,-1.720851873534681,H
2021-06-23 18:00:00,-1.7516253294878792,H
2021-06-23 19:00:00,-1.783581252728709,H
2021-06-23 20:00:00,-1.8158659499991554,H
2021-06-23 21:00:00,-1.8483250277983974,H
2021-06-23 22:00:00,-1.8742649827024345,H
2021-06-23 23:00:00,-1.899162855007517,H
2021-06-24 00:00:00,-1.9213550506753954,H
2021-06-24 01:00:00,-1.949244003759792,H
2021-06-24 02:00:00,-1.9775078701915827,H
2021-06-24 03:00:00,-1.9992899333503205,H
2021-06-24 04:00:00,-2.020085580708816,H
2021-06-24 05:00:00,-2.0417110029073338,H
2021-06-24 06:00:00,-2.0629622079576304,H
2021-06-24 07:00:00,-2.071256680672256,H
2021-06-24 08:00:00,-2.0759895248521505,H
2021-06-24 09:00:00,-2.0741266608868814,H
2021-06-24 10:00:00,-2.065000335599916,H
2021-06-24 11:00:00,-2.0588778085577775,H
2021-06-24 12:00:00,-2.0469745649391258,H
2021-06-24 13:00:00,-2.0334259683995697,H
2021-06-24 14:00:00,-2.0274940183978436,H
2021-06-24 15:00:00,-2.0295325800720634,H
2021-06-24 16:00:00,-2.036790593379117,H
2021-06-24 17:00:00,-2.047081755895425,H
2021-06-24 18:00:00,-2.0558970405158674,H
2021-06-24 19:00:00,-2.074918455334144,H
2021-06-24 20:00:00,-2.095435215330057,H
2021-06-24 21:00:00,-2.1172970815973198,H
2021-06-24 22:00:00,-2.134735561107758,H
2021-06-24 23:00:00,-2.154702262487071,H
2021-06-25 00:00:00,-2.1685440187090137,H
2021-06-25 01:00:00,-2.1879329402891643,H
2021-06-25 02:00:00,-2.208529873783838,H
2021-06-25 03:00:00,-2.224359505190941,H
2021-06-25 04:00:00,-2.244449553368646,H
2021-06-25 05:00:00,-2.269882744590419,H
2021-06-25 06:00:00,-2.2920119162750847,H
2021-06-25 07:00:00,-2.294408348473407,H
2021-06-25 08:00:00,-2.2846901866627376,H
2021-06-25 09:00:00,-2.2669706515742094,H
2021-06-25 10:00:00,-2.247432952169148,H
2021-06-25 11:00:00,-2.2484119884164495,H
2021-06-25 12:00:00,-2.217301818726043,H
2021-06-25 13:00:00,-2.1799641972430464,H
2021-06-25 14:00:00,-2.136554295256548,H
2021-06-25 15:00:00,-2.1199384379267037,H
2021-06-25 16:00:00,-2.105168598115501,H
2021-06-25 17:00:00,-2.1021570122198185,H
2021-06-25 18:00:00,-2.113089299882987,H
2021-06-25 19:00:00,-2.140269046186726,H
2021-06-25 20:00:00,-2.18075900205417,H
2021-06-25 21:00:00,-2.212172054926581,H
2021-06-25 22:00:00,-2.24655793266215,H
2021-06-25 23:00:00,-2.2774357850218205,H
2021-06-26 00:00:00,-2.3042188900781864,H
2021-06-26 01:00:00,-2.329357532359955,H
2021-06-26 02:00:00,-2.358575998509116,H
2021-06-26 03:00:00,-2.3814480520956964,H
2021-06-26 04:00:00,-2.397955475868027,H
2021-06-26 05:00:00,-2.4163038369341097,H
2021-06-26 06:00:00,-2.431793096630747,H
