date_time,Average PMV,Habitability?
2021-05-04 05:00:00,-2.0627169643740544,H
2021-05-04 06:00:00,-2.172722836950298,H
2021-05-04 07:00:00,-2.241708795397582,H
2021-05-04 08:00:00,-2.299112489895588,H
2021-05-04 09:00:00,-2.3210050372658717,H
2021-05-04 10:00:00,-2.331524142724696,H
2021-05-04 11:00:00,-2.3469259937040756,H
2021-05-04 12:00:00,-2.352156494427448,H
2021-05-04 13:00:00,-2.3534974376386746,H
2021-05-04 14:00:00,-2.3717120598774337,H
2021-05-04 15:00:00,-2.3849978814272035,H
2021-05-04 16:00:00,-2.4130300592901164,H
2021-05-04 17:00:00,-2.4440490502238323,H
2021-05-04 18:00:00,-2.4801227828748824,H
2021-05-04 19:00:00,-2.5189257584568154,H
2021-05-04 20:00:00,-2.560358204692808,H
2021-05-04 21:00:00,-2.602145857435765,H
2021-05-04 22:00:00,-2.6397246091766076,H
2021-05-04 23:00:00,-2.673554338820128,H
2021-05-05 00:00:00,-2.7076807852514846,H
2021-05-05 01:00:00,-2.7420325251872755,H
2021-05-05 02:00:00,-2.7757487911503715,H
2021-05-05 03:00:00,-2.807736130053417,H
2021-05-05 04:00:00,-2.838988155965206,H
2021-05-05 05:00:00,-2.8695313312926416,H
2021-05-05 06:00:00,-2.888539579557666,H
2021-05-05 07:00:00,-2.902330788579326,H
2021-05-05 08:00:00,-2.91481569554713,H
2021-05-05 09:00:00,-2.9175851254043557,H
2021-05-05 10:00:00,-2.915863593899958,H
2021-05-05 11:00:00,-2.9280777855672384,H
2021-05-05 12:00:00,-2.9271113848232466,H
2021-05-05 13:00:00,-2.9206463065268635,H
2021-05-05 14:00:00,-2.9251730951799524,H
2021-05-05 15:00:00,-2.924926190369933,H
2021-05-05 16:00:00,-2.933258142574774,H
2021-05-05 17:00:00,-2.9495583772158,H
2021-05-05 18:00:00,-2.9671939096754,H
2021-05-05 19:00:00,-2.993740711870402,H
2021-05-05 20:00:00,-3.0252151258354627,NH
2021-05-05 21:00:00,-3.0595365164732296,NH
2021-05-05 22:00:00,-3.0910997102296007,NH
2021-05-05 23:00:00,-3.1222471731833323,NH
2021-05-06 00:00:00,-3.152476588101333,NH
2021-05-06 01:00:00,-3.179425751233216,NH
2021-05-06 02:00:00,-3.2042596888327055,NH
2021-05-06 03:00:00,-3.22556018116988,NH
2021-05-06 04:00:00,-3.246201368650246,NH
2021-05-06 05:00:00,-3.264469872497422,NH
2021-05-06 06:00:00,-3.2705070532945135,NH
2021-05-06 07:00:00,-3.273035720262596,NH
2021-05-06 08:00:00,-3.2756279233095107,NH
2021-05-06 09:00:00,-3.2593397583962997,NH
2021-05-06 10:00:00,-3.241429192111363,NH
2021-05-06 11:00:00,-3.225753466664171,NH
2021-05-06 12:00:00,-3.204855211684942,NH
2021-05-06 13:00:00,-3.173559323783108,NH
2021-05-06 14:00:00,-3.16026895977028,NH
2021-05-06 15:00:00,-3.156056867729447,NH
2021-05-06 16:00:00,-3.167301435155084,NH
2021-05-06 17:00:00,-3.1866649644289264,NH
2021-05-06 18:00:00,-3.2087717327917886,NH
2021-05-06 19:00:00,-3.2345378211291123,NH
2021-05-06 20:00:00,-3.2650230848450748,NH
2021-05-06 21:00:00,-3.2994334683973197,NH
2021-05-06 22:00:00,-3.331912624907609,NH
2021-05-06 23:00:00,-3.3651357230039687,NH
2021-05-07 00:00:00,-3.391277146637119,NH
2021-05-07 01:00:00,-3.4146028578970404,NH
2021-05-07 02:00:00,-3.435516544062049,NH
2021-05-07 03:00:00,-3.4554442733492863,NH
2021-05-07 04:00:00,-3.4736285257449846,NH
2021-05-07 05:00:00,-3.4911634640056195,NH
2021-05-07 06:00:00,-3.485180442601477,NH
2021-05-07 07:00:00,-3.4694392870199304,NH
2021-05-07 08:00:00,-3.435024482653569,NH
2021-05-07 09:00:00,-3.3969885123845,NH
2021-05-07 10:00:00,-3.365294599535446,NH
2021-05-07 11:00:00,-3.325024708304863,NH
2021-05-07 12:00:00,-3.298090317376598,NH
2021-05-07 13:00:00,-3.2538101500123187,NH
2021-05-07 14:00:00,-3.2226333774721643,NH
2021-05-07 15:00:00,-3.2123105091005186,NH
2021-05-07 16:00:00,-3.224222842469197,NH
