date_time,Average PMV,Habitability?
2021-06-23 09:00:00,-1.1076703472457816,H
2021-06-23 10:00:00,-1.132990906050438,H
2021-06-23 11:00:00,-1.1350147722742494,H
2021-06-23 12:00:00,-1.1163894837001425,H
2021-06-23 13:00:00,-1.1018789839859404,H
2021-06-23 14:00:00,-1.1018826619981004,H
2021-06-23 15:00:00,-1.1155283994468765,H
2021-06-23 16:00:00,-1.1361035399499957,H
2021-06-23 17:00:00,-1.1554371069560476,H
2021-06-23 18:00:00,-1.1673417625656037,H
2021-06-23 19:00:00,-1.1858111973795902,H
2021-06-23 20:00:00,-1.1928512900201724,H
2021-06-23 21:00:00,-1.213855262159579,H
2021-06-23 22:00:00,-1.226460552621646,H
2021-06-23 23:00:00,-1.2429664465431312,H
2021-06-24 00:00:00,-1.266164710359256,H
2021-06-24 01:00:00,-1.3174463503675597,H
2021-06-24 02:00:00,-1.355099970650835,H
2021-06-24 03:00:00,-1.3789272063372837,H
2021-06-24 04:00:00,-1.3956803732068601,H
2021-06-24 05:00:00,-1.416592992871183,H
2021-06-24 06:00:00,-1.4288282803635743,H
2021-06-24 07:00:00,-1.4092202403098586,H
2021-06-24 08:00:00,-1.4013891176177726,H
2021-06-24 09:00:00,-1.425256936297418,H
2021-06-24 10:00:00,-1.4117129471370522,H
2021-06-24 11:00:00,-1.3952533955400157,H
2021-06-24 12:00:00,-1.3620807756916324,H
2021-06-24 13:00:00,-1.3441132202332513,H
2021-06-24 14:00:00,-1.3505159714536423,H
2021-06-24 15:00:00,-1.363183574499266,H
2021-06-24 16:00:00,-1.3689787073243844,H
2021-06-24 17:00:00,-1.3888077210338408,H
2021-06-24 18:00:00,-1.391183183550821,H
2021-06-24 19:00:00,-1.427102490989398,H
2021-06-24 20:00:00,-1.4445726133868773,H
2021-06-24 21:00:00,-1.461837882910428,H
2021-06-24 22:00:00,-1.4739202954518447,H
2021-06-24 23:00:00,-1.489216578939023,H
2021-06-25 00:00:00,-1.5037229376319312,H
2021-06-25 01:00:00,-1.5285052572085782,H
2021-06-25 02:00:00,-1.5510481951019326,H
2021-06-25 03:00:00,-1.5737692894613982,H
2021-06-25 04:00:00,-1.5695920500968508,H
2021-06-25 05:00:00,-1.5769058657846324,H
2021-06-25 06:00:00,-1.5854254562003507,H
2021-06-25 07:00:00,-1.588235754080079,H
2021-06-25 08:00:00,-1.5709100221761783,H
2021-06-25 09:00:00,-1.5592173123452842,H
2021-06-25 10:00:00,-1.5481917809155004,H
2021-06-25 11:00:00,-1.5556506744917258,H
2021-06-25 12:00:00,-1.5084078664260776,H
2021-06-25 13:00:00,-1.4724110233283565,H
2021-06-25 14:00:00,-1.4388773404160722,H
2021-06-25 15:00:00,-1.4138106306804545,H
2021-06-25 16:00:00,-1.3900158390192079,H
2021-06-25 17:00:00,-1.3606332579756055,H
2021-06-25 18:00:00,-1.3626239329427976,H
2021-06-25 19:00:00,-1.4050577342492043,H
2021-06-25 20:00:00,-1.4686563091393312,H
2021-06-25 21:00:00,-1.5027102102626189,H
2021-06-25 22:00:00,-1.5466306901009532,H
2021-06-25 23:00:00,-1.5835334978034854,H
2021-06-26 00:00:00,-1.5999306966601166,H
2021-06-26 01:00:00,-1.6158974487278444,H
2021-06-26 02:00:00,-1.6430481606754235,H
2021-06-26 03:00:00,-1.6559488291065916,H
2021-06-26 04:00:00,-1.6751103229271127,H
2021-06-26 05:00:00,-1.6777671512406918,H
2021-06-26 06:00:00,-1.6792018701245675,H
2021-06-26 07:00:00,-1.6743733045966698,H
2021-06-26 08:00:00,-1.6706222822036214,H
2021-06-26 09:00:00,-1.6743968106932015,H
2021-06-26 10:00:00,-1.6621179141617386,H
2021-06-26 11:00:00,-1.633319871157529,H
2021-06-26 12:00:00,-1.6275253212377097,H
2021-06-26 13:00:00,-1.6161572472014578,H
2021-06-26 14:00:00,-1.5904182272459926,H
2021-06-26 15:00:00,-1.5803748791124625,H
2021-06-26 16:00:00,-1.5779118466461242,H
2021-06-26 17:00:00,-1.5748873110135229,H
2021-06-26 18:00:00,-1.550500730306435,H
2021-06-26 19:00:00,-1.5524479091427104,H
2021-06-26 20:00:00,-1.5859992161974186,H
2021-06-26 21:00:00,-1.6096521633133483,H
2021-06-26 22:00:00,-1.6234133671144548,H
2021-06-26 23:00:00,-1.6470602612545102,H
2021-06-27 00:00:00,-1.67227894798422,H
2021-06-27 01:00:00,-1.709816853509626,H
2021-06-27 02:00:00,-1.7231230445093768,H
2021-06-27 03:00:00,-1.7451572676451075,H
2021-06-27 04:00:00,-1.7621088707251833,H
2021-06-27 05:00:00,-1.7669266361400096,H
2021-06-27 06:00:00,-1.777982289952384,H
2021-06-27 07:00:00,-1.7861010203073653,H
2021-06-27 08:00:00,-1.7897199052813342,H
2021-06-27 09:00:00,-1.7929257116009307,H
2021-06-27 10:00:00,-1.7780576240410022,H
2021-06-27 11:00:00,-1.7579432351928401,H
2021-06-27 12:00:00,-1.7403951256819006,H
2021-06-27 13:00:00,-1.7224840475185321,H
2021-06-27 14:00:00,-1.7217539325993958,H
2021-06-27 15:00:00,-1.7263380715740286,H
2021-06-27 16:00:00,-1.7244475103647892,H
2021-06-27 17:00:00,-1.7180943098598203,H
2021-06-27 18:00:00,-1.720732286643886,H
2021-06-27 19:00:00,-1.7233975038942364,H
2021-06-27 20:00:00,-1.736722295114155,H
2021-06-27 21:00:00,-1.7454262245506569,H
2021-06-27 22:00:00,-1.7903658233821733,H
2021-06-27 23:00:00,-1.8220828246866678,H
2021-06-28 00:00:00,-1.8472971435387788,H
2021-06-28 01:00:00,-1.8605885945875018,H
2021-06-28 02:00:00,-1.8698728592957456,H
2021-06-28 03:00:00,-1.8830214248327044,H
2021-06-28 04:00:00,-1.8679933972359484,H
2021-06-28 05:00:00,-1.8757895790254417,H
2021-06-28 06:00:00,-1.8879515126190998,H
2021-06-28 07:00:00,-1.8942337638406517,H
2021-06-28 08:00:00,-1.8997208954228677,H
2021-06-28 09:00:00,-1.8985465951886116,H
2021-06-28 10:00:00,-1.8788488569842439,H
2021-06-28 11:00:00,-1.8624011818746007,H
2021-06-28 12:00:00,-1.801526576544255,H
2021-06-28 13:00:00,-1.7482432753119426,H
2021-06-28 14:00:00,-1.7128793630796049,H
2021-06-28 15:00:00,-1.6691417542478593,H
2021-06-28 16:00:00,-1.6256762915563323,H
2021-06-28 17:00:00,-1.597668944027219,H
2021-06-28 18:00:00,-1.5928172402562426,H
2021-06-28 19:00:00,-1.6054063364651745,H
2021-06-28 20:00:00,-1.629413520806863,H
2021-06-28 21:00:00,-1.6454813839379032,H
2021-06-28 22:00:00,-1.6847854796875086,H
2021-06-28 23:00:00,-1.727984627740987,H
2021-06-29 00:00:00,-1.7725080219592007,H
2021-06-29 01:00:00,-1.8026238875540517,H
2021-06-29 02:00:00,-1.8059905261016316,H
2021-06-29 03:00:00,-1.8305202088342787,H
2021-06-29 04:00:00,-1.8566875124684499,H
2021-06-29 05:00:00,-1.8827267062367607,H
2021-06-29 06:00:00,-1.8674533065644472,H
2021-06-29 07:00:00,-1.8345291476339416,H
2021-06-29 08:00:00,-1.7887929927131063,H
2021-06-29 09:00:00,-1.7150636954067922,H
2021-06-29 10:00:00,-1.635146203007038,H
2021-06-29 11:00:00,-1.5613666189424722,H
2021-06-29 12:00:00,-1.5034401784900209,H
2021-06-29 13:00:00,-1.469766486542647,H
2021-06-29 14:00:00,-1.430509993001249,H
2021-06-29 15:00:00,-1.3780316845075575,H
2021-06-29 16:00:00,-1.3334651149308419,H
2021-06-29 17:00:00,-1.2976350523574705,H
2021-06-29 18:00:00,-1.2857886602665471,H
2021-06-29 19:00:00,-1.2791535401617966,H
2021-06-29 20:00:00,-1.2717077554683485,H
2021-06-29 21:00:00,-1.2803018136325097,H
2021-06-29 22:00:00,-1.325554700626815,H
2021-06-29 23:00:00,-1.3780219303818921,H
2021-06-30 00:00:00,-1.4131935441612198,H
2021-06-30 01:00:00,-1.4366438645779054,H
2021-06-30 02:00:00,-1.4575044043620238,H
2021-06-30 03:00:00,-1.480822409512576,H
2021-06-30 04:00:00,-1.502224184141157,H
2021-06-30 05:00:00,-1.532911692653367,H
2021-06-30 06:00:00,-1.4954054734873874,H
2021-06-30 07:00:00,-1.4405708586420627,H
2021-06-30 08:00:00,-1.4065103778985402,H
2021-06-30 09:00:00,-1.3531990795261641,H
2021-06-30 10:00:00,-1.278168769790139,H
2021-06-30 11:00:00,-1.2153859410105199,H
2021-06-30 12:00:00,-1.1734858974331073,H
2021-06-30 13:00:00,-1.1496061824513757,H
2021-06-30 14:00:00,-1.1182273560409324,H
2021-06-30 15:00:00,-1.0849015531538806,H
2021-06-30 16:00:00,-1.0332949026069376,H
2021-06-30 17:00:00,-1.007520729484215,H
2021-06-30 18:00:00,-0.9862775375484562,H
2021-06-30 19:00:00,-0.9778028166031836,H
2021-06-30 20:00:00,-0.967108415959998,H
2021-06-30 21:00:00,-0.9788198349724822,H
2021-06-30 22:00:00,-1.0330350924258198,H
2021-06-30 23:00:00,-1.0824314717997117,H
2021-07-01 00:00:00,-1.1187150007525426,H
2021-07-01 01:00:00,-1.1390055846656382,H
2021-07-01 02:00:00,-1.1621071484301735,H
2021-07-01 03:00:00,-1.1900949385438893,H
2021-07-01 04:00:00,-1.222593369373071,H
2021-07-01 05:00:00,-1.2466980860946717,H
2021-07-01 06:00:00,-1.2568981112883302,H
2021-07-01 07:00:00,-1.2355391692057032,H
2021-07-01 08:00:00,-1.2186106954307105,H
2021-07-01 09:00:00,-1.1830222140064477,H
2021-07-01 10:00:00,-1.1559988457570058,H
2021-07-01 11:00:00,-1.1578151841242774,H
2021-07-01 12:00:00,-1.1677104854119773,H
2021-07-01 13:00:00,-1.1617141982743366,H
2021-07-01 14:00:00,-1.153108022262992,H
2021-07-01 15:00:00,-1.11410222993121,H
2021-07-01 16:00:00,-1.120141273157043,H
2021-07-01 17:00:00,-1.1514173982523117,H
2021-07-01 18:00:00,-1.1986064063120105,H
2021-07-01 19:00:00,-1.2333773248229634,H
2021-07-01 20:00:00,-1.250210114365488,H
2021-07-01 21:00:00,-1.2808236720182293,H
2021-07-01 22:00:00,-1.3000257360247862,H
2021-07-01 23:00:00,-1.321121780896487,H
2021-07-02 00:00:00,-1.3324756141649996,H
2021-07-02 01:00:00,-1.351337560710763,H
2021-07-02 02:00:00,-1.3877672008886182,H
2021-07-02 03:00:00,-1.4128977801028855,H
2021-07-02 04:00:00,-1.4336263136968563,H
2021-07-02 05:00:00,-1.4598396486489753,H
2021-07-02 06:00:00,-1.4868481725186657,H
2021-07-02 07:00:00,-1.4946799244087252,H
2021-07-02 08:00:00,-1.5072901417476892,H
2021-07-02 09:00:00,-1.5112335852883303,H
2021-07-02 10:00:00,-1.4977085223401065,H
2021-07-02 11:00:00,-1.4901957388742835,H
2021-07-02 12:00:00,-1.4948470873212476,H
2021-07-02 13:00:00,-1.4947443779314629,H
2021-07-02 14:00:00,-1.4902414311092185,H
2021-07-02 15:00:00,-1.4892671802084207,H
2021-07-02 16:00:00,-1.4789125194024497,H
2021-07-02 17:00:00,-1.4785064687825737,H
2021-07-02 18:00:00,-1.4926221456743354,H
2021-07-02 19:00:00,-1.5081675998626887,H
2021-07-02 20:00:00,-1.5166054871631103,H
2021-07-02 21:00:00,-1.5260084153126594,H
2021-07-02 22:00:00,-1.5385599224550406,H
2021-07-02 23:00:00,-1.5458522123279148,H
2021-07-03 00:00:00,-1.5576978210215364,H
2021-07-03 01:00:00,-1.5707980406296818,H
2021-07-03 02:00:00,-1.5784923210753932,H
2021-07-03 03:00:00,-1.58688738606781,H
2021-07-03 04:00:00,-1.5967655573153574,H
2021-07-03 05:00:00,-1.606159448077938,H
2021-07-03 06:00:00,-1.6137308256755327,H
2021-07-03 07:00:00,-1.6018524696537169,H
2021-07-03 08:00:00,-1.5728349890267994,H
2021-07-03 09:00:00,-1.5510889280433973,H
2021-07-03 10:00:00,-1.5440963895781374,H
2021-07-03 11:00:00,-1.5431973069745542,H
2021-07-03 12:00:00,-1.5246304263433048,H
2021-07-03 13:00:00,-1.5323556132975054,H
2021-07-03 14:00:00,-1.526240789486509,H
2021-07-03 15:00:00,-1.503012858249311,H
2021-07-03 16:00:00,-1.4533548778093581,H
2021-07-03 17:00:00,-1.3962332124892471,H
2021-07-03 18:00:00,-1.3834050352495326,H
2021-07-03 19:00:00,-1.3905627271536796,H
2021-07-03 20:00:00,-1.4152990712148652,H
2021-07-03 21:00:00,-1.440258181903236,H
2021-07-03 22:00:00,-1.4626980685685542,H
2021-07-03 23:00:00,-1.4908394956363404,H
2021-07-04 00:00:00,-1.5312691134631784,H
2021-07-04 01:00:00,-1.568593533834812,H
2021-07-04 02:00:00,-1.5863224572000665,H
2021-07-04 03:00:00,-1.5968923034808893,H
2021-07-04 04:00:00,-1.6091782220183026,H
2021-07-04 05:00:00,-1.6265592057149805,H
2021-07-04 06:00:00,-1.6080095221937416,H
2021-07-04 07:00:00,-1.6079565971937422,H
2021-07-04 08:00:00,-1.589418773700343,H
2021-07-04 09:00:00,-1.5838048323848102,H
2021-07-04 10:00:00,-1.5669063987194949,H
2021-07-04 11:00:00,-1.5694471402486914,H
2021-07-04 12:00:00,-1.5714830926735746,H
2021-07-04 13:00:00,-1.5656560227002654,H
2021-07-04 14:00:00,-1.5652493150775555,H
2021-07-04 15:00:00,-1.5522831092303124,H
2021-07-04 16:00:00,-1.5528157366358366,H
2021-07-04 17:00:00,-1.5647987373550096,H
2021-07-04 18:00:00,-1.5776376927246512,H
2021-07-04 19:00:00,-1.5311112989128142,H
2021-07-04 20:00:00,-1.4780183303912038,H
2021-07-04 21:00:00,-1.455457410685601,H
2021-07-04 22:00:00,-1.4989694381938032,H
2021-07-04 23:00:00,-1.5349907521149133,H
2021-07-05 00:00:00,-1.558395948709553,H
2021-07-05 01:00:00,-1.5761613101255307,H
2021-07-05 02:00:00,-1.5866424017670508,H
2021-07-05 03:00:00,-1.610481572270845,H
2021-07-05 04:00:00,-1.6358609850679187,H
2021-07-05 05:00:00,-1.6381077296594089,H
2021-07-05 06:00:00,-1.6296130376083302,H
2021-07-05 07:00:00,-1.5808135345903311,H
2021-07-05 08:00:00,-1.5838282844299654,H
2021-07-05 09:00:00,-1.5903329889652187,H
2021-07-05 10:00:00,-1.575391461630565,H
2021-07-05 11:00:00,-1.5596539602224033,H
2021-07-05 12:00:00,-1.541941361176465,H
2021-07-05 13:00:00,-1.524326267159033,H
2021-07-05 14:00:00,-1.506057199691785,H
2021-07-05 15:00:00,-1.4895332308840366,H
2021-07-05 16:00:00,-1.4717546155582053,H
2021-07-05 17:00:00,-1.4654862099651278,H
2021-07-05 18:00:00,-1.4546662385006763,H
2021-07-05 19:00:00,-1.4603695248968913,H
2021-07-05 20:00:00,-1.4780227123205771,H
2021-07-05 21:00:00,-1.5062448016540404,H
2021-07-05 22:00:00,-1.554177901186211,H
2021-07-05 23:00:00,-1.5894657769531746,H
2021-07-06 00:00:00,-1.5951587173211808,H
2021-07-06 01:00:00,-1.61194361789893,H
2021-07-06 02:00:00,-1.6308869541763646,H
2021-07-06 03:00:00,-1.635160462689155,H
2021-07-06 04:00:00,-1.6396595673843004,H
2021-07-06 05:00:00,-1.6526472575848088,H
2021-07-06 06:00:00,-1.6558839883641125,H
2021-07-06 07:00:00,-1.6241995764790476,H
2021-07-06 08:00:00,-1.5924042524827722,H
2021-07-06 09:00:00,-1.5464335680709802,H
2021-07-06 10:00:00,-1.5034599467183727,H
2021-07-06 11:00:00,-1.4887902314308232,H
2021-07-06 12:00:00,-1.4581074093172857,H
2021-07-06 13:00:00,-1.4172475654160388,H
2021-07-06 14:00:00,-1.3882221976571978,H
2021-07-06 15:00:00,-1.3426760465317136,H
2021-07-06 16:00:00,-1.3044767926035545,H
2021-07-06 17:00:00,-1.279316037145132,H
2021-07-06 18:00:00,-1.269455026966083,H
2021-07-06 19:00:00,-1.3249704032953697,H
2021-07-06 20:00:00,-1.3731032787407882,H
2021-07-06 21:00:00,-1.3989621666352066,H
2021-07-06 22:00:00,-1.4139676937581163,H
2021-07-06 23:00:00,-1.425454997355914,H
2021-07-07 00:00:00,-1.427390206514504,H
2021-07-07 01:00:00,-1.4317480306725272,H
2021-07-07 02:00:00,-1.4509766714957937,H
2021-07-07 03:00:00,-1.4675958651760754,H
2021-07-07 04:00:00,-1.4809681894958346,H
2021-07-07 05:00:00,-1.4787586030649866,H
2021-07-07 06:00:00,-1.498083820168821,H
2021-07-07 07:00:00,-1.4763575447773376,H
2021-07-07 08:00:00,-1.458553451818647,H
2021-07-07 09:00:00,-1.4333951627094168,H
2021-07-07 10:00:00,-1.4007442451761558,H
2021-07-07 11:00:00,-1.3638935702564121,H
2021-07-07 12:00:00,-1.3335722482766832,H
2021-07-07 13:00:00,-1.3044812684155436,H
2021-07-07 14:00:00,-1.2828384651860467,H
2021-07-07 15:00:00,-1.239157393580208,H
2021-07-07 16:00:00,-1.1961755295466574,H
2021-07-07 17:00:00,-1.162412254556796,H
2021-07-07 18:00:00,-1.165727528038133,H
2021-07-07 19:00:00,-1.2243975111842431,H
2021-07-07 20:00:00,-1.2698359416344667,H
2021-07-07 21:00:00,-1.2848247785691782,H
2021-07-07 22:00:00,-1.3202866530102675,H
2021-07-07 23:00:00,-1.363992640051861,H
2021-07-08 00:00:00,-1.3950490386620271,H
2021-07-08 01:00:00,-1.4245455126430313,H
2021-07-08 02:00:00,-1.4484588893290922,H
2021-07-08 03:00:00,-1.4720851740811283,H
2021-07-08 04:00:00,-1.484730061430281,H
2021-07-08 05:00:00,-1.4947307214985397,H
2021-07-08 06:00:00,-1.4820774595392094,H
2021-07-08 07:00:00,-1.4849721415353745,H
2021-07-08 08:00:00,-1.4625030294446204,H
2021-07-08 09:00:00,-1.425949822039655,H
2021-07-08 10:00:00,-1.396060100973769,H
2021-07-08 11:00:00,-1.3658119440324734,H
2021-07-08 12:00:00,-1.3311642756742113,H
2021-07-08 13:00:00,-1.3208286657743904,H
2021-07-08 14:00:00,-1.32586287087254,H
2021-07-08 15:00:00,-1.3088361139588978,H
2021-07-08 16:00:00,-1.3007003346718706,H
2021-07-08 17:00:00,-1.304198748183997,H
2021-07-08 18:00:00,-1.3219407030483619,H
2021-07-08 19:00:00,-1.3107323649900062,H
2021-07-08 20:00:00,-1.3058897856156824,H
2021-07-08 21:00:00,-1.3141256198468256,H
2021-07-08 22:00:00,-1.3334506217313769,H
2021-07-08 23:00:00,-1.3515005108901421,H
2021-07-09 00:00:00,-1.3639852338169234,H
2021-07-09 01:00:00,-1.386282193427703,H
2021-07-09 02:00:00,-1.3949919051833979,H
2021-07-09 03:00:00,-1.4004431323701434,H
2021-07-09 04:00:00,-1.4081088025495534,H
2021-07-09 05:00:00,-1.4179985297754105,H
2021-07-09 06:00:00,-1.43717224488507,H
2021-07-09 07:00:00,-1.4339385658324924,H
2021-07-09 08:00:00,-1.369853028943235,H
2021-07-09 09:00:00,-1.2922709825234202,H
2021-07-09 10:00:00,-1.3050955245719236,H
2021-07-09 11:00:00,-1.3166909250196115,H
2021-07-09 12:00:00,-1.3127314389534956,H
2021-07-09 13:00:00,-1.3115922563669211,H
2021-07-09 14:00:00,-1.3115145638256918,H
2021-07-09 15:00:00,-1.297007857427795,H
2021-07-09 16:00:00,-1.3090865530511613,H
2021-07-09 17:00:00,-1.319431450333296,H
2021-07-09 18:00:00,-1.326169751129089,H
2021-07-09 19:00:00,-1.330056892082349,H
2021-07-09 20:00:00,-1.3414485906724458,H
2021-07-09 21:00:00,-1.3698880421310613,H
2021-07-09 22:00:00,-1.4053690796612717,H
2021-07-09 23:00:00,-1.4189411076618355,H
2021-07-10 00:00:00,-1.437142997045745,H
2021-07-10 01:00:00,-1.4386036915534648,H
2021-07-10 02:00:00,-1.440714152980595,H
2021-07-10 03:00:00,-1.446447079430988,H
2021-07-10 04:00:00,-1.4559492743355864,H
2021-07-10 05:00:00,-1.4636100716917035,H
2021-07-10 06:00:00,-1.4648570360673283,H
2021-07-10 07:00:00,-1.4580826235192086,H
2021-07-10 08:00:00,-1.4224452583662521,H
2021-07-10 09:00:00,-1.3991330997433862,H
2021-07-10 10:00:00,-1.370116108494805,H
2021-07-10 11:00:00,-1.349221118137892,H
2021-07-10 12:00:00,-1.3277881295568688,H
2021-07-10 13:00:00,-1.3119115482181165,H
2021-07-10 14:00:00,-1.2985035221789956,H
2021-07-10 15:00:00,-1.268883250879947,H
2021-07-10 16:00:00,-1.2329125182109903,H
2021-07-10 17:00:00,-1.2104037673327082,H
2021-07-10 18:00:00,-1.1920387342807623,H
2021-07-10 19:00:00,-1.2084581601874271,H
2021-07-10 20:00:00,-1.2342869565815895,H
2021-07-10 21:00:00,-1.2626375812605486,H
2021-07-10 22:00:00,-1.2819284985733734,H
2021-07-10 23:00:00,-1.3132315551839842,H
2021-07-11 00:00:00,-1.3355717655130455,H
2021-07-11 01:00:00,-1.3640095325633175,H
2021-07-11 02:00:00,-1.3986556830109176,H
2021-07-11 03:00:00,-1.4281460170278617,H
2021-07-11 04:00:00,-1.4400306867133121,H
2021-07-11 05:00:00,-1.4501604550494933,H
2021-07-11 06:00:00,-1.4571924191518641,H
2021-07-11 07:00:00,-1.454899856694608,H
2021-07-11 08:00:00,-1.4378902206265962,H
2021-07-11 09:00:00,-1.4220482532423977,H
2021-07-11 10:00:00,-1.4178766786001047,H
2021-07-11 11:00:00,-1.4271177720700967,H
2021-07-11 12:00:00,-1.4323381987825878,H
2021-07-11 13:00:00,-1.4258667958435187,H
2021-07-11 14:00:00,-1.4161939920919489,H
2021-07-11 15:00:00,-1.4022801313244981,H
2021-07-11 16:00:00,-1.389062659775324,H
2021-07-11 17:00:00,-1.3756464961119486,H
2021-07-11 18:00:00,-1.3675985022286805,H
2021-07-11 19:00:00,-1.3711375126889762,H
2021-07-11 20:00:00,-1.393974909360936,H
2021-07-11 21:00:00,-1.4117807162655909,H
2021-07-11 22:00:00,-1.438126959489814,H
2021-07-11 23:00:00,-1.466371135392514,H
2021-07-12 00:00:00,-1.4774385608080545,H
2021-07-12 01:00:00,-1.4780433433163185,H
2021-07-12 02:00:00,-1.4851664427651388,H
2021-07-12 03:00:00,-1.4934748642579474,H
2021-07-12 04:00:00,-1.5167539243170016,H
2021-07-12 05:00:00,-1.5407262065461065,H
2021-07-12 06:00:00,-1.5458227399694757,H
2021-07-12 07:00:00,-1.5204358865511372,H
2021-07-12 08:00:00,-1.4716847180864507,H
2021-07-12 09:00:00,-1.4148105476747086,H
2021-07-12 10:00:00,-1.3548686609135734,H
2021-07-12 11:00:00,-1.302422892996817,H
2021-07-12 12:00:00,-1.2711262095719746,H
2021-07-12 13:00:00,-1.253506192843582,H
2021-07-12 14:00:00,-1.2369215430441673,H
2021-07-12 15:00:00,-1.2259625503201415,H
2021-07-12 16:00:00,-1.1892534307946763,H
2021-07-12 17:00:00,-1.1828983452425212,H
2021-07-12 18:00:00,-1.2051959784446051,H
2021-07-12 19:00:00,-1.1708807051291497,H
2021-07-12 20:00:00,-1.1641672665369,H
2021-07-12 21:00:00,-1.17745945366871,H
2021-07-12 22:00:00,-1.2019010535368204,H
2021-07-12 23:00:00,-1.2299946226774776,H
2021-07-13 00:00:00,-1.2439995998746953,H
2021-07-13 01:00:00,-1.258350244429228,H
2021-07-13 02:00:00,-1.2761650347086808,H
2021-07-13 03:00:00,-1.293694544370896,H
2021-07-13 04:00:00,-1.313715611685157,H
2021-07-13 05:00:00,-1.3285251114560905,H
2021-07-13 06:00:00,-1.3151877311039522,H
2021-07-13 07:00:00,-1.2876527399912128,H
2021-07-13 08:00:00,-1.2372893237928675,H
2021-07-13 09:00:00,-1.200870414078788,H
2021-07-13 10:00:00,-1.1526364455439613,H
2021-07-13 11:00:00,-1.109362539005255,H
2021-07-13 12:00:00,-1.0442480867143962,H
2021-07-13 13:00:00,-1.003444659954251,H
2021-07-13 14:00:00,-0.9672456057344565,H
2021-07-13 15:00:00,-0.915211004642817,H
2021-07-13 16:00:00,-0.8657059592707613,H
2021-07-13 17:00:00,-0.8350142639830203,H
2021-07-13 18:00:00,-0.8227009350253681,H
2021-07-13 19:00:00,-0.8099325105092741,H
2021-07-13 20:00:00,-0.7966532542095719,H
2021-07-13 21:00:00,-0.8116699204490172,H
2021-07-13 22:00:00,-0.8597882023815999,H
2021-07-13 23:00:00,-0.9240013251072712,H
2021-07-14 00:00:00,-0.9732641870387828,H
2021-07-14 01:00:00,-1.0138591009900662,H
2021-07-14 02:00:00,-1.0435523820272001,H
2021-07-14 03:00:00,-1.075735061418908,H
2021-07-14 04:00:00,-1.106569746938038,H
2021-07-14 05:00:00,-1.1315589655794103,H
2021-07-14 06:00:00,-1.1153030297703646,H
2021-07-14 07:00:00,-1.081862736286884,H
2021-07-14 08:00:00,-1.045408299678949,H
2021-07-14 09:00:00,-0.9890384924627725,H
2021-07-14 10:00:00,-0.9299654948840467,H
2021-07-14 11:00:00,-0.8810612015955995,H
2021-07-14 12:00:00,-0.8352281066203908,H
2021-07-14 13:00:00,-0.7994928442826168,H
2021-07-14 14:00:00,-0.7647252455593709,H
2021-07-14 15:00:00,-0.7189279321456572,H
2021-07-14 16:00:00,-0.6777718349790391,H
2021-07-14 17:00:00,-0.6533079085880986,H
2021-07-14 18:00:00,-0.6565416067775256,H
2021-07-14 19:00:00,-0.705166583928378,H
2021-07-14 20:00:00,-0.7439833905504724,H
2021-07-14 21:00:00,-0.7607348510428771,H
2021-07-14 22:00:00,-0.7834545682355349,H
2021-07-14 23:00:00,-0.8333761336599167,H
2021-07-15 00:00:00,-0.8717100132133131,H
2021-07-15 01:00:00,-0.9023874633964947,H
2021-07-15 02:00:00,-0.9332649472496934,H
2021-07-15 03:00:00,-0.962931413808878,H
2021-07-15 04:00:00,-0.9800775463039242,H
2021-07-15 05:00:00,-1.0032522385883782,H
2021-07-15 06:00:00,-1.0168121709827134,H
2021-07-15 07:00:00,-1.0173891935643893,H
2021-07-15 08:00:00,-0.983818951647722,H
2021-07-15 09:00:00,-0.9434506448815903,H
2021-07-15 10:00:00,-0.9153328217164535,H
2021-07-15 11:00:00,-0.9166264547651917,H
2021-07-15 12:00:00,-0.9179446703955647,H
2021-07-15 13:00:00,-0.9225218984695994,H
2021-07-15 14:00:00,-0.9234429420037171,H
2021-07-15 15:00:00,-0.8962274495841983,H
2021-07-15 16:00:00,-0.8958560975142655,H
2021-07-15 17:00:00,-0.9139940191221737,H
