date_time,Average PMV,Habitability?
2021-05-04 05:00:00,-1.7001689131858466,H
2021-05-04 06:00:00,-1.683289951859163,H
2021-05-04 07:00:00,-1.6750376397689715,H
2021-05-04 08:00:00,-1.6795095919443814,H
2021-05-04 09:00:00,-1.657349441300761,H
2021-05-04 10:00:00,-1.6323093852392014,H
2021-05-04 11:00:00,-1.627495240600153,H
2021-05-04 12:00:00,-1.6028741390229804,H
2021-05-04 13:00:00,-1.5779830233225347,H
2021-05-04 14:00:00,-1.5838526677103266,H
2021-05-04 15:00:00,-1.5814528365709455,H
2021-05-04 16:00:00,-1.5951710410103948,H
2021-05-04 17:00:00,-1.620959317116994,H
2021-05-04 18:00:00,-1.663934660387298,H
2021-05-04 19:00:00,-1.7100490841343383,H
2021-05-04 20:00:00,-1.776827493247118,H
2021-05-04 21:00:00,-1.8254975122884514,H
2021-05-04 22:00:00,-1.8603396902514444,H
2021-05-04 23:00:00,-1.8914205982781438,H
2021-05-05 00:00:00,-1.9212928194655474,H
2021-05-05 01:00:00,-1.9504461177406012,H
2021-05-05 02:00:00,-1.9788387841673503,H
2021-05-05 03:00:00,-2.0102680031070777,H
2021-05-05 04:00:00,-2.043593904662517,H
2021-05-05 05:00:00,-2.077448229255852,H
2021-05-05 06:00:00,-2.0937323751779346,H
2021-05-05 07:00:00,-2.1115936263544706,H
2021-05-05 08:00:00,-2.1430218299864525,H
2021-05-05 09:00:00,-2.1445618603953944,H
2021-05-05 10:00:00,-2.1301045875427143,H
2021-05-05 11:00:00,-2.1381460196118516,H
2021-05-05 12:00:00,-2.118487482879588,H
2021-05-05 13:00:00,-2.097658454359068,H
2021-05-05 14:00:00,-2.0961056874832797,H
2021-05-05 15:00:00,-2.075770814259012,H
2021-05-05 16:00:00,-2.0544794952987195,H
2021-05-05 17:00:00,-2.0528879240252884,H
2021-05-05 18:00:00,-2.065453599706519,H
2021-05-05 19:00:00,-2.096656101894177,H
2021-05-05 20:00:00,-2.1358854831515663,H
2021-05-05 21:00:00,-2.167738494333604,H
2021-05-05 22:00:00,-2.1901211287383,H
2021-05-05 23:00:00,-2.2085928462255406,H
2021-05-06 00:00:00,-2.2343194994294664,H
2021-05-06 01:00:00,-2.2640179826399924,H
2021-05-06 02:00:00,-2.294133594236748,H
2021-05-06 03:00:00,-2.312386648471417,H
2021-05-06 04:00:00,-2.3239653332134287,H
2021-05-06 05:00:00,-2.333670900077634,H
2021-05-06 06:00:00,-2.32684255532231,H
2021-05-06 07:00:00,-2.3339352039081542,H
2021-05-06 08:00:00,-2.3593808100575995,H
2021-05-06 09:00:00,-2.3357077799486508,H
2021-05-06 10:00:00,-2.299772171065335,H
2021-05-06 11:00:00,-2.271869069472051,H
2021-05-06 12:00:00,-2.2423866003765327,H
2021-05-06 13:00:00,-2.2183216802935166,H
2021-05-06 14:00:00,-2.224324636947978,H
2021-05-06 15:00:00,-2.224959138649258,H
2021-05-06 16:00:00,-2.2322042199969494,H
