date_time,Average PMV,Habitability?
2021-05-04 05:00:00,-1.7027239676252588,H
2021-05-04 06:00:00,-1.6360650306760773,H
2021-05-04 07:00:00,-1.6105929603844995,H
2021-05-04 08:00:00,-1.60868876968872,H
2021-05-04 09:00:00,-1.5385351218814864,H
2021-05-04 10:00:00,-1.4650630425636555,H
2021-05-04 11:00:00,-1.443175139588416,H
2021-05-04 12:00:00,-1.375238992735588,H
2021-05-04 13:00:00,-1.302300274606273,H
2021-05-04 14:00:00,-1.3071536244725526,H
2021-05-04 15:00:00,-1.284667509665036,H
2021-05-04 16:00:00,-1.3023317306829676,H
2021-05-04 17:00:00,-1.34452910955117,H
2021-05-04 18:00:00,-1.4240663666141278,H
2021-05-04 19:00:00,-1.5156390664547754,H
2021-05-04 20:00:00,-1.6177442017009998,H
2021-05-04 21:00:00,-1.6965083965780252,H
2021-05-04 22:00:00,-1.7741553263033485,H
2021-05-04 23:00:00,-1.8308972057723396,H
2021-05-05 00:00:00,-1.8816814218951545,H
2021-05-05 01:00:00,-1.9285193612844067,H
2021-05-05 02:00:00,-1.9717066008120483,H
2021-05-05 03:00:00,-2.0171835506656404,H
2021-05-05 04:00:00,-2.0638440793691517,H
2021-05-05 05:00:00,-2.109593372854309,H
2021-05-05 06:00:00,-2.0915599429429044,H
2021-05-05 07:00:00,-2.0928514960940388,H
2021-05-05 08:00:00,-2.13244260550518,H
2021-05-05 09:00:00,-2.111833708764779,H
2021-05-05 10:00:00,-2.0637284007811862,H
2021-05-05 11:00:00,-2.0702839488313085,H
2021-05-05 12:00:00,-2.010624224019064,H
2021-05-05 13:00:00,-1.9607190383527917,H
2021-05-05 14:00:00,-1.9588803266855546,H
2021-05-05 15:00:00,-1.9149553730580946,H
2021-05-05 16:00:00,-1.871767494530632,H
2021-05-05 17:00:00,-1.8755404728125171,H
2021-05-05 18:00:00,-1.899123901218373,H
2021-05-05 19:00:00,-1.9576057185205415,H
2021-05-05 20:00:00,-2.033668400889679,H
2021-05-05 21:00:00,-2.0923514747447873,H
2021-05-05 22:00:00,-2.132847650774295,H
2021-05-05 23:00:00,-2.166026322062597,H
2021-05-06 00:00:00,-2.2086357479280405,H
2021-05-06 01:00:00,-2.255099596033089,H
2021-05-06 02:00:00,-2.3005905911701685,H
2021-05-06 03:00:00,-2.326365140002965,H
