date_time,Average PMV,Habitability?
2021-01-27 00:00:00,-0.764826894765496,H
2021-01-27 01:00:00,-0.9083839164495909,H
2021-01-27 02:00:00,-0.9768741731783291,H
2021-01-27 03:00:00,-1.0525631336467918,H
2021-01-27 04:00:00,-1.1022894239636958,H
2021-01-27 05:00:00,-1.1418751658552202,H
2021-01-27 06:00:00,-1.1740298046976556,H
2021-01-27 07:00:00,-1.1912598168166049,H
2021-01-27 08:00:00,-1.2028735428726127,H
2021-01-27 09:00:00,-1.1819754130165612,H
2021-01-27 10:00:00,-1.1781468405058357,H
2021-01-27 11:00:00,-1.173311700065214,H
2021-01-27 12:00:00,-1.164113969004743,H
2021-01-27 13:00:00,-1.1741631074500483,H
2021-01-27 14:00:00,-1.187195369799351,H
2021-01-27 15:00:00,-1.1956441737519523,H
2021-01-27 16:00:00,-1.2104373016752124,H
2021-01-27 17:00:00,-1.2386748525510223,H
2021-01-27 18:00:00,-1.2744102251637583,H
2021-01-27 19:00:00,-1.3084382257351883,H
2021-01-27 20:00:00,-1.3349319104185016,H
2021-01-27 21:00:00,-1.3565190884298792,H
2021-01-27 22:00:00,-1.3520252852718604,H
2021-01-27 23:00:00,-1.3614268707195578,H
2021-01-28 00:00:00,-1.4075936037394705,H
2021-01-28 01:00:00,-1.4424184984798911,H
2021-01-28 02:00:00,-1.4756668051872237,H
2021-01-28 03:00:00,-1.4942028994990941,H
2021-01-28 04:00:00,-1.5263633363599662,H
2021-01-28 05:00:00,-1.563009773720001,H
2021-01-28 06:00:00,-1.5792996737087546,H
2021-01-28 07:00:00,-1.5884268654427232,H
2021-01-28 08:00:00,-1.6046159326791178,H
2021-01-28 09:00:00,-1.6074625135146636,H
2021-01-28 10:00:00,-1.6144928071647382,H
2021-01-28 11:00:00,-1.5750872934694116,H
2021-01-28 12:00:00,-1.5405899037176427,H
2021-01-28 13:00:00,-1.5510889925788165,H
2021-01-28 14:00:00,-1.5563602642179069,H
2021-01-28 15:00:00,-1.594665816567036,H
2021-01-28 16:00:00,-1.6108320786244377,H
2021-01-28 17:00:00,-1.634985580914206,H
2021-01-28 18:00:00,-1.670771747126816,H
2021-01-28 19:00:00,-1.6945097207161457,H
2021-01-28 20:00:00,-1.71152185426748,H
2021-01-28 21:00:00,-1.7386841346648942,H
2021-01-28 22:00:00,-1.764906491932128,H
2021-01-28 23:00:00,-1.7929830818772035,H
2021-01-29 00:00:00,-1.8062473871866391,H
2021-01-29 01:00:00,-1.8296802480384196,H
2021-01-29 02:00:00,-1.8599906688607357,H
2021-01-29 03:00:00,-1.8837352057178205,H
2021-01-29 04:00:00,-1.9176243635334955,H
2021-01-29 05:00:00,-1.9237321286340592,H
2021-01-29 06:00:00,-1.9378563347676379,H
2021-01-29 07:00:00,-1.9552611549431405,H
2021-01-29 08:00:00,-1.9626522790130838,H
2021-01-29 09:00:00,-1.9769312928826361,H
2021-01-29 10:00:00,-1.9825834842003545,H
2021-01-29 11:00:00,-1.9490848936264804,H
2021-01-29 12:00:00,-1.8955501593678221,H
2021-01-29 13:00:00,-1.87311890583078,H
2021-01-29 14:00:00,-1.8356934348902685,H
2021-01-29 15:00:00,-1.8501238257760642,H
2021-01-29 16:00:00,-1.8924654772901874,H
2021-01-29 17:00:00,-1.958247002313142,H
2021-01-29 18:00:00,-2.01692092823273,H
2021-01-29 19:00:00,-2.0501296954776262,H
2021-01-29 20:00:00,-2.0945376280019654,H
2021-01-29 21:00:00,-2.113313264356917,H
2021-01-29 22:00:00,-2.120937533327149,H
2021-01-29 23:00:00,-2.1415144968155637,H
2021-01-30 00:00:00,-2.146617534142949,H
2021-01-30 01:00:00,-2.1571362279696804,H
2021-01-30 02:00:00,-2.1714264159004357,H
2021-01-30 03:00:00,-2.200438488391351,H
2021-01-30 04:00:00,-2.22752130910613,H
2021-01-30 05:00:00,-2.2468788858074764,H
2021-01-30 06:00:00,-2.2663046253504704,H
2021-01-30 07:00:00,-2.2932681631321628,H
2021-01-30 08:00:00,-2.309536495751727,H
2021-01-30 09:00:00,-2.3261886078532235,H
2021-01-30 10:00:00,-2.3404238127531474,H
2021-01-30 11:00:00,-2.332379444375247,H
2021-01-30 12:00:00,-2.3421666858444716,H
2021-01-30 13:00:00,-2.330281276710144,H
2021-01-30 14:00:00,-2.321820458636657,H
2021-01-30 15:00:00,-2.3253132987973673,H
2021-01-30 16:00:00,-2.3329750289919926,H
2021-01-30 17:00:00,-2.3478991119580535,H
2021-01-30 18:00:00,-2.364366654761168,H
2021-01-30 19:00:00,-2.3698680341926917,H
2021-01-30 20:00:00,-2.377264349814912,H
2021-01-30 21:00:00,-2.387696017310781,H
2021-01-30 22:00:00,-2.398669310442481,H
2021-01-30 23:00:00,-2.408295216448822,H
2021-01-31 00:00:00,-2.4159006817581226,H
2021-01-31 01:00:00,-2.416115301414148,H
2021-01-31 02:00:00,-2.4213787454604176,H
2021-01-31 03:00:00,-2.444124275732596,H
2021-01-31 04:00:00,-2.451798493745367,H
2021-01-31 05:00:00,-2.4572052610577395,H
2021-01-31 06:00:00,-2.4657664831795514,H
2021-01-31 07:00:00,-2.4761676025472337,H
2021-01-31 08:00:00,-2.470950500576558,H
2021-01-31 09:00:00,-2.470919249332039,H
2021-01-31 10:00:00,-2.471000652502796,H
2021-01-31 11:00:00,-2.4758360181879713,H
2021-01-31 12:00:00,-2.4803739313656497,H
2021-01-31 13:00:00,-2.4852549884967314,H
2021-01-31 14:00:00,-2.4915171061536445,H
2021-01-31 15:00:00,-2.499458614196479,H
2021-01-31 16:00:00,-2.509344560292542,H
2021-01-31 17:00:00,-2.5106395624169893,H
2021-01-31 18:00:00,-2.515005398271423,H
2021-01-31 19:00:00,-2.521879633570991,H
2021-01-31 20:00:00,-2.5291997621064084,H
2021-01-31 21:00:00,-2.5366695135439996,H
2021-01-31 22:00:00,-2.5748465378756404,H
2021-01-31 23:00:00,-2.620775678558602,H
2021-02-01 00:00:00,-2.6835235113906797,H
2021-02-01 01:00:00,-2.7539550399214043,H
2021-02-01 02:00:00,-2.829519632054206,H
2021-02-01 03:00:00,-2.906504685932974,H
2021-02-01 04:00:00,-2.990518666455127,H
2021-02-01 05:00:00,-3.034793551644525,NH
2021-02-01 06:00:00,-3.089754076198806,NH
2021-02-01 07:00:00,-3.1195934100756517,NH
2021-02-01 08:00:00,-3.1429159131085638,NH
2021-02-01 09:00:00,-3.1598526943666827,NH
2021-02-01 10:00:00,-3.1430053503788806,NH
2021-02-01 11:00:00,-3.1483634429453233,NH
2021-02-01 12:00:00,-3.1544968801821107,NH
2021-02-01 13:00:00,-3.1481660864152956,NH
2021-02-01 14:00:00,-3.1630375425498802,NH
2021-02-01 15:00:00,-3.1638023678430653,NH
2021-02-01 16:00:00,-3.1798366342344777,NH
2021-02-01 17:00:00,-3.2056621412148414,NH
2021-02-01 18:00:00,-3.2362488718534936,NH
2021-02-01 19:00:00,-3.2607812626456862,NH
2021-02-01 20:00:00,-3.2924484349547583,NH
2021-02-01 21:00:00,-3.3021512520451544,NH
2021-02-01 22:00:00,-3.351716068144407,NH
2021-02-01 23:00:00,-3.403253552048875,NH
2021-02-02 00:00:00,-3.4520025236727343,NH
2021-02-02 01:00:00,-3.511301261281215,NH
2021-02-02 02:00:00,-3.5397603192221605,NH
2021-02-02 03:00:00,-3.4993580191644065,NH
2021-02-02 04:00:00,-3.4922933561061456,NH
2021-02-02 05:00:00,-3.496685955145104,NH
2021-02-02 06:00:00,-3.509615989311753,NH
2021-02-02 07:00:00,-3.5266224025246378,NH
2021-02-02 08:00:00,-3.529858541930601,NH
2021-02-02 09:00:00,-3.5382717282220164,NH
2021-02-02 10:00:00,-3.520388965648335,NH
2021-02-02 11:00:00,-3.4773427477397725,NH
2021-02-02 12:00:00,-3.479530132983971,NH
2021-02-02 13:00:00,-3.435756593194595,NH
2021-02-02 14:00:00,-3.431289982304095,NH
2021-02-02 15:00:00,-3.4432688242280336,NH
2021-02-02 16:00:00,-3.4732310380710945,NH
2021-02-02 17:00:00,-3.4972806312522877,NH
2021-02-02 18:00:00,-3.513957496658032,NH
2021-02-02 19:00:00,-3.5301143975069764,NH
2021-02-02 20:00:00,-3.54685378300123,NH
2021-02-02 21:00:00,-3.555717908016714,NH
2021-02-02 22:00:00,-3.56611408912138,NH
2021-02-02 23:00:00,-3.5751481764953486,NH
2021-02-03 00:00:00,-3.584243295917703,NH
2021-02-03 01:00:00,-3.5933652139376284,NH
2021-02-03 02:00:00,-3.594800865164602,NH
2021-02-03 03:00:00,-3.6193338605951992,NH
2021-02-03 04:00:00,-3.6416550073550304,NH
2021-02-03 05:00:00,-3.655115326386459,NH
2021-02-03 06:00:00,-3.667114257377006,NH
2021-02-03 07:00:00,-3.6810322630569132,NH
2021-02-03 08:00:00,-3.6789817196829078,NH
2021-02-03 09:00:00,-3.678834664056429,NH
2021-02-03 10:00:00,-3.659411912018886,NH
2021-02-03 11:00:00,-3.637324908200886,NH
2021-02-03 12:00:00,-3.631589371961789,NH
2021-02-03 13:00:00,-3.6241948041952887,NH
2021-02-03 14:00:00,-3.6258953527328734,NH
2021-02-03 15:00:00,-3.6322762064695255,NH
2021-02-03 16:00:00,-3.644425380447848,NH
2021-02-03 17:00:00,-3.660262926707625,NH
2021-02-03 18:00:00,-3.6751303031276588,NH
2021-02-03 19:00:00,-3.6866235603180146,NH
2021-02-03 20:00:00,-3.6972764883405915,NH
2021-02-03 21:00:00,-3.7081747268824583,NH
2021-02-03 22:00:00,-3.7180062524957243,NH
2021-02-03 23:00:00,-3.7272043691372545,NH
2021-02-04 00:00:00,-3.736098165543385,NH
2021-02-04 01:00:00,-3.7594242985795425,NH
2021-02-04 02:00:00,-3.776266150553307,NH
2021-02-04 03:00:00,-3.7899018824628605,NH
2021-02-04 04:00:00,-3.833495008780904,NH
2021-02-04 05:00:00,-3.861637807113876,NH
2021-02-04 06:00:00,-3.878099293196231,NH
2021-02-04 07:00:00,-3.909740564850018,NH
2021-02-04 08:00:00,-3.9598646982888734,NH
2021-02-04 09:00:00,-3.997619841781141,NH
2021-02-04 10:00:00,-3.969191624394682,NH
2021-02-04 11:00:00,-3.921069382337089,NH
2021-02-04 12:00:00,-3.8592916371312165,NH
2021-02-04 13:00:00,-3.809111155960409,NH
2021-02-04 14:00:00,-3.7563138857924017,NH
2021-02-04 15:00:00,-3.757120438646561,NH
2021-02-04 16:00:00,-3.7955311367193283,NH
2021-02-04 17:00:00,-3.850893066262,NH
2021-02-04 18:00:00,-3.9286246958365107,NH
2021-02-04 19:00:00,-3.955992620659026,NH
2021-02-04 20:00:00,-3.9940971676512453,NH
2021-02-04 21:00:00,-4.050725274391458,NH
2021-02-04 22:00:00,-4.083050293850978,NH
2021-02-04 23:00:00,-4.1112126670127,NH
2021-02-05 00:00:00,-4.142179015123497,NH
2021-02-05 01:00:00,-4.191781805157455,NH
2021-02-05 02:00:00,-4.223354181386521,NH
2021-02-05 03:00:00,-4.286590733801671,NH
2021-02-05 04:00:00,-4.33253365645303,NH
2021-02-05 05:00:00,-4.366224699737057,NH
2021-02-05 06:00:00,-4.383503217610932,NH
2021-02-05 07:00:00,-4.4355955120345465,NH
2021-02-05 08:00:00,-4.457747746077685,NH
2021-02-05 09:00:00,-4.495953570330671,NH
2021-02-05 10:00:00,-4.485065314286872,NH
2021-02-05 11:00:00,-4.411447840750898,NH
2021-02-05 12:00:00,-4.342074468492293,NH
2021-02-05 13:00:00,-4.251574635024392,NH
2021-02-05 14:00:00,-4.165250217113595,NH
2021-02-05 15:00:00,-4.112798278139554,NH
2021-02-05 16:00:00,-4.128272060154258,NH
2021-02-05 17:00:00,-4.170363605219288,NH
2021-02-05 18:00:00,-4.219808962513729,NH
2021-02-05 19:00:00,-4.248072309437172,NH
2021-02-05 20:00:00,-4.287827229949444,NH
2021-02-05 21:00:00,-4.297371659526647,NH
2021-02-05 22:00:00,-4.278795219606663,NH
2021-02-05 23:00:00,-4.278812991881993,NH
2021-02-06 00:00:00,-4.257448155012981,NH
2021-02-06 01:00:00,-4.2346977888536905,NH
2021-02-06 02:00:00,-4.2293703686549895,NH
2021-02-06 03:00:00,-4.240015951637172,NH
2021-02-06 04:00:00,-4.240959442517443,NH
2021-02-06 05:00:00,-4.251490100169385,NH
2021-02-06 06:00:00,-4.262541353332283,NH
2021-02-06 07:00:00,-4.2832038928760685,NH
2021-02-06 08:00:00,-4.251456604957725,NH
2021-02-06 09:00:00,-4.220259280241254,NH
2021-02-06 10:00:00,-4.192685467044504,NH
2021-02-06 11:00:00,-4.18700710279285,NH
2021-02-06 12:00:00,-4.189718185322057,NH
2021-02-06 13:00:00,-4.182813507398457,NH
2021-02-06 14:00:00,-4.169629590214754,NH
2021-02-06 15:00:00,-4.163038586665544,NH
2021-02-06 16:00:00,-4.16497142276017,NH
2021-02-06 17:00:00,-4.171234961477235,NH
2021-02-06 18:00:00,-4.175348342823436,NH
2021-02-06 19:00:00,-4.177766050386247,NH
2021-02-06 20:00:00,-4.181356888960868,NH
2021-02-06 21:00:00,-4.19466562241264,NH
2021-02-06 22:00:00,-4.186658995314751,NH
2021-02-06 23:00:00,-4.188171790933816,NH
2021-02-07 00:00:00,-4.193818198183112,NH
2021-02-07 01:00:00,-4.195097989506451,NH
2021-02-07 02:00:00,-4.1947480318416135,NH
2021-02-07 03:00:00,-4.215792317633608,NH
2021-02-07 04:00:00,-4.223066810151763,NH
2021-02-07 05:00:00,-4.233606547860195,NH
2021-02-07 06:00:00,-4.241972441967387,NH
2021-02-07 07:00:00,-4.239487836678239,NH
2021-02-07 08:00:00,-4.221103672974349,NH
2021-02-07 09:00:00,-4.213632717770669,NH
