date_time,Average PMV,Habitability,Habitability?
2021-12-29 18:00:00,-0.6082802058744347,H,H
2021-12-29 19:00:00,-1.041974732795777,H,H
2021-12-29 20:00:00,-1.3671605079113507,H,H
2021-12-29 21:00:00,-1.5437842843708502,H,H
2021-12-29 22:00:00,-1.7212368690224882,H,H
2021-12-29 23:00:00,-1.8210102680528912,H,H
2021-12-30 00:00:00,-1.947520480955757,H,H
2021-12-30 01:00:00,-2.0148741172659386,H,H
2021-12-30 02:00:00,-2.092905980555766,H,H
2021-12-30 03:00:00,-2.1597372859717754,H,H
2021-12-30 04:00:00,-2.2064154499827837,H,H
2021-12-30 05:00:00,-2.2263652518711927,H,H
2021-12-30 06:00:00,-2.2421527051750316,H,H
2021-12-30 07:00:00,-2.2527300221181,H,H
2021-12-30 08:00:00,-2.248707116316938,H,H
2021-12-30 09:00:00,-2.2419336801832226,H,H
2021-12-30 10:00:00,-2.220916034739067,H,H
2021-12-30 11:00:00,-2.2691049742088976,H,H
2021-12-30 12:00:00,-2.2803734983695128,H,H
2021-12-30 13:00:00,-2.2725529375479954,H,H
2021-12-30 14:00:00,-2.2586572907061293,H,H
2021-12-30 15:00:00,-2.2760374946390285,H,H
2021-12-30 16:00:00,-2.281540184926859,H,H
2021-12-30 17:00:00,-2.2754471565914995,H,H
2021-12-30 18:00:00,-2.3005876209443206,H,H
2021-12-30 19:00:00,-2.341329526777159,H,H
2021-12-30 20:00:00,-2.3558812618457954,H,H
2021-12-30 21:00:00,-2.365745264503848,H,H
2021-12-30 22:00:00,-2.37112898151199,H,H
2021-12-30 23:00:00,-2.3904463094514345,H,H
2021-12-31 00:00:00,-2.4046019307603985,H,H
2021-12-31 01:00:00,-2.4196179059625216,H,H
2021-12-31 02:00:00,-2.4345314250967482,H,H
2021-12-31 03:00:00,-2.4558223803439962,H,H
2021-12-31 04:00:00,-2.4703725189117764,H,H
2021-12-31 05:00:00,-2.5006475965895505,H,H
2021-12-31 06:00:00,-2.5201062599829966,H,H
2021-12-31 07:00:00,-2.5260159735937027,H,H
2021-12-31 08:00:00,-2.5442068975091336,H,H
2021-12-31 09:00:00,-2.5608387701784405,H,H
2021-12-31 10:00:00,-2.5777631042868134,H,H
2021-12-31 11:00:00,-2.539863698639175,H,H
2021-12-31 12:00:00,-2.5311447425222613,H,H
2021-12-31 13:00:00,-2.512350739379642,H,H
2021-12-31 14:00:00,-2.508864346681182,H,H
2021-12-31 15:00:00,-2.5127299172222517,H,H
2021-12-31 16:00:00,-2.5474875831851906,H,H
2021-12-31 17:00:00,-2.5806177476408916,H,H
2021-12-31 18:00:00,-2.618463986653509,H,H
2021-12-31 19:00:00,-2.6714353586897297,H,H
2021-12-31 20:00:00,-2.699436880535611,H,H
2021-12-31 21:00:00,-2.7138506602144887,H,H
2021-12-31 22:00:00,-2.7487212070276903,H,H
2021-12-31 23:00:00,-2.771092595805715,H,H
2021-01-01 01:00:00,-4.00956084073088,H,NH
2021-01-01 02:00:00,-4.043601998910201,H,NH
2021-01-01 03:00:00,-4.069659380913056,H,NH
2021-01-01 04:00:00,-4.06734081365926,H,NH
2021-01-01 05:00:00,-4.058618601136067,H,NH
2021-01-01 06:00:00,-4.049469718584013,H,NH
2021-01-01 07:00:00,-4.0449093718291484,H,NH
2021-01-01 08:00:00,-4.043581525202587,H,NH
2021-01-01 09:00:00,-4.042941067067113,H,NH
2021-01-01 10:00:00,-4.033608444662334,H,NH
2021-01-01 11:00:00,-3.9632020543111595,H,NH
2021-01-01 12:00:00,-3.855094073942313,H,NH
2021-01-01 13:00:00,-3.776178180687021,H,NH
2021-01-01 14:00:00,-3.7288097952186035,H,NH
2021-01-01 15:00:00,-3.7104190862909916,H,NH
2021-01-01 16:00:00,-3.7399930050554833,H,NH
2021-01-01 17:00:00,-3.7952264241707816,H,NH
2021-01-01 18:00:00,-3.8447315566416127,H,NH
2021-01-01 19:00:00,-3.8789712091064605,H,NH
2021-01-01 20:00:00,-3.9124784647830086,H,NH
2021-01-01 21:00:00,-3.940444407847011,H,NH
2021-01-01 22:00:00,-3.9550728505632944,H,NH
2021-01-01 23:00:00,-3.9687900574918067,H,NH
2021-01-02 00:00:00,-3.985850304922682,H,NH
2021-01-02 01:00:00,-4.005061201763035,H,NH
2021-01-02 02:00:00,-4.02184340573321,H,NH
2021-01-02 03:00:00,-4.041480667875211,H,NH
2021-01-02 04:00:00,-4.059641166394063,H,NH
2021-01-02 05:00:00,-4.074709548487079,H,NH
2021-01-02 06:00:00,-4.083207047467408,H,NH
2021-01-02 07:00:00,-4.094546346151271,H,NH
2021-01-02 08:00:00,-4.110125014238755,H,NH
2021-01-02 09:00:00,-4.105265322780842,H,NH
2021-01-02 10:00:00,-4.099969435691115,H,NH
2021-01-02 11:00:00,-4.003723451197831,H,NH
2021-01-02 12:00:00,-3.8851641727689405,H,NH
2021-01-02 13:00:00,-3.787879224413501,H,NH
2021-01-02 14:00:00,-3.7048625689032204,H,NH
2021-01-02 15:00:00,-3.7023928893021467,H,NH
2021-01-02 16:00:00,-3.7481679988979937,H,NH
2021-01-02 17:00:00,-3.8229851845788025,H,NH
2021-01-02 18:00:00,-3.8703598029212234,H,NH
2021-01-02 19:00:00,-3.938923259509277,H,NH
2021-01-02 20:00:00,-3.997819832392242,H,NH
2021-01-02 21:00:00,-4.047570070941162,H,NH
2021-01-02 22:00:00,-4.075653860863874,H,NH
2021-01-02 23:00:00,-4.119508215293348,H,NH
2021-01-03 00:00:00,-4.146825541995604,H,NH
2021-01-03 01:00:00,-4.173906780390727,H,NH
2021-01-03 02:00:00,-4.201686801917574,H,NH
2021-01-03 03:00:00,-4.229632364155553,H,NH
2021-01-03 04:00:00,-4.244524595541371,H,NH
2021-01-03 05:00:00,-4.256858524464679,H,NH
2021-01-03 06:00:00,-4.268994804887544,H,NH
2021-01-03 07:00:00,-4.284366577203122,H,NH
2021-01-03 08:00:00,-4.299652166879954,H,NH
2021-01-03 09:00:00,-4.312537638654178,H,NH
2021-01-03 10:00:00,-4.318052727030019,H,NH
2021-01-03 11:00:00,-4.273236706004369,H,NH
2021-01-03 12:00:00,-4.199736648962348,H,NH
2021-01-03 13:00:00,-4.164771865844915,H,NH
2021-01-03 14:00:00,-4.087345225575317,H,NH
2021-01-03 15:00:00,-4.070053249592779,H,NH
2021-01-03 16:00:00,-4.082925516307109,H,NH
2021-01-03 17:00:00,-4.11639522918395,H,NH
2021-01-03 18:00:00,-4.145025234632435,H,NH
2021-01-03 19:00:00,-4.17565766778609,H,NH
2021-01-03 20:00:00,-4.1971652750995805,H,NH
2021-01-03 21:00:00,-4.208781113038673,H,NH
2021-01-03 22:00:00,-4.220056289999853,H,NH
2021-01-03 23:00:00,-4.24356086845211,H,NH
2021-01-04 00:00:00,-4.268105245594594,H,NH
2021-01-04 01:00:00,-4.290134827112637,H,NH
2021-01-04 02:00:00,-4.314256892359162,H,NH
2021-01-04 03:00:00,-4.339526689310236,H,NH
2021-01-04 04:00:00,-4.360753576290123,H,NH
2021-01-04 05:00:00,-4.3740434984515995,H,NH
2021-01-04 06:00:00,-4.384893229782361,H,NH
2021-01-04 07:00:00,-4.394035265041947,H,NH
2021-01-04 08:00:00,-4.4058743880228315,H,NH
2021-01-04 09:00:00,-4.404095490830983,H,NH
2021-01-04 10:00:00,-4.396246779828142,H,NH
2021-01-04 11:00:00,-4.33960988787582,H,NH
2021-01-04 12:00:00,-4.276355596531073,H,NH
2021-01-04 13:00:00,-4.244184095571988,H,NH
2021-01-04 14:00:00,-4.223076557916873,H,NH
2021-01-04 15:00:00,-4.224649583094809,H,NH
2021-01-04 16:00:00,-4.245692510935884,H,NH
2021-01-04 17:00:00,-4.2652361544292035,H,NH
2021-01-04 18:00:00,-4.289531908382806,H,NH
2021-01-04 19:00:00,-4.306247686195621,H,NH
2021-01-04 20:00:00,-4.292183120968423,H,NH
2021-01-04 21:00:00,-4.292926096267586,H,NH
2021-01-04 22:00:00,-4.305454533098026,H,NH
2021-01-04 23:00:00,-4.3213249817441985,H,NH
2021-01-05 00:00:00,-4.34060868791989,H,NH
2021-01-05 01:00:00,-4.368659828624156,H,NH
2021-01-05 02:00:00,-4.394874099962846,H,NH
2021-01-05 03:00:00,-4.422789544213528,H,NH
2021-01-05 04:00:00,-4.463458838927796,H,NH
2021-01-05 05:00:00,-4.473876092095173,H,NH
2021-01-05 06:00:00,-4.5118084897717035,H,NH
2021-01-05 07:00:00,-4.549399405919092,H,NH
2021-01-05 08:00:00,-4.5915251487698505,H,NH
2021-01-05 09:00:00,-4.641518989245498,H,NH
2021-01-05 10:00:00,-4.670873343175359,H,NH
2021-01-05 11:00:00,-4.630356358548773,H,NH
2021-01-05 12:00:00,-4.543280647650047,H,NH
2021-01-05 13:00:00,-4.493177832136056,H,NH
2021-01-05 14:00:00,-4.4764330633077005,H,NH
2021-01-05 15:00:00,-4.482353043677112,H,NH
2021-01-05 16:00:00,-4.538928885076689,H,NH
2021-01-05 17:00:00,-4.634448627272094,H,NH
2021-01-05 18:00:00,-4.685824174691535,H,NH
2021-01-05 19:00:00,-4.751164889453771,H,NH
2021-01-05 20:00:00,-4.785557704254971,H,NH
2021-01-05 21:00:00,-4.800341118142313,H,NH
2021-01-05 22:00:00,-4.815204664416582,H,NH
2021-01-05 23:00:00,-4.8329306716620195,H,NH
2021-01-06 00:00:00,-4.857341014564462,H,NH
2021-01-06 01:00:00,-4.884309486687216,H,NH
2021-01-06 02:00:00,-4.909442104690972,H,NH
2021-01-06 03:00:00,-4.9233993029321885,H,NH
2021-01-06 04:00:00,-4.929119648846034,H,NH
2021-01-06 05:00:00,-4.926950300853895,H,NH
2021-01-06 06:00:00,-4.934902373986765,H,NH
2021-01-06 07:00:00,-4.962611171360289,H,NH
2021-01-06 08:00:00,-4.972959690778217,H,NH
2021-01-06 09:00:00,-4.9732515675082105,H,NH
2021-01-06 10:00:00,-4.968665205187267,H,NH
2021-01-06 11:00:00,-4.951448656499797,H,NH
2021-01-06 12:00:00,-4.873587747440897,H,NH
2021-01-06 13:00:00,-4.81687450164415,H,NH
2021-01-06 14:00:00,-4.77332902437433,H,NH
2021-01-06 15:00:00,-4.817522960506945,H,NH
2021-01-06 16:00:00,-4.890031224581297,H,NH
2021-01-06 17:00:00,-4.946101855648327,H,NH
2021-01-06 18:00:00,-4.973564170208655,H,NH
2021-01-06 19:00:00,-5.015419056306683,H,NH
2021-01-06 20:00:00,-5.046731983886112,H,NH
2021-01-06 21:00:00,-5.062606209438276,H,NH
2021-01-06 22:00:00,-5.096279745960203,H,NH
2021-01-06 23:00:00,-5.11758161009916,H,NH
2021-01-07 00:00:00,-5.117154556443523,H,NH
2021-01-07 01:00:00,-5.123635982623687,H,NH
2021-01-07 02:00:00,-5.1306303497108665,H,NH
2021-01-07 03:00:00,-5.138394092445792,H,NH
2021-01-07 04:00:00,-5.129861150983942,H,NH
2021-01-07 05:00:00,-5.137477021303178,H,NH
2021-01-07 06:00:00,-5.150310202096507,H,NH
2021-01-07 07:00:00,-5.1561936901682595,H,NH
2021-01-07 08:00:00,-5.139709663255316,H,NH
2021-01-07 09:00:00,-5.106557988847683,H,NH
2021-01-07 10:00:00,-5.078132008120538,H,NH
2021-01-07 11:00:00,-5.025133297177825,H,NH
2021-01-07 12:00:00,-4.96692531123647,H,NH
2021-01-07 13:00:00,-4.887464447955657,H,NH
2021-01-07 14:00:00,-4.844094285516101,H,NH
2021-01-07 15:00:00,-4.872582135427252,H,NH
2021-01-07 16:00:00,-4.892248390895184,H,NH
2021-01-07 17:00:00,-4.92910383346247,H,NH
2021-01-07 18:00:00,-4.971321734582399,H,NH
2021-01-07 19:00:00,-5.014995968746882,H,NH
2021-01-07 20:00:00,-5.046125826869288,H,NH
2021-01-07 21:00:00,-5.068325615796927,H,NH
2021-01-07 22:00:00,-5.077001078816825,H,NH
2021-01-07 23:00:00,-5.0799162356848955,H,NH
2021-01-08 00:00:00,-5.093577756429325,H,NH
2021-01-08 01:00:00,-5.098367770835434,H,NH
2021-01-08 02:00:00,-5.100006004808576,H,NH
2021-01-08 03:00:00,-5.100372771204928,H,NH
2021-01-08 04:00:00,-5.10214509068464,H,NH
2021-01-08 05:00:00,-5.101249500341273,H,NH
2021-01-08 06:00:00,-5.088384487920714,H,NH
2021-01-08 07:00:00,-5.066966601821304,H,NH
2021-01-08 08:00:00,-5.0525868486660235,H,NH
2021-01-08 09:00:00,-5.046019776525406,H,NH
2021-01-08 10:00:00,-5.039608571394876,H,NH
2021-01-08 11:00:00,-5.007524829510514,H,NH
2021-01-08 12:00:00,-4.946886740994713,H,NH
2021-01-08 13:00:00,-4.924510967353559,H,NH
2021-01-08 14:00:00,-4.913774007896067,H,NH
2021-01-08 15:00:00,-4.931851562302502,H,NH
2021-01-08 16:00:00,-4.955886380116927,H,NH
2021-01-08 17:00:00,-4.998070428149122,H,NH
2021-01-08 18:00:00,-5.044046749857556,H,NH
2021-01-08 19:00:00,-5.082257970073027,H,NH
2021-01-08 20:00:00,-5.109151127042473,H,NH
2021-01-08 21:00:00,-5.1209121056088405,H,NH
2021-01-08 22:00:00,-5.1306603023086845,H,NH
2021-01-08 23:00:00,-5.133136122799615,H,NH
2021-01-09 00:00:00,-5.14116557095831,H,NH
2021-01-09 01:00:00,-5.141555699869084,H,NH
2021-01-09 02:00:00,-5.14257748999459,H,NH
2021-01-09 03:00:00,-5.145569111759401,H,NH
2021-01-09 04:00:00,-5.1499129102103725,H,NH
2021-01-09 05:00:00,-5.151895101958851,H,NH
2021-01-09 06:00:00,-5.147536662119701,H,NH
2021-01-09 07:00:00,-5.143962572514879,H,NH
2021-01-09 08:00:00,-5.131501067035827,H,NH
2021-01-09 09:00:00,-5.1046989064899035,H,NH
2021-01-09 10:00:00,-5.088981774873999,H,NH
2021-01-09 11:00:00,-5.059333640205339,H,NH
2021-01-09 12:00:00,-5.035542081916304,H,NH
2021-01-09 13:00:00,-5.00146386194889,H,NH
2021-01-09 14:00:00,-4.973589355073675,H,NH
2021-01-09 15:00:00,-4.957678115595397,H,NH
