date_time,Average PMV,Habitability?
2021-12-29 18:00:00,-0.9285522581607584,H
2021-12-29 19:00:00,-1.552543941300098,H
2021-12-29 20:00:00,-1.9422779142283957,H
2021-12-29 21:00:00,-2.1866225446994196,H
2021-12-29 22:00:00,-2.368210054147419,H
2021-12-29 23:00:00,-2.515986349121032,H
2021-12-30 00:00:00,-2.6420453821794845,H
2021-12-30 01:00:00,-2.737658992921327,H
2021-12-30 02:00:00,-2.832066258336605,H
2021-12-30 03:00:00,-2.9006678654870295,H
2021-12-30 04:00:00,-2.970059981422622,H
2021-12-30 05:00:00,-3.0354592536207896,NH
2021-12-30 06:00:00,-3.0770237348574176,NH
2021-12-30 07:00:00,-3.10116568570095,NH
2021-12-30 08:00:00,-3.119321330933482,NH
2021-12-30 09:00:00,-3.0901802578825013,NH
2021-12-30 10:00:00,-3.077351985904398,NH
2021-12-30 11:00:00,-3.0819954475690605,NH
2021-12-30 12:00:00,-3.0842109776221207,NH
2021-12-30 13:00:00,-3.114167243542699,NH
2021-12-30 14:00:00,-3.1216357520527436,NH
2021-12-30 15:00:00,-3.1222419039857137,NH
2021-12-30 16:00:00,-3.1299812425803246,NH
2021-12-30 17:00:00,-3.153858952670537,NH
2021-12-30 18:00:00,-3.1908699070118334,NH
2021-12-30 19:00:00,-3.217023839184288,NH
2021-12-30 20:00:00,-3.2383370796826862,NH
2021-12-30 21:00:00,-3.2581145234899225,NH
2021-12-30 22:00:00,-3.2638549341657055,NH
2021-12-30 23:00:00,-3.2725200638886123,NH
2021-12-31 00:00:00,-3.28408933101912,NH
2021-12-31 01:00:00,-3.3189005930179043,NH
2021-12-31 02:00:00,-3.35723843680042,NH
2021-12-31 03:00:00,-3.3749319475458948,NH
2021-12-31 04:00:00,-3.3847265406994373,NH
2021-12-31 05:00:00,-3.4063347437986677,NH
2021-12-31 06:00:00,-3.4286191019878296,NH
2021-12-31 07:00:00,-3.451830100937903,NH
2021-12-31 08:00:00,-3.4786434334418153,NH
2021-12-31 09:00:00,-3.5115396340699037,NH
2021-12-31 10:00:00,-3.5342929948944124,NH
2021-12-31 11:00:00,-3.5374660663206847,NH
2021-12-31 12:00:00,-3.5447587703234418,NH
2021-12-31 13:00:00,-3.5450294320030107,NH
2021-12-31 14:00:00,-3.54518715845138,NH
2021-12-31 15:00:00,-3.5539466973681724,NH
2021-12-31 16:00:00,-3.5873872669298303,NH
2021-12-31 17:00:00,-3.6290481088440294,NH
2021-12-31 18:00:00,-3.657827483618702,NH
2021-12-31 19:00:00,-3.6856455333698634,NH
2021-12-31 20:00:00,-3.705198843694195,NH
2021-12-31 21:00:00,-3.715241854059421,NH
2021-12-31 22:00:00,-3.7367562557481286,NH
2021-12-31 23:00:00,-3.758551733441692,NH
2021-01-01 01:00:00,-4.911517824300165,NH
2021-01-01 02:00:00,-4.953881616321975,NH
2021-01-01 03:00:00,-4.988357950025481,NH
2021-01-01 04:00:00,-4.970243002744709,NH
2021-01-01 05:00:00,-4.949156182272925,NH
2021-01-01 06:00:00,-4.93745946624565,NH
2021-01-01 07:00:00,-4.925421764445007,NH
2021-01-01 08:00:00,-4.913384083412379,NH
2021-01-01 09:00:00,-4.898978598206249,NH
2021-01-01 10:00:00,-4.8764831753174365,NH
2021-01-01 11:00:00,-4.834430228425198,NH
2021-01-01 12:00:00,-4.7910285497511,NH
2021-01-01 13:00:00,-4.757652791814173,NH
2021-01-01 14:00:00,-4.7271063873250965,NH
2021-01-01 15:00:00,-4.723916377814494,NH
2021-01-01 16:00:00,-4.736309553402756,NH
2021-01-01 17:00:00,-4.766101118701453,NH
2021-01-01 18:00:00,-4.7886432979247955,NH
2021-01-01 19:00:00,-4.802517971240581,NH
2021-01-01 20:00:00,-4.818232475082371,NH
2021-01-01 21:00:00,-4.829192977563675,NH
2021-01-01 22:00:00,-4.835683129658303,NH
2021-01-01 23:00:00,-4.851814718135966,NH
2021-01-02 00:00:00,-4.870641168422748,NH
2021-01-02 01:00:00,-4.882227804078664,NH
2021-01-02 02:00:00,-4.894192646505021,NH
2021-01-02 03:00:00,-4.914554231953801,NH
2021-01-02 04:00:00,-4.922259723330911,NH
