date_time,Average PMV,Habitability?
2021-08-07 17:00:00,0.6923729106073166,H
2021-08-07 18:00:00,0.6795208076640422,H
2021-08-07 19:00:00,0.6869199459648745,H
2021-08-07 20:00:00,0.6922474814894136,H
2021-08-07 21:00:00,0.6318221472794183,H
2021-08-07 22:00:00,0.5642093400980166,H
2021-08-07 23:00:00,0.5095082918328663,H
2021-08-08 00:00:00,0.4511196823918449,H
2021-08-08 01:00:00,0.41059915159398275,H
2021-08-08 02:00:00,0.38757180867389124,H
2021-08-08 03:00:00,0.3710690812403503,H
2021-08-08 04:00:00,0.3629151564692202,H
2021-08-08 05:00:00,0.36556082007899315,H
2021-08-08 06:00:00,0.3287252530313949,H
2021-08-08 07:00:00,0.37822490572583156,H
2021-08-08 08:00:00,0.42640877723206655,H
2021-08-08 09:00:00,0.46864261439572463,H
2021-08-08 10:00:00,0.5373876882695776,H
2021-08-08 11:00:00,0.5703442510790206,H
2021-08-08 12:00:00,0.6036654722821747,H
2021-08-08 13:00:00,0.6638203136393367,H
2021-08-08 14:00:00,0.7195403743036383,H
2021-08-08 15:00:00,0.7654542051503719,H
2021-08-08 16:00:00,0.8125462845804095,H
2021-08-08 17:00:00,0.8435934482192338,H
2021-08-08 18:00:00,0.8796787634946747,H
2021-08-08 19:00:00,0.8772186772604453,H
2021-08-08 20:00:00,0.8338509629171639,H
2021-08-08 21:00:00,0.7403954613430428,H
2021-08-08 22:00:00,0.6882872821139604,H
2021-08-08 23:00:00,0.645423443299686,H
2021-08-09 00:00:00,0.5859105910957951,H
2021-08-09 01:00:00,0.5516853547959525,H
2021-08-09 02:00:00,0.5107235284727331,H
2021-08-09 03:00:00,0.4802734717278779,H
2021-08-09 04:00:00,0.45161941140147377,H
2021-08-09 05:00:00,0.4196437288900712,H
2021-08-09 06:00:00,0.39366425441790676,H
2021-08-09 07:00:00,0.445937057467076,H
2021-08-09 08:00:00,0.48962625760591144,H
2021-08-09 09:00:00,0.5408421815782792,H
2021-08-09 10:00:00,0.5839582292051277,H
2021-08-09 11:00:00,0.6338098086504068,H
2021-08-09 12:00:00,0.6821402877776865,H
2021-08-09 13:00:00,0.7091855469169964,H
2021-08-09 14:00:00,0.7319057936478517,H
2021-08-09 15:00:00,0.7505221967465384,H
2021-08-09 16:00:00,0.7872983837303937,H
2021-08-09 17:00:00,0.7986354918967467,H
2021-08-09 18:00:00,0.8205103655879441,H
2021-08-09 19:00:00,0.7543847603641082,H
2021-08-09 20:00:00,0.7091985620816277,H
2021-08-09 21:00:00,0.6963761021043795,H
2021-08-09 22:00:00,0.6859020446680801,H
2021-08-09 23:00:00,0.6685252592206784,H
2021-08-10 00:00:00,0.6541395038184963,H
2021-08-10 01:00:00,0.6028442450956563,H
2021-08-10 02:00:00,0.5778904078036389,H
2021-08-10 03:00:00,0.5313578522910519,H
2021-08-10 04:00:00,0.5015463439984219,H
2021-08-10 05:00:00,0.4716989599963577,H
2021-08-10 06:00:00,0.45548065966725143,H
2021-08-10 07:00:00,0.476649958106356,H
2021-08-10 08:00:00,0.5149679816816152,H
2021-08-10 09:00:00,0.5815212852788852,H
2021-08-10 10:00:00,0.6154203900701232,H
