date_time,Average PMV,Habitability?
2021-10-31 16:00:00,-0.28855229533288607,H
2021-10-31 17:00:00,-0.44836082234167857,H
2021-10-31 18:00:00,-0.4858545574511532,H
2021-10-31 19:00:00,-0.5136904070756493,H
2021-10-31 20:00:00,-0.5337081206335894,H
2021-10-31 21:00:00,-0.5598280309669267,H
2021-10-31 22:00:00,-0.5887094276103401,H
2021-10-31 23:00:00,-0.6156722212878264,H
2021-11-01 00:00:00,-0.6453875487871837,H
2021-11-01 01:00:00,-0.6774624983815412,H
2021-11-01 02:00:00,-0.6248442996773399,H
