date_time,Average PMV,Habitability?
2021-02-04 15:00:00,-1.9445199304262673,H
2021-02-04 16:00:00,-2.2915398999512937,H
2021-02-04 17:00:00,-2.5248186354396664,H
2021-02-04 18:00:00,-2.7215732970313318,H
2021-02-04 19:00:00,-2.8623638012291344,H
2021-02-04 20:00:00,-2.9942100473374897,H
2021-02-04 21:00:00,-3.1239112737213848,NH
2021-02-04 22:00:00,-3.227851045476978,NH
2021-02-04 23:00:00,-3.3196898808448854,NH
2021-02-05 00:00:00,-3.4090272755722935,NH
2021-02-05 01:00:00,-3.50144343768025,NH
2021-02-05 02:00:00,-3.57976600388866,NH
2021-02-05 03:00:00,-3.675493507476427,NH
2021-02-05 04:00:00,-3.761242186430254,NH
2021-02-05 05:00:00,-3.841124875552065,NH
2021-02-05 06:00:00,-3.900149458198159,NH
2021-02-05 07:00:00,-3.9842059008372743,NH
2021-02-05 08:00:00,-4.053033112884209,NH
2021-02-05 09:00:00,-4.1271366644833725,NH
2021-02-05 10:00:00,-4.171572266320087,NH
2021-02-05 11:00:00,-4.16412757978863,NH
2021-02-05 12:00:00,-4.136148526003916,NH
2021-02-05 13:00:00,-4.090256029151056,NH
2021-02-05 14:00:00,-4.043905772330479,NH
2021-02-05 15:00:00,-3.9948670006035925,NH
2021-02-05 16:00:00,-3.991326521605585,NH
2021-02-05 17:00:00,-4.029489576410686,NH
2021-02-05 18:00:00,-4.076626441911537,NH
2021-02-05 19:00:00,-4.11981736661055,NH
2021-02-05 20:00:00,-4.17201060919266,NH
2021-02-05 21:00:00,-4.207923166219488,NH
2021-02-05 22:00:00,-4.211782987174153,NH
2021-02-05 23:00:00,-4.231975913834556,NH
2021-02-06 00:00:00,-4.230544874093602,NH
2021-02-06 01:00:00,-4.2286494291695975,NH
2021-02-06 02:00:00,-4.2348033056498275,NH
2021-02-06 03:00:00,-4.237211508301275,NH
2021-02-06 04:00:00,-4.240007938933528,NH
2021-02-06 05:00:00,-4.252153033860193,NH
2021-02-06 06:00:00,-4.265031067968731,NH
2021-02-06 07:00:00,-4.286819929997555,NH
2021-02-06 08:00:00,-4.284108065112902,NH
2021-02-06 09:00:00,-4.275035610686722,NH
2021-02-06 10:00:00,-4.260779744461246,NH
2021-02-06 11:00:00,-4.252457899969255,NH
2021-02-06 12:00:00,-4.257597788670956,NH
2021-02-06 13:00:00,-4.26072881957806,NH
2021-02-06 14:00:00,-4.251566481524898,NH
2021-02-06 15:00:00,-4.249100356327671,NH
2021-02-06 16:00:00,-4.257998485921983,NH
2021-02-06 17:00:00,-4.2782655019170805,NH
2021-02-06 18:00:00,-4.29314327892843,NH
2021-02-06 19:00:00,-4.304068240545308,NH
2021-02-06 20:00:00,-4.316179173945588,NH
2021-02-06 21:00:00,-4.33608323423455,NH
2021-02-06 22:00:00,-4.3387624854305535,NH
2021-02-06 23:00:00,-4.3498370094705345,NH
2021-02-07 00:00:00,-4.36172159637839,NH
2021-02-07 01:00:00,-4.368691657341405,NH
2021-02-07 02:00:00,-4.374665027037545,NH
2021-02-07 03:00:00,-4.383285027163299,NH
2021-02-07 04:00:00,-4.385185517386129,NH
2021-02-07 05:00:00,-4.3970975405026556,NH
2021-02-07 06:00:00,-4.408158935103528,NH
2021-02-07 07:00:00,-4.410345602271757,NH
2021-02-07 08:00:00,-4.414757128349961,NH
2021-02-07 09:00:00,-4.41718108546688,NH
2021-02-07 10:00:00,-4.399405240786746,NH
2021-02-07 11:00:00,-4.3826239881255065,NH
2021-02-07 12:00:00,-4.378628741213839,NH
2021-02-07 13:00:00,-4.380301787192942,NH
2021-02-07 14:00:00,-4.36590087653618,NH
2021-02-07 15:00:00,-4.36026925249269,NH
2021-02-07 16:00:00,-4.372477036044529,NH
2021-02-07 17:00:00,-4.3872827569552095,NH
2021-02-07 18:00:00,-4.407748339417598,NH
2021-02-07 19:00:00,-4.4211229568513,NH
2021-02-07 20:00:00,-4.4324785411676,NH
2021-02-07 21:00:00,-4.444708762293669,NH
2021-02-07 22:00:00,-4.4550164127902345,NH
2021-02-07 23:00:00,-4.4630309161743655,NH
2021-02-08 00:00:00,-4.475236228261667,NH
2021-02-08 01:00:00,-4.484135418953527,NH
2021-02-08 02:00:00,-4.484643681121535,NH
2021-02-08 03:00:00,-4.49507186620061,NH
2021-02-08 04:00:00,-4.50546211963784,NH
2021-02-08 05:00:00,-4.5131068198786215,NH
2021-02-08 06:00:00,-4.513469938548292,NH
2021-02-08 07:00:00,-4.525880572680479,NH
2021-02-08 08:00:00,-4.53606522951466,NH
2021-02-08 09:00:00,-4.536914344758247,NH
2021-02-08 10:00:00,-4.537504025663103,NH
2021-02-08 11:00:00,-4.554173022372865,NH
2021-02-08 12:00:00,-4.568888047528332,NH
2021-02-08 13:00:00,-4.57572392721151,NH
2021-02-08 14:00:00,-4.57817446831645,NH
2021-02-08 15:00:00,-4.575536653142604,NH
2021-02-08 16:00:00,-4.587556344509038,NH
2021-02-08 17:00:00,-4.599574783161387,NH
2021-02-08 18:00:00,-4.60353701560767,NH
2021-02-08 19:00:00,-4.617520026898126,NH
2021-02-08 20:00:00,-4.639329181482185,NH
2021-02-08 21:00:00,-4.654307251994353,NH
2021-02-08 22:00:00,-4.658074638505881,NH
2021-02-08 23:00:00,-4.663642049218836,NH
2021-02-09 00:00:00,-4.67313247984863,NH
2021-02-09 01:00:00,-4.672202883312848,NH
2021-02-09 02:00:00,-4.6739880942018,NH
2021-02-09 03:00:00,-4.680392968426421,NH
2021-02-09 04:00:00,-4.68578315806146,NH
2021-02-09 05:00:00,-4.690570803417157,NH
2021-02-09 06:00:00,-4.702355133262166,NH
2021-02-09 07:00:00,-4.704563518598891,NH
2021-02-09 08:00:00,-4.713801681176229,NH
2021-02-09 09:00:00,-4.708819641135527,NH
2021-02-09 10:00:00,-4.696983195764809,NH
2021-02-09 11:00:00,-4.689081408264504,NH
2021-02-09 12:00:00,-4.676555601675186,NH
2021-02-09 13:00:00,-4.672064318774779,NH
2021-02-09 14:00:00,-4.660176094652138,NH
2021-02-09 15:00:00,-4.660534938239259,NH
2021-02-09 16:00:00,-4.670662775546796,NH
2021-02-09 17:00:00,-4.6883122447826695,NH
2021-02-09 18:00:00,-4.708619348402963,NH
2021-02-09 19:00:00,-4.72177834440862,NH
2021-02-09 20:00:00,-4.7311068595469825,NH
2021-02-09 21:00:00,-4.74025356335889,NH
2021-02-09 22:00:00,-4.749113807435705,NH
2021-02-09 23:00:00,-4.758145732454888,NH
2021-02-10 00:00:00,-4.766605671517513,NH
2021-02-10 01:00:00,-4.784005729931301,NH
2021-02-10 02:00:00,-4.796363765006895,NH
2021-02-10 03:00:00,-4.8044423366512445,NH
2021-02-10 04:00:00,-4.8136175972229855,NH
2021-02-10 05:00:00,-4.823248215022786,NH
2021-02-10 06:00:00,-4.8317191840012335,NH
2021-02-10 07:00:00,-4.839634795271659,NH
2021-02-10 08:00:00,-4.844852956399104,NH
2021-02-10 09:00:00,-4.844717220718786,NH
2021-02-10 10:00:00,-4.8232428976776065,NH
2021-02-10 11:00:00,-4.7857671148777605,NH
2021-02-10 12:00:00,-4.763659115399603,NH
2021-02-10 13:00:00,-4.750854894875434,NH
2021-02-10 14:00:00,-4.73563959701776,NH
2021-02-10 15:00:00,-4.72334270131332,NH
2021-02-10 16:00:00,-4.714705387566932,NH
2021-02-10 17:00:00,-4.722026487965571,NH
2021-02-10 18:00:00,-4.728631984147804,NH
2021-02-10 19:00:00,-4.738792894926843,NH
2021-02-10 20:00:00,-4.73931068451258,NH
2021-02-10 21:00:00,-4.735026431586788,NH
2021-02-10 22:00:00,-4.746942259307875,NH
2021-02-10 23:00:00,-4.750543917017224,NH
2021-02-11 00:00:00,-4.750776871111931,NH
2021-02-11 01:00:00,-4.766554233495143,NH
2021-02-11 02:00:00,-4.777633555173252,NH
2021-02-11 03:00:00,-4.791121948197653,NH
2021-02-11 04:00:00,-4.8026081062875265,NH
2021-02-11 05:00:00,-4.80112887500817,NH
2021-02-11 06:00:00,-4.810415326934209,NH
2021-02-11 07:00:00,-4.820579235217849,NH
2021-02-11 08:00:00,-4.836176853309158,NH
2021-02-11 09:00:00,-4.8512991205339,NH
2021-02-11 10:00:00,-4.858571918197043,NH
2021-02-11 11:00:00,-4.818421224017747,NH
2021-02-11 12:00:00,-4.784470458713803,NH
2021-02-11 13:00:00,-4.755507535453066,NH
2021-02-11 14:00:00,-4.725732668786537,NH
2021-02-11 15:00:00,-4.684421519937424,NH
