date_time,Average PMV,Habitability?
2021-06-22 16:00:00,-0.9071291544002258,H
2021-06-22 17:00:00,-1.0929923830328752,H
2021-06-22 18:00:00,-1.2109829795815628,H
2021-06-22 19:00:00,-1.3057620631334812,H
2021-06-22 20:00:00,-1.3971115170775201,H
2021-06-22 21:00:00,-1.467961315764598,H
2021-06-22 22:00:00,-1.5290214625455159,H
2021-06-22 23:00:00,-1.5815869155300428,H
2021-06-23 00:00:00,-1.626290717957889,H
2021-06-23 01:00:00,-1.6636731161060034,H
2021-06-23 02:00:00,-1.7002384338618783,H
2021-06-23 03:00:00,-1.7324349135787334,H
2021-06-23 04:00:00,-1.7694069428185193,H
2021-06-23 05:00:00,-1.8059617050307777,H
2021-06-23 06:00:00,-1.8287968722027053,H
2021-06-23 07:00:00,-1.8492970398195696,H
2021-06-23 08:00:00,-1.855167679019159,H
2021-06-23 09:00:00,-1.8573093802888048,H
2021-06-23 10:00:00,-1.8608799292245208,H
2021-06-23 11:00:00,-1.8620561965037108,H
2021-06-23 12:00:00,-1.8676499923998928,H
2021-06-23 13:00:00,-1.8654555240462318,H
2021-06-23 14:00:00,-1.8647061645487402,H
2021-06-23 15:00:00,-1.8754226010856587,H
2021-06-23 16:00:00,-1.8938344763098993,H
2021-06-23 17:00:00,-1.9141545243330695,H
2021-06-23 18:00:00,-1.9339958315889876,H
2021-06-23 19:00:00,-1.9570603364836756,H
2021-06-23 20:00:00,-1.9819649060289475,H
2021-06-23 21:00:00,-2.008071695055667,H
2021-06-23 22:00:00,-2.028313096079026,H
2021-06-23 23:00:00,-2.047894993096451,H
2021-06-24 00:00:00,-2.065297470077366,H
2021-06-24 01:00:00,-2.088996749953188,H
2021-06-24 02:00:00,-2.1134301166576837,H
2021-06-24 03:00:00,-2.1313263873253816,H
2021-06-24 04:00:00,-2.1486244771918743,H
2021-06-24 05:00:00,-2.167040176489675,H
2021-06-24 06:00:00,-2.1851368669201983,H
2021-06-24 07:00:00,-2.1904989569406523,H
2021-06-24 08:00:00,-2.1923222075918596,H
2021-06-24 09:00:00,-2.1876079743748527,H
2021-06-24 10:00:00,-2.1756512104425756,H
2021-06-24 11:00:00,-2.1668011804198777,H
2021-06-24 12:00:00,-2.1519393900885513,H
2021-06-24 13:00:00,-2.135605981058012,H
2021-06-24 14:00:00,-2.1275782716702216,H
2021-06-24 15:00:00,-2.127817693366158,H
2021-06-24 16:00:00,-2.1333157055786067,H
2021-06-24 17:00:00,-2.141914654784691,H
2021-06-24 18:00:00,-2.1489793996739,H
2021-06-24 19:00:00,-2.1662291606660538,H
2021-06-24 20:00:00,-2.1850509687427535,H
2021-06-24 21:00:00,-2.2052721237905506,H
2021-06-24 22:00:00,-2.2210789674136504,H
2021-06-24 23:00:00,-2.2395052018627,H
2021-06-25 00:00:00,-2.2516600307684747,H
2021-06-25 01:00:00,-2.269581469631318,H
2021-06-25 02:00:00,-2.2888179186181508,H
2021-06-25 03:00:00,-2.30334642690052,H
2021-06-25 04:00:00,-2.3222511772023875,H
2021-06-25 05:00:00,-2.346608754281099,H
2021-06-25 06:00:00,-2.367431961613715,H
2021-06-25 07:00:00,-2.3684705584438617,H
2021-06-25 08:00:00,-2.3573733259624596,H
2021-06-25 09:00:00,-2.33840248433556,H
2021-06-25 10:00:00,-2.317553381906035,H
2021-06-25 11:00:00,-2.3175700029470563,H
2021-06-25 12:00:00,-2.285307170082033,H
2021-06-25 13:00:00,-2.246425318124635,H
2021-06-25 14:00:00,-2.200975496792059,H
2021-06-25 15:00:00,-2.1822157958507407,H
2021-06-25 16:00:00,-2.1681583457527362,H
2021-06-25 17:00:00,-2.16469724166422,H
2021-06-25 18:00:00,-2.1746857547071072,H
2021-06-25 19:00:00,-2.2012045048928535,H
2021-06-25 20:00:00,-2.241131075599956,H
2021-06-25 21:00:00,-2.2712538142156684,H
2021-06-25 22:00:00,-2.304689766047506,H
2021-06-25 23:00:00,-2.334893086681747,H
2021-06-26 00:00:00,-2.3607723913946104,H
2021-06-26 01:00:00,-2.3850508505916275,H
2021-06-26 02:00:00,-2.413519373611278,H
2021-06-26 03:00:00,-2.4356024141770996,H
2021-06-26 04:00:00,-2.4513566238028073,H
2021-06-26 05:00:00,-2.4690359096909233,H
2021-06-26 06:00:00,-2.4838752577393097,H
2021-06-26 07:00:00,-2.492385264254308,H
2021-06-26 08:00:00,-2.4927354712227525,H
2021-06-26 09:00:00,-2.483967984493415,H
2021-06-26 10:00:00,-2.473797931167475,H
2021-06-26 11:00:00,-2.4580263671095595,H
2021-06-26 12:00:00,-2.4507665132296506,H
2021-06-26 13:00:00,-2.4350725893243186,H
2021-06-26 14:00:00,-2.4175821670864726,H
2021-06-26 15:00:00,-2.410584889923582,H
2021-06-26 16:00:00,-2.4017478833845773,H
2021-06-26 17:00:00,-2.3963543135224388,H
2021-06-26 18:00:00,-2.3938554379041577,H
2021-06-26 19:00:00,-2.398495012857198,H
2021-06-26 20:00:00,-2.4226900445054826,H
2021-06-26 21:00:00,-2.4537317706047026,H
2021-06-26 22:00:00,-2.482519414432037,H
2021-06-26 23:00:00,-2.5054766098374066,H
2021-06-27 00:00:00,-2.531137163792313,H
2021-06-27 01:00:00,-2.556629555746311,H
2021-06-27 02:00:00,-2.5687288631941234,H
2021-06-27 03:00:00,-2.5908667321417824,H
2021-06-27 04:00:00,-2.60866279355067,H
2021-06-27 05:00:00,-2.625422151178879,H
2021-06-27 06:00:00,-2.6393675706865296,H
2021-06-27 07:00:00,-2.6395216209605565,H
2021-06-27 08:00:00,-2.6386270149281335,H
2021-06-27 09:00:00,-2.633324088669596,H
