date_time,Average PMV,Habitability?
2021-06-22 16:00:00,-0.8073552739459312,H
2021-06-22 17:00:00,-0.8422187386088322,H
2021-06-22 18:00:00,-0.8718358160906172,H
2021-06-22 19:00:00,-0.9081316088711551,H
2021-06-22 20:00:00,-0.9476669947796237,H
2021-06-22 21:00:00,-0.9880923333031908,H
2021-06-22 22:00:00,-1.0271105904390012,H
2021-06-22 23:00:00,-1.0538843003985223,H
2021-06-23 00:00:00,-1.0798099675288402,H
2021-06-23 01:00:00,-1.106807862225451,H
2021-06-23 02:00:00,-1.141419621378379,H
2021-06-23 03:00:00,-1.1650291399996058,H
2021-06-23 04:00:00,-1.1785830441123524,H
2021-06-23 05:00:00,-1.2096094416896233,H
2021-06-23 06:00:00,-1.2340248310566173,H
2021-06-23 07:00:00,-1.2497577773968378,H
2021-06-23 08:00:00,-1.2366548562423785,H
2021-06-23 09:00:00,-1.2354007432035323,H
2021-06-23 10:00:00,-1.2319257067255716,H
2021-06-23 11:00:00,-1.2162260618201095,H
2021-06-23 12:00:00,-1.1864419572730087,H
2021-06-23 13:00:00,-1.1655480991859517,H
2021-06-23 14:00:00,-1.1624423027392232,H
2021-06-23 15:00:00,-1.1738893461548103,H
2021-06-23 16:00:00,-1.1925790336319682,H
2021-06-23 17:00:00,-1.2105230266483014,H
2021-06-23 18:00:00,-1.221377359967468,H
2021-06-23 19:00:00,-1.238811266241555,H
2021-06-23 20:00:00,-1.2454138227837754,H
2021-06-23 21:00:00,-1.2656446939703745,H
2021-06-23 22:00:00,-1.2777321692093049,H
2021-06-23 23:00:00,-1.2935232962861218,H
2021-06-24 00:00:00,-1.3157260288026424,H
2021-06-24 01:00:00,-1.3653040312722833,H
2021-06-24 02:00:00,-1.4018906447474173,H
2021-06-24 03:00:00,-1.424931412440161,H
2021-06-24 04:00:00,-1.4409761713085585,H
2021-06-24 05:00:00,-1.4611117591475689,H
2021-06-24 06:00:00,-1.4727881266770297,H
2021-06-24 07:00:00,-1.4529440949760213,H
2021-06-24 08:00:00,-1.4444533399082353,H
2021-06-24 09:00:00,-1.4669402440913917,H
2021-06-24 10:00:00,-1.4526975378689682,H
2021-06-24 11:00:00,-1.4356286235919717,H
2021-06-24 12:00:00,-1.4018655196518244,H
2021-06-24 13:00:00,-1.3833354269732938,H
2021-06-24 14:00:00,-1.3891722477861006,H
2021-06-24 15:00:00,-1.401236284083035,H
2021-06-24 16:00:00,-1.4064548029587365,H
2021-06-24 17:00:00,-1.4254695859707955,H
2021-06-24 18:00:00,-1.4274176847675468,H
2021-06-24 19:00:00,-1.4625792928062045,H
2021-06-24 20:00:00,-1.479580658214984,H
2021-06-24 21:00:00,-1.4965080185610602,H
2021-06-24 22:00:00,-1.5083406784294142,H
2021-06-24 23:00:00,-1.5233095251245252,H
2021-06-25 00:00:00,-1.5373607198426056,H
2021-06-25 01:00:00,-1.5615657769939317,H
2021-06-25 02:00:00,-1.5838183361596097,H
2021-06-25 03:00:00,-1.6061498768852134,H
2021-06-25 04:00:00,-1.6020739265603636,H
2021-06-25 05:00:00,-1.6091744318435215,H
2021-06-25 06:00:00,-1.6174279651282122,H
2021-06-25 07:00:00,-1.6195539332354763,H
2021-06-25 08:00:00,-1.6018408083284572,H
2021-06-25 09:00:00,-1.5897290947654525,H
2021-06-25 10:00:00,-1.5783030280722257,H
2021-06-25 11:00:00,-1.5853823923506245,H
2021-06-25 12:00:00,-1.5378302337396856,H
2021-06-25 13:00:00,-1.501274073885919,H
2021-06-25 14:00:00,-1.4671857089757785,H
2021-06-25 15:00:00,-1.4418227961281322,H
2021-06-25 16:00:00,-1.417727964136008,H
2021-06-25 17:00:00,-1.3882489744923658,H
2021-06-25 18:00:00,-1.3902433188967676,H
2021-06-25 19:00:00,-1.432504373144745,H
2021-06-25 20:00:00,-1.4955594203514293,H
2021-06-25 21:00:00,-1.5295326613387499,H
2021-06-25 22:00:00,-1.5730944705129188,H
2021-06-25 23:00:00,-1.6096443230365767,H
2021-06-26 00:00:00,-1.625914962567516,H
2021-06-26 01:00:00,-1.6416983219051409,H
2021-06-26 02:00:00,-1.6685656126339994,H
2021-06-26 03:00:00,-1.6813385739477003,H
2021-06-26 04:00:00,-1.7002361581504861,H
2021-06-26 05:00:00,-1.702833779439108,H
2021-06-26 06:00:00,-1.7041717279840194,H
2021-06-26 07:00:00,-1.6992438004133301,H
2021-06-26 08:00:00,-1.6953031479624119,H
2021-06-26 09:00:00,-1.698726322274017,H
2021-06-26 10:00:00,-1.6863067310595499,H
2021-06-26 11:00:00,-1.6573036084297983,H
2021-06-26 12:00:00,-1.6512232547936714,H
2021-06-26 13:00:00,-1.6397016156981574,H
2021-06-26 14:00:00,-1.6138573504468416,H
2021-06-26 15:00:00,-1.6037082296793785,H
2021-06-26 16:00:00,-1.6009394243974329,H
2021-06-26 17:00:00,-1.5976356426720713,H
2021-06-26 18:00:00,-1.5731512301667323,H
2021-06-26 19:00:00,-1.5748787055567632,H
2021-06-26 20:00:00,-1.6082398626951135,H
2021-06-26 21:00:00,-1.631902673756595,H
2021-06-26 22:00:00,-1.645754764251867,H
2021-06-26 23:00:00,-1.6692520037604792,H
2021-06-27 00:00:00,-1.6942821178604177,H
2021-06-27 01:00:00,-1.7316314034751144,H
2021-06-27 02:00:00,-1.744737578396887,H
2021-06-27 03:00:00,-1.7664875366856767,H
2021-06-27 04:00:00,-1.7832456135077994,H
2021-06-27 05:00:00,-1.7880184305572355,H
2021-06-27 06:00:00,-1.7989056573821394,H
2021-06-27 07:00:00,-1.8067667777347163,H
2021-06-27 08:00:00,-1.8101251776678948,H
2021-06-27 09:00:00,-1.813055552473178,H
2021-06-27 10:00:00,-1.7980303772870059,H
2021-06-27 11:00:00,-1.7775857771386174,H
2021-06-27 12:00:00,-1.759757493119339,H
2021-06-27 13:00:00,-1.7417065276210866,H
2021-06-27 14:00:00,-1.7407502215535606,H
2021-06-27 15:00:00,-1.7450926483846874,H
2021-06-27 16:00:00,-1.7431388738874551,H
2021-06-27 17:00:00,-1.7368019707595712,H
2021-06-27 18:00:00,-1.7393637999393539,H
2021-06-27 19:00:00,-1.7419576588425738,H
2021-06-27 20:00:00,-1.7551749755214883,H
2021-06-27 21:00:00,-1.7639177421398613,H
2021-06-27 22:00:00,-1.808596006536322,H
2021-06-27 23:00:00,-1.8401555012494646,H
2021-06-28 00:00:00,-1.8651894399295168,H
2021-06-28 01:00:00,-1.8783699601977883,H
2021-06-28 02:00:00,-1.887576352038125,H
2021-06-28 03:00:00,-1.9006209687652844,H
2021-06-28 04:00:00,-1.8857423507779325,H
2021-06-28 05:00:00,-1.893471794295952,H
2021-06-28 06:00:00,-1.90548596125128,H
2021-06-28 07:00:00,-1.9116643694979456,H
2021-06-28 08:00:00,-1.9169137372920144,H
2021-06-28 09:00:00,-1.9154250093847385,H
2021-06-28 10:00:00,-1.895603546655558,H
2021-06-28 11:00:00,-1.8789682487861252,H
2021-06-28 12:00:00,-1.8181788072528289,H
2021-06-28 13:00:00,-1.7646657916706399,H
2021-06-28 14:00:00,-1.7291994257165897,H
2021-06-28 15:00:00,-1.6854794959229844,H
2021-06-28 16:00:00,-1.6419840174444194,H
2021-06-28 17:00:00,-1.6138336690307045,H
2021-06-28 18:00:00,-1.6088807733188988,H
2021-06-28 19:00:00,-1.6215024674063794,H
2021-06-28 20:00:00,-1.6454576043611455,H
2021-06-28 21:00:00,-1.6616199093897566,H
2021-06-28 22:00:00,-1.7008160275911233,H
2021-06-28 23:00:00,-1.7438327682959016,H
2021-06-29 00:00:00,-1.788250185671239,H
2021-06-29 01:00:00,-1.8183125692874869,H
2021-06-29 02:00:00,-1.8216935422738716,H
2021-06-29 03:00:00,-1.846055865689237,H
2021-06-29 04:00:00,-1.8719686608021888,H
2021-06-29 05:00:00,-1.897783146486916,H
2021-06-29 06:00:00,-1.8822711343251395,H
2021-06-29 07:00:00,-1.8491684080803124,H
2021-06-29 08:00:00,-1.8032871844844987,H
2021-06-29 09:00:00,-1.7296240457656418,H
2021-06-29 10:00:00,-1.649654866724128,H
2021-06-29 11:00:00,-1.575740254778258,H
2021-06-29 12:00:00,-1.5178098622258471,H
2021-06-29 13:00:00,-1.4840564501758928,H
2021-06-29 14:00:00,-1.4447649573371297,H
2021-06-29 15:00:00,-1.7364259640869901,H
2021-06-29 16:00:00,-1.2901495042516098,H
