date_time,Average PMV,Habitability?
2021-10-31 16:00:00,-1.749730700690134,H
2021-10-31 17:00:00,-1.7485084342077668,H
2021-10-31 18:00:00,-1.7228922249755214,H
2021-10-31 19:00:00,-1.7309044959393387,H
2021-10-31 20:00:00,-1.7381645949524605,H
2021-10-31 21:00:00,-1.743492319695005,H
2021-10-31 22:00:00,-1.7559396358262014,H
2021-10-31 23:00:00,-1.7712565060161631,H
2021-11-01 00:00:00,-1.789466494234839,H
2021-11-01 01:00:00,-1.805031600605395,H
2021-11-01 02:00:00,-1.8211308247657076,H
2021-11-01 03:00:00,-1.8364051367941938,H
2021-11-01 04:00:00,-1.8537090025099825,H
2021-11-01 05:00:00,-1.849840999698367,H
2021-11-01 06:00:00,-1.870423765552029,H
2021-11-01 07:00:00,-1.8727752123245205,H
2021-11-01 08:00:00,-1.9005973029998597,H
2021-11-01 09:00:00,-1.9148694219802316,H
2021-11-01 10:00:00,-1.9674530484051198,H
2021-11-01 11:00:00,-1.945589816521811,H
2021-11-01 12:00:00,-1.9352387284685204,H
2021-11-01 13:00:00,-1.9501626424818705,H
2021-11-01 14:00:00,-1.9389332897127487,H
2021-11-01 15:00:00,-1.9619259391307564,H
2021-11-01 16:00:00,-1.9756598203940225,H
2021-11-01 17:00:00,-2.005192045779833,H
2021-11-01 18:00:00,-2.0304035838946133,H
2021-11-01 19:00:00,-2.059199183528406,H
2021-11-01 20:00:00,-2.079128791538997,H
2021-11-01 21:00:00,-2.0899242858756915,H
2021-11-01 22:00:00,-2.0949976720306642,H
2021-11-01 23:00:00,-2.1078987808238785,H
2021-11-02 00:00:00,-2.119721944520159,H
2021-11-02 01:00:00,-2.13662780488687,H
2021-11-02 02:00:00,-2.150696455274774,H
2021-11-02 03:00:00,-2.169256018890727,H
2021-11-02 04:00:00,-2.1897485637034233,H
2021-11-02 05:00:00,-2.2086638720624223,H
2021-11-02 06:00:00,-2.213327838234282,H
2021-11-02 07:00:00,-2.229962620268483,H
2021-11-02 08:00:00,-2.25497632081424,H
2021-11-02 09:00:00,-2.276452507930311,H
2021-11-02 10:00:00,-2.2382128694745593,H
2021-11-02 11:00:00,-2.206288919774078,H
2021-11-02 12:00:00,-2.1878816993006076,H
2021-11-02 13:00:00,-2.1863183955629415,H
2021-11-02 14:00:00,-2.1826895242471682,H
2021-11-02 15:00:00,-2.176376444779172,H
2021-11-02 16:00:00,-2.195205909735305,H
2021-11-02 17:00:00,-2.2473741086534944,H
2021-11-02 18:00:00,-2.2888008778822724,H
2021-11-02 19:00:00,-2.3211226592864396,H
2021-11-02 20:00:00,-2.341710925147504,H
2021-11-02 21:00:00,-2.364646913532156,H
2021-11-02 22:00:00,-2.3788662878125026,H
2021-11-02 23:00:00,-2.380347665115806,H
2021-11-03 00:00:00,-2.4019985617037825,H
2021-11-03 01:00:00,-2.434583396055378,H
2021-11-03 02:00:00,-2.460144068491744,H
2021-11-03 03:00:00,-2.460072429144632,H
2021-11-03 04:00:00,-2.4782045357011646,H
2021-11-03 05:00:00,-2.499834687075735,H
2021-11-03 06:00:00,-2.508779650647208,H
2021-11-03 07:00:00,-2.5146026217856847,H
2021-11-03 08:00:00,-2.5366869149860296,H
2021-11-03 09:00:00,-2.546148600079024,H
2021-11-03 10:00:00,-2.4872356063172893,H
2021-11-03 11:00:00,-2.4697957728696442,H
2021-11-03 12:00:00,-2.460034937966283,H
2021-11-03 13:00:00,-2.448625873845328,H
2021-11-03 14:00:00,-2.45760925947158,H
2021-11-03 15:00:00,-2.464660075589787,H
2021-11-03 16:00:00,-2.499404279823589,H
2021-11-03 17:00:00,-2.5354428402047247,H
2021-11-03 18:00:00,-2.593327071183051,H
2021-11-03 19:00:00,-2.6373980906902674,H
2021-11-03 20:00:00,-2.6657331366039276,H
2021-11-03 21:00:00,-2.6781738453400683,H
2021-11-03 22:00:00,-2.6854482788868954,H
2021-11-03 23:00:00,-2.7037357199699192,H
2021-11-04 00:00:00,-2.7094686736906017,H
2021-11-04 01:00:00,-2.726026320250448,H
2021-11-04 02:00:00,-2.7624709741070332,H
2021-11-04 03:00:00,-2.814692017473334,H
2021-11-04 04:00:00,-2.8554888310295348,H
2021-11-04 05:00:00,-2.8790505336964607,H
2021-11-04 06:00:00,-2.89049953699324,H
2021-11-04 07:00:00,-2.923773500192107,H
2021-11-04 08:00:00,-2.934990197586546,H
2021-11-04 09:00:00,-2.957087733372699,H
2021-11-04 10:00:00,-2.904885477190545,H
2021-11-04 11:00:00,-2.855712140063156,H
2021-11-04 12:00:00,-2.7980292888743676,H
2021-11-04 13:00:00,-2.778033396489423,H
