date_time,Average PMV,Habitability?
2021-02-04 15:00:00,-1.268754492759331,H
2021-02-04 16:00:00,-1.4618693714913804,H
2021-02-04 17:00:00,-1.637186237273198,H
2021-02-04 18:00:00,-1.8564337146989627,H
2021-02-04 19:00:00,-1.934776261843087,H
2021-02-04 20:00:00,-2.0375956390850876,H
2021-02-04 21:00:00,-2.149027808906307,H
2021-02-04 22:00:00,-2.231648169772086,H
2021-02-04 23:00:00,-2.353720678709444,H
2021-02-05 00:00:00,-2.4212402312026056,H
2021-02-05 01:00:00,-2.5009771084891765,H
2021-02-05 02:00:00,-2.5824742996324836,H
2021-02-05 03:00:00,-2.6953943120595443,H
2021-02-05 04:00:00,-2.781676732650112,H
2021-02-05 05:00:00,-2.8624946124787076,H
2021-02-05 06:00:00,-2.9062692168620874,H
2021-02-05 07:00:00,-2.934726567647055,H
2021-02-05 08:00:00,-2.947569002029039,H
2021-02-05 09:00:00,-3.0353964394757527,NH
2021-02-05 10:00:00,-3.0033135791209262,NH
2021-02-05 11:00:00,-2.851715112160299,H
2021-02-05 12:00:00,-2.6818269059909503,H
2021-02-05 13:00:00,-2.5618441762927318,H
2021-02-05 14:00:00,-2.5182225508620846,H
2021-02-05 15:00:00,-2.452241027461025,H
2021-02-05 16:00:00,-2.4941449244481877,H
2021-02-05 17:00:00,-2.6063120067636025,H
2021-02-05 18:00:00,-2.679642335198709,H
2021-02-05 19:00:00,-2.733272518932409,H
2021-02-05 20:00:00,-2.753193489170558,H
2021-02-05 21:00:00,-2.840692902583746,H
2021-02-05 22:00:00,-2.8722181032093808,H
2021-02-05 23:00:00,-2.89939338176001,H
2021-02-06 00:00:00,-2.9034782328376867,H
2021-02-06 01:00:00,-2.914415889694977,H
2021-02-06 02:00:00,-2.937470170503883,H
2021-02-06 03:00:00,-2.9609817353748227,H
2021-02-06 04:00:00,-2.9688403703311437,H
2021-02-06 05:00:00,-2.9840407401316726,H
2021-02-06 06:00:00,-3.0034836979337967,NH
2021-02-06 07:00:00,-3.026214166527269,NH
2021-02-06 08:00:00,-3.0347121003911304,NH
2021-02-06 09:00:00,-3.053262010573788,NH
2021-02-06 10:00:00,-2.988341378127461,H
2021-02-06 11:00:00,-2.9850113811420873,H
2021-02-06 12:00:00,-3.0320714771024666,NH
2021-02-06 13:00:00,-3.026914740855751,NH
2021-02-06 14:00:00,-3.001389852287757,NH
2021-02-06 15:00:00,-3.0310025831691227,NH
2021-02-06 16:00:00,-3.050867897613194,NH
2021-02-06 17:00:00,-3.0507543152528434,NH
2021-02-06 18:00:00,-3.06666742379815,NH
