date_time,Average PMV,Habitability?
2021-10-31 16:00:00,-2.075771966503845,H
2021-10-31 17:00:00,-1.9800270645648992,H
2021-10-31 18:00:00,-1.8817383906748821,H
2021-10-31 19:00:00,-1.8458122680851246,H
2021-10-31 20:00:00,-1.8176689418043486,H
2021-10-31 21:00:00,-1.8002940702609038,H
2021-10-31 22:00:00,-1.8022080236680722,H
2021-10-31 23:00:00,-1.8118481039122112,H
2021-11-01 00:00:00,-1.8285621082159718,H
2021-11-01 01:00:00,-1.8430635189411748,H
2021-11-01 02:00:00,-1.8595810239265944,H
2021-11-01 03:00:00,-1.8754759538438697,H
2021-11-01 04:00:00,-1.8949305785171013,H
2021-11-01 05:00:00,-1.8749336274846418,H
2021-11-01 06:00:00,-1.8983841132548376,H
2021-11-01 07:00:00,-1.8934752878653864,H
2021-11-01 08:00:00,-1.9389540953892015,H
2021-11-01 09:00:00,-1.9492450325033295,H
2021-11-01 10:00:00,-1.9956952510888257,H
2021-11-01 11:00:00,-1.937804529528926,H
2021-11-01 12:00:00,-1.8893374801985425,H
2021-11-01 13:00:00,-1.8854819895537658,H
2021-11-01 14:00:00,-1.823786457705384,H
2021-11-01 15:00:00,-1.866949316076174,H
2021-11-01 16:00:00,-1.8740561950390533,H
2021-11-01 17:00:00,-1.9251435304369453,H
2021-11-01 18:00:00,-1.9719954667350228,H
2021-11-01 19:00:00,-2.021989562171746,H
2021-11-01 20:00:00,-2.055869344826569,H
2021-11-01 21:00:00,-2.074472991135396,H
2021-11-01 22:00:00,-2.0831023449457793,H
2021-11-01 23:00:00,-2.1016523703793277,H
2021-11-02 00:00:00,-2.117358379260703,H
2021-11-02 01:00:00,-2.141718556218674,H
2021-11-02 02:00:00,-2.16036300772525,H
2021-11-02 03:00:00,-2.1861142325211587,H
2021-11-02 04:00:00,-2.21581899012948,H
2021-11-02 05:00:00,-2.2412258731187102,H
2021-11-02 06:00:00,-2.2433699526504034,H
2021-11-02 07:00:00,-2.2654371088073324,H
2021-11-02 08:00:00,-2.299567270923127,H
2021-11-02 09:00:00,-2.3260177418129495,H
2021-11-02 10:00:00,-2.195635278578009,H
2021-11-02 11:00:00,-2.0675150659888546,H
2021-11-02 12:00:00,-1.9683169016840105,H
2021-11-02 13:00:00,-1.9249413120471541,H
2021-11-02 14:00:00,-1.8673109598302848,H
2021-11-02 15:00:00,-1.8185550800585166,H
2021-11-02 16:00:00,-1.8429804265025937,H
2021-11-02 17:00:00,-1.968269013546649,H
2021-11-02 18:00:00,-2.068035207490515,H
2021-11-02 19:00:00,-2.160423315415839,H
2021-11-02 20:00:00,-2.213663931111627,H
2021-11-02 21:00:00,-2.277423266223959,H
2021-11-02 22:00:00,-2.314088476342514,H
2021-11-02 23:00:00,-2.3234579370984356,H
2021-11-03 00:00:00,-2.3637897566556827,H
2021-11-03 01:00:00,-2.4141287888426417,H
2021-11-03 02:00:00,-2.4518655426057823,H
2021-11-03 03:00:00,-2.4508858763832224,H
2021-11-03 04:00:00,-2.4790504028372413,H
2021-11-03 05:00:00,-2.509797860477457,H
2021-11-03 06:00:00,-2.520403208745324,H
2021-11-03 07:00:00,-2.5273853001575115,H
2021-11-03 08:00:00,-2.5583471341877435,H
2021-11-03 09:00:00,-2.568920269605016,H
2021-11-03 10:00:00,-2.390377476197683,H
2021-11-03 11:00:00,-2.3373187442058754,H
2021-11-03 12:00:00,-2.262770629037705,H
2021-11-03 13:00:00,-2.198824682272891,H
2021-11-03 14:00:00,-2.193289418373146,H
2021-11-03 15:00:00,-2.179491426524878,H
2021-11-03 16:00:00,-2.2447095951194598,H
2021-11-03 17:00:00,-2.32195466469792,H
2021-11-03 18:00:00,-2.4479467037311133,H
2021-11-03 19:00:00,-2.521408806568604,H
2021-11-03 20:00:00,-2.5905256818611146,H
2021-11-03 21:00:00,-2.62554132593795,H
2021-11-03 22:00:00,-2.645050561025831,H
2021-11-03 23:00:00,-2.6785992779828067,H
2021-11-04 00:00:00,-2.68981515519743,H
2021-11-04 01:00:00,-2.7176342551424595,H
2021-11-04 02:00:00,-2.7747949432977896,H
2021-11-04 03:00:00,-2.849026581048196,H
2021-11-04 04:00:00,-2.9033009140584314,H
2021-11-04 05:00:00,-2.9385561827185427,H
2021-11-04 06:00:00,-2.956093553969456,H
2021-11-04 07:00:00,-3.0065227062032265,NH
2021-11-04 08:00:00,-3.0222305499622713,NH
2021-11-04 09:00:00,-3.05210934910083,NH
2021-11-04 10:00:00,-2.867137385757779,H
2021-11-04 11:00:00,-2.731857939215047,H
2021-11-04 12:00:00,-2.5656285127771437,H
2021-11-04 13:00:00,-2.512944349183211,H
2021-11-04 14:00:00,-2.4494113447090236,H
2021-11-04 15:00:00,-2.3730808313644185,H
2021-11-04 16:00:00,-2.399605293474785,H
2021-11-04 17:00:00,-2.5185688677064877,H
2021-11-04 18:00:00,-2.603419972873015,H
2021-11-04 19:00:00,-2.6915083823169854,H
2021-11-04 20:00:00,-2.7361641675684423,H
2021-11-04 21:00:00,-2.7821527975005576,H
2021-11-04 22:00:00,-2.844242671752457,H
2021-11-04 23:00:00,-2.9144619682811332,H
2021-11-05 00:00:00,-2.936427220460186,H
2021-11-05 01:00:00,-2.9737624873903146,H
2021-11-05 02:00:00,-3.035574887570473,NH
2021-11-05 03:00:00,-3.0833225481556656,NH
2021-11-05 04:00:00,-3.1256335628629723,NH
2021-11-05 05:00:00,-3.16223080004415,NH
2021-11-05 06:00:00,-3.166074456592657,NH
2021-11-05 07:00:00,-3.2099873813657345,NH
2021-11-05 08:00:00,-3.229413721990139,NH
2021-11-05 09:00:00,-3.2401749824441866,NH
2021-11-05 10:00:00,-3.139626986285534,NH
2021-11-05 11:00:00,-3.0160989192192926,NH
2021-11-05 12:00:00,-2.9642321562765597,H
2021-11-05 13:00:00,-2.941295176285521,H
2021-11-05 14:00:00,-2.874380820448656,H
2021-11-05 15:00:00,-2.8746696499684132,H
2021-11-05 16:00:00,-2.880390758299573,H
2021-11-05 17:00:00,-2.88088846956702,H
2021-11-05 18:00:00,-2.9262641909069242,H
2021-11-05 19:00:00,-2.9242809548902864,H
2021-11-05 20:00:00,-2.9668094034723693,H
2021-11-05 21:00:00,-3.0065252032180267,NH
2021-11-05 22:00:00,-3.0315898789949616,NH
2021-11-05 23:00:00,-3.023366259149598,NH
2021-11-06 00:00:00,-2.9899708187737786,H
2021-11-06 01:00:00,-2.9701150209978455,H
2021-11-06 02:00:00,-2.985173519348093,H
2021-11-06 03:00:00,-2.9980653843094793,H
2021-11-06 04:00:00,-3.011493249613753,NH
2021-11-06 05:00:00,-3.0422676635074666,NH
2021-11-06 06:00:00,-3.081836486510865,NH
2021-11-06 07:00:00,-3.1095068524755973,NH
2021-11-06 08:00:00,-3.128906279454965,NH
2021-11-06 09:00:00,-3.1354896874203213,NH
2021-11-06 10:00:00,-3.0622063978646157,NH
2021-11-06 11:00:00,-2.9673814799377505,H
2021-11-06 12:00:00,-2.882645981047386,H
2021-11-06 13:00:00,-2.77681716172011,H
2021-11-06 14:00:00,-2.7097163116639034,H
2021-11-06 15:00:00,-2.586218031675063,H
2021-11-06 16:00:00,-2.5637847664193076,H
2021-11-06 17:00:00,-2.6828961449750452,H
2021-11-06 18:00:00,-2.7971970914855384,H
2021-11-06 19:00:00,-2.874051134943835,H
2021-11-06 20:00:00,-2.937988083147458,H
2021-11-06 21:00:00,-2.9851560767856347,H
2021-11-06 22:00:00,-3.0165327025275754,NH
2021-11-06 23:00:00,-3.0414736496791916,NH
2021-11-07 00:00:00,-3.0626233061074393,NH
2021-11-07 01:00:00,-3.071337122498849,NH
2021-11-07 02:00:00,-3.0809633164821677,NH
2021-11-07 03:00:00,-3.090064220657769,NH
2021-11-07 04:00:00,-3.0942739668456998,NH
2021-11-07 05:00:00,-3.1107065135578833,NH
2021-11-07 06:00:00,-3.1169086048015266,NH
2021-11-07 07:00:00,-3.1221380975809194,NH
