date_time,Average PMV,Habitability?
2021-11-08 06:00:00,-0.6578224804005237,H
2021-11-08 07:00:00,-0.7417234214286865,H
2021-11-08 08:00:00,-0.771565548308924,H
2021-11-08 09:00:00,-0.8034866708053121,H
2021-11-08 10:00:00,-0.8152916052051179,H
2021-11-08 11:00:00,-0.8393560320431911,H
2021-11-08 12:00:00,-0.849671518477352,H
2021-11-08 13:00:00,-0.8592712401827208,H
2021-11-08 14:00:00,-0.8649066352596857,H
2021-11-08 15:00:00,-0.8773977249902275,H
2021-11-08 16:00:00,-0.8939162696564388,H
2021-11-08 17:00:00,-0.91266836162084,H
2021-11-08 18:00:00,-0.9314585713354929,H
2021-11-08 19:00:00,-0.946945131919291,H
2021-11-08 20:00:00,-0.9640778138679261,H
2021-11-08 21:00:00,-0.9797585742971902,H
2021-11-08 22:00:00,-0.9960169382021724,H
2021-11-08 23:00:00,-1.0203653343422294,H
2021-11-09 00:00:00,-1.0407490924252432,H
2021-11-09 01:00:00,-1.0491911051609641,H
2021-11-09 02:00:00,-1.0617131419071892,H
2021-11-09 03:00:00,-1.0890428188576895,H
2021-11-09 04:00:00,-1.1111655033507915,H
2021-11-09 05:00:00,-1.1290931036199676,H
2021-11-09 06:00:00,-1.1477093626721837,H
2021-11-09 07:00:00,-1.166882897815835,H
2021-11-09 08:00:00,-1.1718422092787948,H
2021-11-09 09:00:00,-1.170774072469496,H
2021-11-09 10:00:00,-1.1612727436558823,H
2021-11-09 11:00:00,-1.160495716474415,H
2021-11-09 12:00:00,-1.161520918979434,H
2021-11-09 13:00:00,-1.1769018838715615,H
2021-11-09 14:00:00,-1.1916528784587896,H
2021-11-09 15:00:00,-1.206695213225413,H
2021-11-09 16:00:00,-1.2297775554237995,H
2021-11-09 17:00:00,-1.2485381081727567,H
2021-11-09 18:00:00,-1.262927440978877,H
2021-11-09 19:00:00,-1.2778563205150206,H
2021-11-09 20:00:00,-1.3016054263684396,H
2021-11-09 21:00:00,-1.3195561161703593,H
2021-11-09 22:00:00,-1.3332726727004933,H
2021-11-09 23:00:00,-1.3467421993308069,H
2021-11-10 00:00:00,-1.3598520006739936,H
2021-11-10 01:00:00,-1.3804670158778105,H
2021-11-10 02:00:00,-1.3979497717348248,H
2021-11-10 03:00:00,-1.4362869404695984,H
2021-11-10 04:00:00,-1.4664065475761972,H
2021-11-10 05:00:00,-1.4868764096972649,H
2021-11-10 06:00:00,-1.5043834832029457,H
2021-11-10 07:00:00,-1.512947257168819,H
2021-11-10 08:00:00,-1.506149403421962,H
2021-11-10 09:00:00,-1.5175540166581822,H
2021-11-10 10:00:00,-1.5218138407638528,H
2021-11-10 11:00:00,-1.5259955106391034,H
2021-11-10 12:00:00,-1.5338243625222994,H
2021-11-10 13:00:00,-1.5427237348150638,H
2021-11-10 14:00:00,-1.5453903024139493,H
2021-11-10 15:00:00,-1.5537332392532075,H
2021-11-10 16:00:00,-1.5735494486147896,H
2021-11-10 17:00:00,-1.5853359722333422,H
2021-11-10 18:00:00,-1.6039777610677144,H
2021-11-10 19:00:00,-1.618570575320027,H
2021-11-10 20:00:00,-1.6316757060285718,H
2021-11-10 21:00:00,-1.6612190240103866,H
2021-11-10 22:00:00,-1.690735743032043,H
2021-11-10 23:00:00,-1.7206134134412163,H
2021-11-11 00:00:00,-1.7424641028930994,H
2021-11-11 01:00:00,-1.7667618584306466,H
2021-11-11 02:00:00,-1.787837668083218,H
2021-11-11 03:00:00,-1.8109636966203577,H
2021-11-11 04:00:00,-1.8325664877329029,H
2021-11-11 05:00:00,-1.8504743839585833,H
2021-11-11 06:00:00,-1.8700515412645267,H
2021-11-11 07:00:00,-1.8819150215539893,H
2021-11-11 08:00:00,-1.893268352096561,H
2021-11-11 09:00:00,-1.90546161301431,H
2021-11-11 10:00:00,-1.889163363642241,H
2021-11-11 11:00:00,-1.8821182712615332,H
2021-11-11 12:00:00,-1.8947269403813063,H
2021-11-11 13:00:00,-1.8894769942777643,H
2021-11-11 14:00:00,-1.8987406769305633,H
2021-11-11 15:00:00,-1.9174647252273236,H
2021-11-11 16:00:00,-1.9381410467776135,H
2021-11-11 17:00:00,-1.9658824730010147,H
2021-11-11 18:00:00,-1.9905608902435545,H
2021-11-11 19:00:00,-2.0104761610946813,H
2021-11-11 20:00:00,-2.034588242350381,H
2021-11-11 21:00:00,-2.0563254194785685,H
2021-11-11 22:00:00,-2.0765255294785097,H
2021-11-11 23:00:00,-2.0960696045994145,H
2021-11-12 00:00:00,-2.1206692188088105,H
2021-11-12 01:00:00,-2.1388754262225724,H
2021-11-12 02:00:00,-2.156535871968185,H
2021-11-12 03:00:00,-2.1815549368427756,H
2021-11-12 04:00:00,-2.2102746511316202,H
2021-11-12 05:00:00,-2.241940840357324,H
2021-11-12 06:00:00,-2.2768348086976142,H
2021-11-12 07:00:00,-2.3172055046504316,H
