date_time,Average PMV,Habitability?
2021-06-24 14:00:00,-1.6140998587924436,H
2021-06-24 15:00:00,-1.6539848013234864,H
2021-06-24 16:00:00,-1.6807097190154445,H
2021-06-24 17:00:00,-1.7108679022350046,H
2021-06-24 18:00:00,-1.736360378152132,H
2021-06-24 19:00:00,-1.7686150662084643,H
2021-06-24 20:00:00,-1.8002148034767582,H
2021-06-24 21:00:00,-1.8315290331392962,H
2021-06-24 22:00:00,-1.8575607953368323,H
2021-06-24 23:00:00,-1.8853550410057887,H
2021-06-25 00:00:00,-1.9063974728619815,H
2021-06-25 01:00:00,-1.9320423132122222,H
2021-06-25 02:00:00,-1.9579725973093527,H
2021-06-25 03:00:00,-1.9792603081267133,H
2021-06-25 04:00:00,-2.0044499592762426,H
2021-06-25 05:00:00,-2.0348065649668095,H
2021-06-25 06:00:00,-2.0616091682698467,H
2021-06-25 07:00:00,-2.068801937517704,H
2021-06-25 08:00:00,-2.063971764911336,H
2021-06-25 09:00:00,-2.0515313868707494,H
2021-06-25 10:00:00,-2.0373265096678406,H
2021-06-25 11:00:00,-2.04220812548445,H
2021-06-25 12:00:00,-2.0156775249233703,H
2021-06-25 13:00:00,-1.9831716058768905,H
2021-06-25 14:00:00,-1.9445631098936325,H
2021-06-25 15:00:00,-1.932534413623887,H
2021-06-25 16:00:00,-1.9187106669541338,H
2021-06-25 17:00:00,-1.918175400087077,H
2021-06-25 18:00:00,-1.9322596779037964,H
2021-06-25 19:00:00,-1.961828535387409,H
2021-06-25 20:00:00,-2.004925170800771,H
2021-06-25 21:00:00,-2.039128479952401,H
2021-06-25 22:00:00,-2.0764061095376736,H
2021-06-25 23:00:00,-2.1098971488224367,H
2021-06-26 00:00:00,-2.139530976074067,H
2021-06-26 01:00:00,-2.1671090314724855,H
2021-06-26 02:00:00,-2.198301622998784,H
2021-06-26 03:00:00,-2.2231274784206305,H
2021-06-26 04:00:00,-2.2418572608938203,H
2021-06-26 05:00:00,-2.2624252765894344,H
2021-06-26 06:00:00,-2.2801293008530013,H
2021-06-26 07:00:00,-2.2913510737819633,H
2021-06-26 08:00:00,-2.2948310291626215,H
2021-06-26 09:00:00,-2.28955744852528,H
2021-06-26 10:00:00,-2.282693500076911,H
2021-06-26 11:00:00,-2.2697666269306405,H
2021-06-26 12:00:00,-2.264688056226031,H
2021-06-26 13:00:00,-2.2519939292583557,H
2021-06-26 14:00:00,-2.237657626103356,H
2021-06-26 15:00:00,-2.233290934187433,H
2021-06-26 16:00:00,-2.2262196053998964,H
2021-06-26 17:00:00,-2.2228852857672243,H
2021-06-26 18:00:00,-2.2224190191034263,H
2021-06-26 19:00:00,-2.2294126911922487,H
2021-06-26 20:00:00,-2.2555426296486085,H
2021-06-26 21:00:00,-2.288637052366649,H
2021-06-26 22:00:00,-2.318891672012866,H
2021-06-26 23:00:00,-2.3433075947177238,H
2021-06-27 00:00:00,-2.3702523382996916,H
2021-06-27 01:00:00,-2.39720235027309,H
2021-06-27 02:00:00,-2.410941072847364,H
2021-06-27 03:00:00,-2.434769035420916,H
2021-06-27 04:00:00,-2.453481626838776,H
2021-06-27 05:00:00,-2.4722455723042422,H
2021-06-27 06:00:00,-2.488333298318332,H
2021-06-27 07:00:00,-2.491003449418178,H
2021-06-27 08:00:00,-2.4924120953163897,H
2021-06-27 09:00:00,-2.489265858846672,H
2021-06-27 10:00:00,-2.4805028185852,H
2021-06-27 11:00:00,-2.4606463673474503,H
2021-06-27 12:00:00,-2.4455964742734273,H
2021-06-27 13:00:00,-2.429977635120361,H
2021-06-27 14:00:00,-2.417560043791014,H
2021-06-27 15:00:00,-2.410489068911602,H
2021-06-27 16:00:00,-2.420723301202043,H
2021-06-27 17:00:00,-2.430264799295305,H
2021-06-27 18:00:00,-2.439684961202168,H
2021-06-27 19:00:00,-2.4517344362858773,H
2021-06-27 20:00:00,-2.4666562288691,H
2021-06-27 21:00:00,-2.4922213022269237,H
2021-06-27 22:00:00,-2.5186651989269087,H
2021-06-27 23:00:00,-2.540951174161696,H
2021-06-28 00:00:00,-2.5608121724828794,H
2021-06-28 01:00:00,-2.5793921339843835,H
2021-06-28 02:00:00,-2.5986260867229727,H
2021-06-28 03:00:00,-2.6174651981349406,H
2021-06-28 04:00:00,-2.634980250236225,H
2021-06-28 05:00:00,-2.650545267826167,H
2021-06-28 06:00:00,-2.662884541420844,H
2021-06-28 07:00:00,-2.6705348103661515,H
2021-06-28 08:00:00,-2.6612408866795003,H
2021-06-28 09:00:00,-2.6507993162627157,H
2021-06-28 10:00:00,-2.636785788221051,H
2021-06-28 11:00:00,-2.617823385419028,H
2021-06-28 12:00:00,-2.582207910719685,H
2021-06-28 13:00:00,-1.3053264430815161,H
2021-06-28 14:00:00,-0.919798448660316,H
