date_time,Average PMV,Habitability?
2021-03-16 02:00:00,-1.9961608351450773,H
2021-03-16 03:00:00,-2.358245431313059,H
2021-03-16 04:00:00,-2.5789750776358105,H
2021-03-16 05:00:00,-2.7393754961098207,H
2021-03-16 06:00:00,-2.8656554274844708,H
2021-03-16 07:00:00,-2.9685308619557875,H
2021-03-16 08:00:00,-3.0612436908212746,NH
2021-03-16 09:00:00,-3.101075195522849,NH
2021-03-16 10:00:00,-3.107126981024076,NH
2021-03-16 11:00:00,-3.0908628762034134,NH
2021-03-16 12:00:00,-3.072359488701913,NH
2021-03-16 13:00:00,-3.0451391630320237,NH
2021-03-16 14:00:00,-3.0288611705304214,NH
2021-03-16 15:00:00,-3.0269109128828227,NH
2021-03-16 16:00:00,-3.042732077999615,NH
2021-03-16 17:00:00,-3.0727726090163756,NH
2021-03-16 18:00:00,-3.1198454508924853,NH
2021-03-16 19:00:00,-3.170220847534082,NH
2021-03-16 20:00:00,-3.2073490406805703,NH
2021-03-16 21:00:00,-3.241231387480557,NH
2021-03-16 22:00:00,-3.2686517912262048,NH
2021-03-16 23:00:00,-3.2970281993286292,NH
2021-03-17 00:00:00,-3.323391977802975,NH
2021-03-17 01:00:00,-3.3446797929714216,NH
2021-03-17 02:00:00,-3.3679821047634726,NH
2021-03-17 03:00:00,-3.392666263155595,NH
2021-03-17 04:00:00,-3.4102725585996816,NH
2021-03-17 05:00:00,-3.4301899069743946,NH
2021-03-17 06:00:00,-3.451522548755763,NH
2021-03-17 07:00:00,-3.476821431089782,NH
2021-03-17 08:00:00,-3.4921793555162526,NH
2021-03-17 09:00:00,-3.4988998363375736,NH
2021-03-17 10:00:00,-3.507335261538261,NH
2021-03-17 11:00:00,-3.512698459629289,NH
2021-03-17 12:00:00,-3.5096495742803135,NH
2021-03-17 13:00:00,-3.5034860772171386,NH
2021-03-17 14:00:00,-3.5058280089047535,NH
2021-03-17 15:00:00,-3.5304523537134966,NH
2021-03-17 16:00:00,-3.5555758774685358,NH
2021-03-17 17:00:00,-3.5748055058244326,NH
2021-03-17 18:00:00,-3.5968927580129475,NH
2021-03-17 19:00:00,-3.6427289764679895,NH
2021-03-17 20:00:00,-3.6890612860115457,NH
2021-03-17 21:00:00,-3.7299934383318596,NH
2021-03-17 22:00:00,-3.763957475064084,NH
2021-03-17 23:00:00,-3.7965991043800416,NH
2021-03-18 00:00:00,-3.826904226412965,NH
2021-03-18 01:00:00,-3.8502781261384613,NH
2021-03-18 02:00:00,-3.8736222762323407,NH
2021-03-18 03:00:00,-3.896469917837754,NH
2021-03-18 04:00:00,-3.9100421361300532,NH
2021-03-18 05:00:00,-3.9265041949420243,NH
2021-03-18 06:00:00,-3.94736077336832,NH
2021-03-18 07:00:00,-3.9620478442084135,NH
2021-03-18 08:00:00,-3.978475767704168,NH
2021-03-18 09:00:00,-3.9758764475249664,NH
2021-03-18 10:00:00,-3.969890980290914,NH
2021-03-18 11:00:00,-3.968647034533675,NH
2021-03-18 12:00:00,-3.967607489199428,NH
2021-03-18 13:00:00,-3.9636737433678317,NH
2021-03-18 14:00:00,-3.943415002102853,NH
2021-03-18 15:00:00,-3.9318361747373545,NH
2021-03-18 16:00:00,-3.9335041892043225,NH
2021-03-18 17:00:00,-3.9457412264043117,NH
2021-03-18 18:00:00,-3.9607591676835177,NH
2021-03-18 19:00:00,-3.9880638449759735,NH
2021-03-18 20:00:00,-4.010280682638773,NH
2021-03-18 21:00:00,-4.033305074970709,NH
2021-03-18 22:00:00,-4.056808756789693,NH
2021-03-18 23:00:00,-4.077470751220403,NH
2021-03-19 00:00:00,-4.1129308940630125,NH
2021-03-19 01:00:00,-4.148750324117625,NH
2021-03-19 02:00:00,-4.179821136504244,NH
2021-03-19 03:00:00,-4.200186361578948,NH
2021-03-19 04:00:00,-4.216205264116263,NH
2021-03-19 05:00:00,-4.27026704740987,NH
2021-03-19 06:00:00,-4.306820529795193,NH
2021-03-19 07:00:00,-4.3276029101498,NH
2021-03-19 08:00:00,-4.335161403348924,NH
2021-03-19 09:00:00,-4.333360240887022,NH
2021-03-19 10:00:00,-4.317368037150281,NH
2021-03-19 11:00:00,-4.305075521642751,NH
2021-03-19 12:00:00,-4.295420238962406,NH
2021-03-19 13:00:00,-4.277407714209917,NH
2021-03-19 14:00:00,-4.275782407010808,NH
2021-03-19 15:00:00,-4.255368220746489,NH
2021-03-19 16:00:00,-4.260145907347194,NH
2021-03-19 17:00:00,-4.276359435188078,NH
2021-03-19 18:00:00,-4.283415820723165,NH
2021-03-19 19:00:00,-4.2939863170403605,NH
2021-03-19 20:00:00,-4.3082639702062275,NH
2021-03-19 21:00:00,-4.328618859926293,NH
2021-03-19 22:00:00,-4.376557066816274,NH
2021-03-19 23:00:00,-4.430843911763401,NH
2021-03-20 00:00:00,-4.473151904789488,NH
2021-03-20 01:00:00,-4.5339119963101675,NH
2021-03-20 02:00:00,-2.9546073855350863,H
