date_time,Average PMV,Habitability?
2021-11-08 06:00:00,-1.855438075748687,H
2021-11-08 07:00:00,-2.1112185699046555,H
2021-11-08 08:00:00,-2.232522658337355,H
2021-11-08 09:00:00,-2.3105455869921454,H
2021-11-08 10:00:00,-2.3693017089716837,H
2021-11-08 11:00:00,-2.4155155898747807,H
2021-11-08 12:00:00,-2.4462845333900014,H
2021-11-08 13:00:00,-2.474635057892434,H
2021-11-08 14:00:00,-2.4906327146514684,H
2021-11-08 15:00:00,-2.508683320585773,H
2021-11-08 16:00:00,-2.5309947610474173,H
2021-11-08 17:00:00,-2.559619458495987,H
2021-11-08 18:00:00,-2.5851396694902546,H
2021-11-08 19:00:00,-2.6061955449700354,H
2021-11-08 20:00:00,-2.6274883981402097,H
2021-11-08 21:00:00,-2.646751176245376,H
2021-11-08 22:00:00,-2.6661708662354213,H
2021-11-08 23:00:00,-2.6916605811980907,H
2021-11-09 00:00:00,-2.71392375470314,H
2021-11-09 01:00:00,-2.725885256875238,H
2021-11-09 02:00:00,-2.7408157648566664,H
2021-11-09 03:00:00,-2.7553785188386954,H
2021-11-09 04:00:00,-2.7687825766629532,H
2021-11-09 05:00:00,-2.7823263931838276,H
2021-11-09 06:00:00,-2.797404592742643,H
2021-11-09 07:00:00,-2.812697798662544,H
2021-11-09 08:00:00,-2.8266368006738425,H
2021-11-09 09:00:00,-2.827235331962022,H
2021-11-09 10:00:00,-2.815410972336591,H
2021-11-09 11:00:00,-2.8096728487064033,H
2021-11-09 12:00:00,-2.8077811203642327,H
2021-11-09 13:00:00,-2.820327672307304,H
2021-11-09 14:00:00,-2.8277231154233093,H
2021-11-09 15:00:00,-2.836264149096674,H
2021-11-09 16:00:00,-2.856556354341049,H
2021-11-09 17:00:00,-2.880169488928915,H
2021-11-09 18:00:00,-2.8970790751270656,H
2021-11-09 19:00:00,-2.9126656864911866,H
2021-11-09 20:00:00,-2.9360329579768627,H
2021-11-09 21:00:00,-2.954012574127294,H
2021-11-09 22:00:00,-2.9680365011579823,H
2021-11-09 23:00:00,-2.9814942042107426,H
2021-11-10 00:00:00,-2.994293653849366,H
2021-11-10 01:00:00,-3.0134176600990616,NH
2021-11-10 02:00:00,-3.030109034352526,NH
2021-11-10 03:00:00,-3.0527327736592547,NH
2021-11-10 04:00:00,-3.07303295520568,NH
2021-11-10 05:00:00,-3.089743787020719,NH
2021-11-10 06:00:00,-3.1044965627879875,NH
2021-11-10 07:00:00,-3.1101715277796416,NH
2021-11-10 08:00:00,-3.113806832172866,NH
2021-11-10 09:00:00,-3.1239140068052094,NH
2021-11-10 10:00:00,-3.1246773024276524,NH
2021-11-10 11:00:00,-3.1239433207210947,NH
2021-11-10 12:00:00,-3.1276226168791936,NH
2021-11-10 13:00:00,-3.135336365354847,NH
2021-11-10 14:00:00,-3.1318308422739243,NH
2021-11-10 15:00:00,-3.13210706061747,NH
2021-11-10 16:00:00,-3.148020527019931,NH
2021-11-10 17:00:00,-3.1634562438444687,NH
2021-11-10 18:00:00,-3.1821661070801652,NH
2021-11-10 19:00:00,-3.194940363044042,NH
2021-11-10 20:00:00,-3.2065387832608248,NH
2021-11-10 21:00:00,-3.23225393650416,NH
2021-11-10 22:00:00,-3.258579488684676,NH
2021-11-10 23:00:00,-3.2872566684457745,NH
2021-11-11 00:00:00,-3.310740210284877,NH
2021-11-11 01:00:00,-3.333397022642048,NH
2021-11-11 02:00:00,-3.3529164746218894,NH
2021-11-11 03:00:00,-3.3686522799169656,NH
2021-11-11 04:00:00,-3.38415922544972,NH
2021-11-11 05:00:00,-3.3981561900858868,NH
2021-11-11 06:00:00,-3.414034127203681,NH
2021-11-11 07:00:00,-3.422768838024956,NH
2021-11-11 08:00:00,-3.437664255011598,NH
2021-11-11 09:00:00,-3.4444755073768256,NH
2021-11-11 10:00:00,-3.4343862947439,NH
2021-11-11 11:00:00,-3.422272204891968,NH
2021-11-11 12:00:00,-3.4240483757770597,NH
2021-11-11 13:00:00,-3.417797053460776,NH
2021-11-11 14:00:00,-3.4152535424316253,NH
2021-11-11 15:00:00,-3.423305802671537,NH
2021-11-11 16:00:00,-3.4361862976972812,NH
2021-11-11 17:00:00,-3.4631076639901774,NH
2021-11-11 18:00:00,-3.486065914123016,NH
2021-11-11 19:00:00,-3.5041693431776597,NH
2021-11-11 20:00:00,-3.528457019591927,NH
2021-11-11 21:00:00,-3.549326361711173,NH
2021-11-11 22:00:00,-3.5674024009886676,NH
2021-11-11 23:00:00,-3.5851036682295256,NH
2021-11-12 00:00:00,-3.607020633729562,NH
2021-11-12 01:00:00,-3.6197416145374834,NH
2021-11-12 02:00:00,-3.6328449035922787,NH
2021-11-12 03:00:00,-3.6458081699272546,NH
2021-11-12 04:00:00,-3.663935206960636,NH
2021-11-12 05:00:00,-3.68779933968562,NH
2021-11-12 06:00:00,-3.7152737640129865,NH
2021-11-12 07:00:00,-3.7483460594090787,NH
