date_time,Average PMV,Habitability?
2021-03-16 02:00:00,-1.5604814318860099,H
2021-03-16 03:00:00,-1.859993920534163,H
2021-03-16 04:00:00,-2.0097897747225137,H
2021-03-16 05:00:00,-2.1034808506758567,H
2021-03-16 06:00:00,-2.185170177155355,H
2021-03-16 07:00:00,-2.2794245716594452,H
2021-03-16 08:00:00,-2.3655957124645592,H
2021-03-16 09:00:00,-2.3742623143627237,H
2021-03-16 10:00:00,-2.363169908768437,H
2021-03-16 11:00:00,-2.3237334069265017,H
2021-03-16 12:00:00,-2.269713315165023,H
2021-03-16 13:00:00,-2.2410684384801787,H
2021-03-16 14:00:00,-2.222465613987089,H
2021-03-16 15:00:00,-2.2158437779075864,H
2021-03-16 16:00:00,-2.2391192719424358,H
2021-03-16 17:00:00,-2.274751623680468,H
2021-03-16 18:00:00,-2.319920895041377,H
2021-03-16 19:00:00,-2.370546912147804,H
2021-03-16 20:00:00,-2.4280402157657677,H
2021-03-16 21:00:00,-2.501746878027421,H
2021-03-16 22:00:00,-2.562831281667695,H
2021-03-16 23:00:00,-2.609951940068249,H
2021-03-17 00:00:00,-2.650561598464092,H
2021-03-17 01:00:00,-2.6876329758830706,H
2021-03-17 02:00:00,-2.723217728792599,H
2021-03-17 03:00:00,-2.7589210905724983,H
2021-03-17 04:00:00,-2.778022293550508,H
2021-03-17 05:00:00,-2.798486831571537,H
2021-03-17 06:00:00,-2.82396924786968,H
2021-03-17 07:00:00,-2.822242247717614,H
2021-03-17 08:00:00,-2.8268106907550803,H
2021-03-17 09:00:00,-2.8237994029329463,H
2021-03-17 10:00:00,-2.825539927184632,H
2021-03-17 11:00:00,-2.818921196174655,H
2021-03-17 12:00:00,-2.811302757915488,H
2021-03-17 13:00:00,-2.806180876165667,H
2021-03-17 14:00:00,-2.8109143764262767,H
2021-03-17 15:00:00,-2.8212322669210272,H
2021-03-17 16:00:00,-2.824733886574444,H
2021-03-17 17:00:00,-2.845992228200148,H
2021-03-17 18:00:00,-2.877804071080693,H
2021-03-17 19:00:00,-2.9091242509109265,H
2021-03-17 20:00:00,-2.951900902745838,H
2021-03-17 21:00:00,-2.991727363294595,H
2021-03-17 22:00:00,-3.0320510686311017,NH
2021-03-17 23:00:00,-3.0585299046973695,NH
2021-03-18 00:00:00,-3.0889010376770347,NH
2021-03-18 01:00:00,-3.1130302111891637,NH
2021-03-18 02:00:00,-3.1351099242781757,NH
