Time,ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Heat Load No DOAS [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Sens Cool Load No DOAS [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Heat Load No DOAS [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND::Des Latent Cool Load No DOAS [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Temperature [C],ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND:KODIAK JULY .4% CONDNS DB=>MCWB:Cooling Zone Relative Humidity [%]
01:00:00,1.226506E+04,7.873939E+03,4.143728E-01,5.541057E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.701951E+01,2.670057E+01,3.856044E+01
02:00:00,1.226520E+04,8.025864E+03,4.143777E-01,5.647921E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.701963E+01,2.670069E+01,3.856589E+01
03:00:00,1.226534E+04,8.009382E+03,4.143824E-01,5.636319E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.701975E+01,2.670070E+01,3.856826E+01
04:00:00,1.226547E+04,7.977837E+03,4.143868E-01,5.614124E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.701986E+01,2.670069E+01,3.856699E+01
05:00:00,1.226560E+04,7.953814E+03,4.143910E-01,5.597220E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.701996E+01,2.670069E+01,3.856538E+01
06:00:00,1.226572E+04,8.298591E+03,4.143951E-01,5.839845E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.702007E+01,2.670069E+01,3.856446E+01
07:00:00,1.226583E+04,1.209647E+04,4.143989E-01,9.965420E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.702016E+01,2.463280E+01,4.367445E+01
08:00:00,1.226594E+04,1.241645E+04,4.144025E-01,1.083898E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.702025E+01,2.400147E+01,4.538699E+01
09:00:00,1.226604E+04,1.283035E+04,4.144060E-01,1.120097E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.702034E+01,2.400081E+01,4.540923E+01
10:00:00,1.226614E+04,1.315140E+04,4.144093E-01,1.148150E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.702042E+01,2.400056E+01,4.541155E+01
11:00:00,1.226623E+04,1.355883E+04,4.144125E-01,1.183729E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.702050E+01,2.400047E+01,4.541471E+01
12:00:00,1.226632E+04,1.383417E+04,4.144154E-01,1.207771E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.702057E+01,2.400043E+01,4.542090E+01
13:00:00,1.226640E+04,1.395340E+04,4.144183E-01,1.218182E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.702064E+01,2.400041E+01,4.542520E+01
14:00:00,1.226648E+04,1.400775E+04,4.144210E-01,1.222929E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.702071E+01,2.400040E+01,4.542714E+01
15:00:00,1.226656E+04,1.412005E+04,4.144236E-01,1.232734E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.702077E+01,2.400039E+01,4.542805E+01
16:00:00,1.226663E+04,1.409545E+04,4.144260E-01,1.230587E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097308E+01,3.702083E+01,2.400039E+01,4.542903E+01
